business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shreeji Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 98256 25796,N/A,4.8,,"1378 Navabajar, Nava Bajar, Dahod, Limdi, Gujarat 389180",389130,23.0083906,74.1572582,ChIJ1da8zGzfYDkR9RrucRod124,https://www.google.com/maps/place/?q=place_id:ChIJ1da8zGzfYDkR9RrucRod124,part_108,2026-09-20 17:00:33
Shree Maruti Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Goldsmith, Jewelry designer",389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 94276 60839,N/A,4.9,,"SV Patel Rd, opp. Men Post Office, Wanzawad, Govindnagar, Dahod, Gujarat 389151","Wanzawad, Govindnagar",22.832361199999998,74.258814,ChIJuW_3gYsdYTkRvcafH-yBJbk,https://www.google.com/maps/place/?q=place_id:ChIJuW_3gYsdYTkRvcafH-yBJbk,part_108,2026-09-20 17:00:33
Nandan Jewellers,Silver Jewellery Shop,Jewelry store,"Jewelry store, Jeweler",389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 99099 15441,N/A,4.8,,"Mahatma Gandhi Rd, opp. sakhi sarees, Wanzawad, Govindnagar, Dahod, Gujarat 389151","Wanzawad, Govindnagar",22.832384299999998,74.25815229999999,ChIJsf84TKkdYTkRY01PN5Oj1fs,https://www.google.com/maps/place/?q=place_id:ChIJsf84TKkdYTkRY01PN5Oj1fs,part_108,2026-09-20 17:00:33
UTSAVAM GOLD,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 70961 29101,N/A,5.0,,"Dahod Rd, opp. of Neil hospital, Limkheda, Gujarat 389140",389130,22.834115,73.9921039,ChIJw8JsJCPvYDkRB4zy4r2KvIM,https://www.google.com/maps/place/?q=place_id:ChIJw8JsJCPvYDkRB4zy4r2KvIM,part_108,2026-09-20 17:00:33
VANSH SILVER,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",N/A,N/A,,,"Vansh Silver, near Birsa Munda Chowk, Limkheda, Gujarat 389140",389130,22.8340084,73.99166,ChIJx3V-8UnvYDkRLTPm8lZXjJE,https://www.google.com/maps/place/?q=place_id:ChIJx3V-8UnvYDkRLTPm8lZXjJE,part_108,2026-09-20 17:00:33
C.K GOLD HOUSE,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",N/A,N/A,4.1,,"R7J5+X5H, Mahatma Gandhi Rd, Wanzawad, Govindnagar, Dahod, Gujarat 389151","Wanzawad, Govindnagar",22.8324422,74.2579949,ChIJI-95M68dYTkRE22o_eI6w10,https://www.google.com/maps/place/?q=place_id:ChIJI-95M68dYTkRE22o_eI6w10,part_108,2026-09-20 17:00:33
Shree Nakoda Jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 79842 04528,N/A,4.8,,"Zalod Road, opposite of BOB ATM, Limkheda, Gujarat 389140",389130,22.837854,73.9915974,ChIJfXLAAQDvYDkRJ-QiX5XPOP0,https://www.google.com/maps/place/?q=place_id:ChIJfXLAAQDvYDkRJ-QiX5XPOP0,part_108,2026-09-20 17:00:33
Shringar 1 Gram Gold jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 70165 23882,http://www.shringarimitationjewellers.in/,4.7,,"Old indore road, vankhandi road, near laxminarayan petrol pump, opp. Desai petrol pump, Shakar Nagar, Dahod, Gujarat 389151",Shakar Nagar,22.825921899999997,74.26345549999999,ChIJg3JPzBQdYTkRp7WIVv9x_4g,https://www.google.com/maps/place/?q=place_id:ChIJg3JPzBQdYTkRp7WIVv9x_4g,part_108,2026-09-20 17:00:33
C K SHROFF JEWELLERS,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 94273 98158,N/A,5.0,,"3180, Mahatma Gandhi Rd, Hamidi Moholla, Govindnagar, Dahod, Gujarat 389151","Hamidi Moholla, Govindnagar",22.8323458,74.25812069999999,ChIJZ6a4m4sdYTkRe9nLo7TETdg,https://www.google.com/maps/place/?q=place_id:ChIJZ6a4m4sdYTkRe9nLo7TETdg,part_108,2026-09-20 17:00:33
Radhe krishna jewellers,Silver Jewellery Shop,Jewelry store,Jewelry store,389130,Gujarat Circle,Vadodara Region,Panchmahals Division,"Piplod SO Dahod, Aasayadi BO, Chhaparwad BO",+91 70162 81254,N/A,5.0,,"Dahod road, Limdi, Gujarat 389180",389130,23.004918399999998,74.1598029,ChIJwX3vOQDfYDkRgB9F6DdcLMg,https://www.google.com/maps/place/?q=place_id:ChIJwX3vOQDfYDkRgB9F6DdcLMg,part_108,2026-09-20 17:00:33
