business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
NO NEXT - DAHOD,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 94264 69145,N/A,4.8,,"CINEMA, PLOT 17, OPP MEHTA CLINIC, DARPAN, ROAD, Dahod, Gujarat 389151","Mohammadi Society, Swastik Society, Shidhpur",22.8414054,74.2500647,ChIJ479slY0dYTkRUYsFfYnXr38,https://www.google.com/maps/place/?q=place_id:ChIJ479slY0dYTkRUYsFfYnXr38,part_108,2026-09-20 17:02:26
Alpha Activewear,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 90290 05352,N/A,4.9,,"Godi Road, Opp Rama Hotel, Noor Prime, Dahod, Gujarat 389151","Jivandeep Society, Shidhpur",22.8461549,74.249511,ChIJc3EurwcdYTkRzllBXqcu4X8,https://www.google.com/maps/place/?q=place_id:ChIJc3EurwcdYTkRzllBXqcu4X8,part_108,2026-09-20 17:02:26
The Outrob,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 84603 12010,http://instagram.com/theoutrob,5.0,,"F2, Fakhri Manzil, Taiwada, near Saifee Hospital, Dahod, Gujarat 389151","Nazami Mohalla, Wanzawad, Govindnagar",22.8336371,74.25521739999999,ChIJtYgBpCcdYTkRvz7K8cigyro,https://www.google.com/maps/place/?q=place_id:ChIJtYgBpCcdYTkRvz7K8cigyro,part_108,2026-09-20 17:02:26
Parivar collection,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 83209 82787,N/A,5.0,,"03, Mahatma Gandhi Rd, opp. Sanskruti saree, Hamidi Moholla, Govindnagar, Dahod, Gujarat 389151","Hamidi Moholla, Govindnagar",22.8321911,74.25903939999999,ChIJd3UxbnYdYTkRjM4YWlPTK1s,https://www.google.com/maps/place/?q=place_id:ChIJd3UxbnYdYTkRjM4YWlPTK1s,part_108,2026-09-20 17:02:26
VN Menswear,Mens Wear Showroom,Store,Store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",N/A,N/A,5.0,,"Darpan Rd, Mohammadi Society, Swastik Society, Shidhpur, Dahod, Usarvan Part, Gujarat 389151","Mohammadi Society, Swastik Society, Shidhpur",22.8416188,74.2483393,ChIJG1y8VQAdYTkRdGZTZaxOVgE,https://www.google.com/maps/place/?q=place_id:ChIJG1y8VQAdYTkRdGZTZaxOVgE,part_108,2026-09-20 17:02:26
City look mens wear,Mens Wear Showroom,Clothing store,Clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 82383 41666,N/A,5.0,,"Char thambla, Station Rd, near zaveri hospital, Burhani Society, Shidhpur, Dahod, Gujarat 389151","Burhani Society, Shidhpur",22.8402371,74.253114,ChIJ95z16JEdYTkRs1TMeORk6ug,https://www.google.com/maps/place/?q=place_id:ChIJ95z16JEdYTkRs1TMeORk6ug,part_108,2026-09-20 17:02:26
Model town Mens Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 6355 677 508,N/A,5.0,,"Govindnagar Main Rd, opp. M&p High school, Govindnagar, Dahod, Gujarat 389151",Govindnagar,22.834503299999998,74.2613951,ChIJIZhxZ6wdYTkRjZhlU5EVQeE,https://www.google.com/maps/place/?q=place_id:ChIJIZhxZ6wdYTkRjZhlU5EVQeE,part_108,2026-09-20 17:02:26
Voky Toky Menswear,Mens Wear Showroom,Clothing store,Clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 99795 18707,N/A,4.7,,"Pandiya High School, Station Rd, opp. R L, Burhani Society, Shidhpur, Dahod, Gujarat 389151","Burhani Society, Shidhpur",22.8396194,74.25312199999999,ChIJUcPnn7odYTkR0o_4Q2BkkhU,https://www.google.com/maps/place/?q=place_id:ChIJUcPnn7odYTkR0o_4Q2BkkhU,part_108,2026-09-20 17:02:26
"BLUE BUDDHA - Hakimi Tower, Dahod",Mens Wear Showroom,Men's clothing store,"Men's clothing store, Jeans shop, Formal Clothing Store, Clothing store, T-shirt store, Tuxedo shop, Youth clothing store",389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 90230 94112,https://www.bluebuddha.co.in/,5.0,,"Shop Number 7, Hakimi Tower, Station Rd, Dohad, Burhani Society, Shidhpur, Dahod, Gujarat 389151","Dohad, Burhani Society, Shidhpur",22.839882,74.2531462,ChIJZ1pM1dodYTkRPJPTWJ1yShw,https://www.google.com/maps/place/?q=place_id:ChIJZ1pM1dodYTkRPJPTWJ1yShw,part_108,2026-09-20 17:02:26
StyleStock Dahod,Mens Wear Showroom,Clothing store,Clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 94292 24088,N/A,4.3,,"1st Floor, Noor Square, Godi Road, near Saptam Xerox, Dahod, Gujarat 389151","Jivandeep Society, Shidhpur",22.8452548,74.25037309999999,ChIJs-e9mhAdYTkR9O3ctpuVhIA,https://www.google.com/maps/place/?q=place_id:ChIJs-e9mhAdYTkR9O3ctpuVhIA,part_108,2026-09-20 17:02:27
RIDHAM SELECTION,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 98790 66691,N/A,4.3,8.0,"1 1, Mahatma Gandhi Rd, Wanzawad, Govindnagar, Dahod, Gujarat 389151","Wanzawad, Govindnagar",22.832226,74.259007,ChIJQZU0t84dYTkRgtQh-hKWMao,https://www.google.com/maps/place/?q=place_id:ChIJQZU0t84dYTkRgtQh-hKWMao,part_108,2026-09-20 17:02:27
Babji Men's Wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 99984 36968,N/A,5.0,1.0,"Mohan Ni Chikki , Huseni Mohalla, Gujarat 389151","Nazami Mohalla, Wanzawad, Govindnagar",22.8339441,74.2563321,ChIJeSX3FU0dYTkR1nwYmYjxmj4,https://www.google.com/maps/place/?q=place_id:ChIJeSX3FU0dYTkR1nwYmYjxmj4,part_108,2026-09-20 17:02:27
Natraj Selection,Mens Wear Showroom,Clothing store,Clothing store,389151,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dahod HO, Dahod RS SO",+91 94285 46210,N/A,5.0,3.0,"SV Patel Road, S. V Patel Road, near by Kalabhai Petrol Pump, Dahod, Gujarat 389151","Wanzawad, Govindnagar",22.8333871,74.25851449999999,ChIJL0gxr64dYTkRjltR_gTrhMM,https://www.google.com/maps/place/?q=place_id:ChIJL0gxr64dYTkRjltR_gTrhMM,part_108,2026-09-20 17:02:28
