business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DK STUDIO,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",+91 95862 89947,N/A,5.0,,"Dahod, Road, Fatepura, Gujarat 389172","Fatepura, Valundi",23.2535462,74.0459094,ChIJwcGH-_bTYDkRarZGgEVXO_U,https://www.google.com/maps/place/?q=place_id:ChIJwcGH-_bTYDkRarZGgEVXO_U,part_108,2026-09-20 17:06:49
Narmada studio,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",+91 95128 68933,https://www.instagram.com/narmada___studio?igsh=MWtqMXp0a3QxZDJ1dA==,3.0,,"01, Santrampur Road, Fatepura, Salara, Gujarat 389172",Fatepura,23.259030799999998,74.0046016,ChIJc_vUBADNYDkRPjmXVgsna58,https://www.google.com/maps/place/?q=place_id:ChIJc_vUBADNYDkRPjmXVgsna58,part_108,2026-09-20 17:06:49
KRISHIV PHOTOPARK,Photographers,Photography studio,"Photography studio, Drone service, Video editing service",389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,5.0,,"Road, Fatepura, Valundi, Ghughas, Fatepura Alias Valu, Gujarat 389172","Fatepura, Valundi",23.258578099999998,74.0517163,ChIJL88R793TYDkRceXsajqm_ds,https://www.google.com/maps/place/?q=place_id:ChIJL88R793TYDkRceXsajqm_ds,part_108,2026-09-20 17:06:49
Om Sai Digital Photo Studio,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,4.6,,"8XP3+6QQ, Khedapa Navigadi, Santrampur, Gujarat 389172",389172,23.3355753,73.9544765,ChIJeRKMM6AzZzkRwsLQHvOmMU4,https://www.google.com/maps/place/?q=place_id:ChIJeRKMM6AzZzkRwsLQHvOmMU4,part_108,2026-09-20 17:06:49
Photography,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",+91 90992 73481,N/A,,,"Vangad, Gujarat 389172",389172,23.2294753,74.0593872,ChIJ5yBI4k3TYDkRvzwGZhpio6Y,https://www.google.com/maps/place/?q=place_id:ChIJ5yBI4k3TYDkRvzwGZhpio6Y,part_108,2026-09-20 17:06:49
રાજદીપ પ્રિન્ટર્સ એન્ડ ઝેરોક્ષ,Photographers,Photographer,Photographer,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,,,"890, Fatepura, Valundi, Fatepura Alias Valu, Gujarat 389172","Fatepura, Valundi",23.256238,74.04328699999999,ChIJWzqvJADTYDkRO7Mu9gQ0klI,https://www.google.com/maps/place/?q=place_id:ChIJWzqvJADTYDkRO7Mu9gQ0klI,part_108,2026-09-20 17:06:49
Bansi Studio,Photographers,Photographer,"Photographer, Service establishment",389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",+91 92658 04464,N/A,5.0,,"Bansi Studio, 389172, India",389172,21.0680074,82.7525294,ChIJ_yqWCrXTYDkROUQyMdQ3vIw,https://www.google.com/maps/place/?q=place_id:ChIJ_yqWCrXTYDkROUQyMdQ3vIw,part_108,2026-09-20 17:06:49
Prem Photographer,Photographers,Housing complex,Housing complex,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,,,"628F+V2Q, Nanirel East, Gujarat 389172",389172,23.217259199999997,74.0216263,ChIJmUJjJwDPYDkRFmVsY0hl4L4,https://www.google.com/maps/place/?q=place_id:ChIJmUJjJwDPYDkRFmVsY0hl4L4,part_108,2026-09-20 17:06:49
Jay Bhole CSC Center Baraleda,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,3.7,,"Fatepura Pipalara, rod, Barsaleda, Gujarat 389172",rod,23.2760513,74.0737754,ChIJk5_yT_3TYDkRxNM34kUW_Gc,https://www.google.com/maps/place/?q=place_id:ChIJk5_yT_3TYDkRxNM34kUW_Gc,part_108,2026-09-20 17:06:49
AJJU PARGI,Photographers,Photography studio,Photography studio,389172,Gujarat Circle,Vadodara Region,Panchmahals Division,"Fatepura SO Dahod, Batakvada BO, Bhanasimal BO",N/A,N/A,,,"6387+G9W, Madhva, Gujarat 389172",389172,23.2163523,74.06344109999999,ChIJdY31aADRYDkRBZ7FenyIdvg,https://www.google.com/maps/place/?q=place_id:ChIJdY31aADRYDkRBZ7FenyIdvg,part_108,2026-09-20 17:06:49
