business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Atul Bakery | Modasa Road| Lunawada,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 87777 07722,https://atulbakery.com/,5.0,5.0,"Shop No. 7, Saifi Complex, Modasa Rd, opp. Saifi Hospital, Lunesar Apptment, Lunawada, Gujarat 389230",Lunesar Apptment,23.129019,73.60547489999999,ChIJ5ZNXk7-vYDkRglQ0Z5h19eg,https://www.google.com/maps/place/?q=place_id:ChIJ5ZNXk7-vYDkRglQ0Z5h19eg,part_108,2026-09-20 17:08:56
Handmade By Zainab,Patisserie,Cake shop,"Cake shop, Bakery and Cake Shop, Chocolate shop",389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",N/A,https://sites.google.com/view/handmadebyzainab,5.0,22.0,"Voharwad, Lunesar Apptment, Lunawada, Gujarat 389230","Voharwad, Lunesar Apptment",23.130075599999998,73.6106251,ChIJMWZksUOvYDkRM-A-Wo4Ogho,https://www.google.com/maps/place/?q=place_id:ChIJMWZksUOvYDkRM-A-Wo4Ogho,part_108,2026-09-20 17:08:56
Panchmahal,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",N/A,N/A,,,"WH65+WCX, Narsana, Gujarat 389210",389210,22.9119745,73.55815559999999,ChIJgQajSwChYDkR5KK-osFaSHM,https://www.google.com/maps/place/?q=place_id:ChIJgQajSwChYDkR5KK-osFaSHM,part_108,2026-09-20 17:08:56
Kabhi-B Lunawada,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 63599 20828,http://www.kabhi-b.com/,4.0,41.0,"Sai Complex, Palace Society, Lunawada, Gujarat 389230",Palace Society,23.124583899999998,73.6038648,ChIJWeWdshGvYDkREaiTlH8oQhE,https://www.google.com/maps/place/?q=place_id:ChIJWeWdshGvYDkREaiTlH8oQhE,part_108,2026-09-20 17:08:56
Vinod,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",N/A,N/A,,,"RPXC+XG7, Dumelav, Gujarat 389210",389210,22.8499216,73.7213063,ChIJMeVTeACXYDkRIuM3KDMJs6Q,https://www.google.com/maps/place/?q=place_id:ChIJMeVTeACXYDkRIuM3KDMJs6Q,part_108,2026-09-20 17:08:56
જ્યોતિસર કરિયાણા સ્ટોર,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",N/A,N/A,,,"Tandifaliyu, Boriya, Gujarat 389210",Tandifaliyu,23.035964699999997,73.6477342,ChIJVxeiB1elYDkRvasWbrbqqZI,https://www.google.com/maps/place/?q=place_id:ChIJVxeiB1elYDkRvasWbrbqqZI,part_108,2026-09-20 17:08:56
Rangit Bhai,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 95869 64015,N/A,2.0,1.0,"Guneli Rd, Kothamba, Guneli, Gujarat 389220",389210,22.9739352,73.5193669,ChIJk1JCIc6hYDkR6uAnpJp0ujw,https://www.google.com/maps/place/?q=place_id:ChIJk1JCIc6hYDkR6uAnpJp0ujw,part_108,2026-09-20 17:08:56
Rehmati Bakery Khanpur,Patisserie,Cake shop,"Cake shop, Wedding bakery",389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 98257 71213,N/A,4.9,,"Hotel Host Inn Basement, opp. B.M.C BANK, Old City, Khanpur, Ahmedabad, Gujarat 380001","Old City, Khanpur",23.0290753,72.5778847,ChIJSx2QdHmFXjkRKt_1aEETefs,https://www.google.com/maps/place/?q=place_id:ChIJSx2QdHmFXjkRKt_1aEETefs,part_108,2026-09-20 17:08:57
Choco Bite The live cake shop,Patisserie,Cake shop,Cake shop,389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 97375 52809,N/A,5.0,,"Manibhadra complex, Tirupati Market, G - 8, VTC Patan, Patan, Gujarat 384265",VTC Patan,23.8512427,72.1256509,ChIJo8fLEQSHXDkRJosqlbqL--M,https://www.google.com/maps/place/?q=place_id:ChIJo8fLEQSHXDkRJosqlbqL--M,part_108,2026-09-20 17:08:57
Magical Touch Cakes & Chocolates,Patisserie,Cake shop,"Cake shop, Bakery and Cake Shop, Chocolate artisan, Corporate gift supplier, Cupcake shop, Dessert shop, Health food store, Pastry shop",389210,Gujarat Circle,Vadodara Region,Panchmahals Division,"Shehera SO, Aniyad BO, Bhadrala BO",+91 81282 63096,https://magicltouchcake.pages.dev/,4.9,,"Manav Mandir Society - 1, 1, near Ganga Jamna Society, Panchvati, Kalol, Gujarat 382721","Gujarat Housing Board, NR Jayvir Society, Panchvati, Ambika Nagar",23.2308494,72.4925877,ChIJu0GmEEknXDkRrTGVHhjCbTg,https://www.google.com/maps/place/?q=place_id:ChIJu0GmEEknXDkRrTGVHhjCbTg,part_108,2026-09-20 17:08:57
