business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mewar Bagh Dhaba,Dhaba and Highway Restaurant,Restaurant,Restaurant,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",N/A,N/A,4.7,,"Piparda, Rajasthan 313324",389250,25.0199438,73.855007,ChIJWyl4l6JtaDkReQslZ5qzr50,https://www.google.com/maps/place/?q=place_id:ChIJWyl4l6JtaDkReQslZ5qzr50,part_108,2026-09-20 17:12:01
THE GUJARAT DHABA,Dhaba and Highway Restaurant,Restaurant,Restaurant,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 84879 06469,N/A,4.1,,"Opposite to Water Ville Water Park, Near Indian Oil Petrol Pump, RTO Bypass Road, Himmatnagar Sabarkantha, Gujarat 383001",389250,23.598831699999998,72.94465009999999,ChIJ0ZmygY65XTkRUWxc4tsSia4,https://www.google.com/maps/place/?q=place_id:ChIJ0ZmygY65XTkRUWxc4tsSia4,part_108,2026-09-20 17:12:01
Hotel gopal kathiyawadi,Dhaba and Highway Restaurant,Restaurant,Restaurant,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",N/A,N/A,4.6,,"HX4R+2QV Hotel gopal kathiyawadi, Hadiyol, Gujarat 383002",389250,23.555104399999998,72.9919211,ChIJuV_AWQDHXTkRm8IYd2OrU1k,https://www.google.com/maps/place/?q=place_id:ChIJuV_AWQDHXTkRm8IYd2OrU1k,part_108,2026-09-20 17:12:01
Desi Kitchen Dhaba,Dhaba and Highway Restaurant,Dhaba,Dhaba,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 84699 41111,N/A,4.4,,"Somnath Bypass Rd, opp. Somnath gateway hotel, behind Somnath railway station, Somnath, Gujarat 362268",389250,20.900644,70.4055515,ChIJTcnXpz0z_TsRlkpgIdysuvU,https://www.google.com/maps/place/?q=place_id:ChIJTcnXpz0z_TsRlkpgIdysuvU,part_108,2026-09-20 17:12:01
Himachal Punjab Dhaba,Dhaba and Highway Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Dhaba",389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 79843 80163,N/A,4.2,74.0,"001, Modasa Road, Kherancha, Gujarat 383355",389250,23.664464,73.3627802,ChIJbfst_2SNXTkRf4hqvNMBNNE,https://www.google.com/maps/place/?q=place_id:ChIJbfst_2SNXTkRf4hqvNMBNNE,part_108,2026-09-20 17:12:02
Baba hotel (Dashmesh punjabi ),Dhaba and Highway Restaurant,Dhaba,Dhaba,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 98985 65126,N/A,4.2,288.0,"35CR+V6G, NH 59, Reliya, Gujarat 387620",389250,23.0721882,73.1905896,ChIJ3XuH73AOXjkRkjtPZdBYciU,https://www.google.com/maps/place/?q=place_id:ChIJ3XuH73AOXjkRkjtPZdBYciU,part_108,2026-09-20 17:12:02
Ramdev Highway Hotel Deshi,Dhaba and Highway Restaurant,Dhaba,"Dhaba, Fast food restaurant, Restaurant",389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 72279 50636,https://whatsapp.com/channel/0029Vb9xqrCKQuJHVQtcT52W,4.3,1059.0,"NH 27, Dadakari Nagar, Morebijjilo, Nava Sadulka, Gujarat 363642","Dadakari Nagar, Morebijjilo",22.9486788,70.8237575,ChIJUS2X1gcgWjkRYTjyrKnPTu4,https://www.google.com/maps/place/?q=place_id:ChIJUS2X1gcgWjkRYTjyrKnPTu4,part_108,2026-09-20 17:12:02
Maa deshi dhaba kathiyavadi thadi sasan gir,Dhaba and Highway Restaurant,Dhaba,Dhaba,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 88491 08946,N/A,4.5,386.0,"Malia Sasan Rd, road, Devaliya, Najapur, Gujarat 362150",road,21.1764854,70.54675689999999,ChIJNSHBG0ux4jsR3suV3VjNvME,https://www.google.com/maps/place/?q=place_id:ChIJNSHBG0ux4jsR3suV3VjNvME,part_108,2026-09-20 17:12:02
Bharat Hotel,Dhaba and Highway Restaurant,Restaurant,Restaurant,389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 98252 13638,N/A,4.1,,"CJ78+79J, bypass, Paddhari, Gujarat 360110",389250,22.4132145,70.615884,ChIJFYo3kVDbWTkRmlbnm-mj7IQ,https://www.google.com/maps/place/?q=place_id:ChIJFYo3kVDbWTkRmlbnm-mj7IQ,part_108,2026-09-20 17:12:03
Kathiyawadi Dhaba & Restaurant,Dhaba and Highway Restaurant,Gujarati restaurant,"Gujarati restaurant, Dhaba, Vegetarian restaurant",389250,Gujarat Circle,Vadodara Region,Panchmahals Division,"Diwda Colony SO, Dadhalia BO, Limbhola BO",+91 93776 10010,N/A,3.9,,"8R6H+6J4, Kuvadva Rd, Greenland Chokdi, Patel Nagar, Arya Nagar, Rajkot, Gujarat 360003","Greenland Chokdi, Patel Nagar, Arya Nagar",22.3105247,70.8290659,ChIJLU5KRAm2WTkRRmx_e4zq0tM,https://www.google.com/maps/place/?q=place_id:ChIJLU5KRAm2WTkRRmx_e4zq0tM,part_108,2026-09-20 17:12:03
