business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
A K COMPLEX,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,4.0,"5VRV+Q9V, Lunawada Road, Santrampur, Gujarat 389260",389265,23.1919878,73.8934324,ChIJYVxl-A_JYDkRfFY3c7I7U9Y,https://www.google.com/maps/place/?q=place_id:ChIJYVxl-A_JYDkRfFY3c7I7U9Y,part_109,2026-09-20 16:40:30,6913
Dhimant Agro Centre Malekpur,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.8,10.0,"6PHM+M5H, Himmat Nagar, Padedi, Gujarat 389235",Himmat Nagar,23.2291833,73.73299779999999,ChIJ3RfWrpyzYDkR98z7GQcAqMo,https://www.google.com/maps/place/?q=place_id:ChIJ3RfWrpyzYDkR98z7GQcAqMo,part_109,2026-09-20 16:40:30,6914
"Gosai Complex Diwada, Kadana , Gujrat 389250",Commercial Complex,Cell phone store,Cell phone store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,1.0,"RADHEKRISHNA MOBILE & ELECTRONIC, GOSAI COMPLEX, Diwada, Gujarat 389250",389265,23.2758339,73.8370058,ChIJxWOfeQC1YDkRSvw-5a_x3_Y,https://www.google.com/maps/place/?q=place_id:ChIJxWOfeQC1YDkRSvw-5a_x3_Y,part_109,2026-09-20 16:40:30,6915
Shiv complex,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,1.0,"5V3X+JG4, Padedi Ador, Gujarat 389260",389265,23.1540115,73.8988344,ChIJNTCwAgDJYDkR_keI_3ka-P8,https://www.google.com/maps/place/?q=place_id:ChIJNTCwAgDJYDkR_keI_3ka-P8,part_109,2026-09-20 16:40:30,6916
Pandit Dindayal Shopping Center,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,3.5,66.0,"Tower Rd, Santrampur, Gujarat 389260",389265,23.1943703,73.8966934,ChIJB7mTkHDJYDkRCcJwL8qTCIc,https://www.google.com/maps/place/?q=place_id:ChIJB7mTkHDJYDkRCcJwL8qTCIc,part_109,2026-09-20 16:40:30,6917
MAHIDA MAHENDRA,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,3.0,2.0,"4RMC+WWX, At_falva, ta_santrampur, malivad _faliyu, Falwa, dist_mahisagar 389230",ta_santrampur,23.134852799999997,73.8223615,ChIJixJ3bsi3YDkR4pgRam4HhzY,https://www.google.com/maps/place/?q=place_id:ChIJixJ3bsi3YDkR4pgRam4HhzY,part_109,2026-09-20 16:40:30,6918
Saheli kangan & footwear,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99255 99082,N/A,5.0,1.0,"Himmat Nagar, Chokdi, Malekpur, Padedi, Gujarat 389235","Himmat Nagar, Chokdi",23.2303416,73.7342311,ChIJTeo7JwCzYDkRZ5xiLMu6ExU,https://www.google.com/maps/place/?q=place_id:ChIJTeo7JwCzYDkRZ5xiLMu6ExU,part_109,2026-09-20 16:40:30,6919
Hari Om Complex,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,2.0,"7RHV+7FJ, Diwada, Gujarat 389250",389265,23.2782026,73.8436318,ChIJi_lzFKfKYDkR2EDyLQwAIjs,https://www.google.com/maps/place/?q=place_id:ChIJi_lzFKfKYDkR2EDyLQwAIjs,part_109,2026-09-20 16:40:30,6920
Mahasel,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,3.0,2.0,"6PJM+3H6, Himmat Nagar, Malekpur, Padedi, Gujarat 389235",Himmat Nagar,23.2301683,73.73389499999999,ChIJgUiNNQCzYDkRf5Dhah7666g,https://www.google.com/maps/place/?q=place_id:ChIJgUiNNQCzYDkRf5Dhah7666g,part_109,2026-09-20 16:40:30,6921
Mahakaali T stol,Commercial Complex,Shopping mall,Shopping mall,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"5VMV+W6C, Santrampur Bypass Rd, Santrampur, Narsingpur, Gujarat 389260",389265,23.184806299999998,73.8930014,ChIJOTf2NADJYDkRLOgAk2Q8rTc,https://www.google.com/maps/place/?q=place_id:ChIJOTf2NADJYDkRLOgAk2Q8rTc,part_109,2026-09-20 16:40:30,6922
