business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rani Flower Decoration,Flower Decorator,Event planner,"Event planner, Service establishment",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99748 32682,N/A,4.8,,"Rani Flower Decoration, 389265, India",389265,25.310378999999998,82.4778958,ChIJtUti-vDnaasROg265McuuSg,https://www.google.com/maps/place/?q=place_id:ChIJtUti-vDnaasROg265McuuSg,part_109,2026-09-20 16:40:16,4338
MAADHAV FLORA AND DECOR,Flower Decorator,Event planner,Event planner,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 98981 51959,https://www.instagram.com/maadhav_flora_n_decor,5.0,,"Shop No. 12, 1st floor, Shubham Tower, Nr.Udgam School, Ambe nagar, Thaltej, Ahmedabad, Gujarat 380051","Ambe nagar, Thaltej",23.0516623,72.5209952,ChIJKY9Fk_yDXjkR1JIK3DC5rNs,https://www.google.com/maps/place/?q=place_id:ChIJKY9Fk_yDXjkR1JIK3DC5rNs,part_109,2026-09-20 16:40:16,4339
Samir Florist,Flower Decorator,Florist,Florist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"Gota, Ahmedabad, Gujarat 382481",Gota,23.101903399999998,72.5391284,ChIJadylJyGDXjkRPEEXqNz7FRU,https://www.google.com/maps/place/?q=place_id:ChIJadylJyGDXjkRPEEXqNz7FRU,part_109,2026-09-20 16:40:16,4340
Surya flower decoration,Flower Decorator,Interior Decorator,Interior Decorator,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,3.0,,"6RWF+QC3, Mahgoan, Uttar Pradesh 221311",389265,25.246888799999997,82.82355729999999,ChIJ-xdYGHTNjzkR9raGaLQwwI4,https://www.google.com/maps/place/?q=place_id:ChIJ-xdYGHTNjzkR9raGaLQwwI4,part_109,2026-09-20 16:40:16,4341
Divine Events - Party Planner & Decorators,Flower Decorator,Event management company,"Event management company, Balloon artist, Balloon store, Event planner, Florist, Flower designer, Party planner, Wedding planner",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 70420 49993,N/A,4.8,,"Arihant Arden, Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201318","Sector 1, Bisrakh Jalalpur",28.577979799999998,77.44187579999999,ChIJMwb45kTvDDkRrsQKeAKV3Qk,https://www.google.com/maps/place/?q=place_id:ChIJMwb45kTvDDkRrsQKeAKV3Qk,part_109,2026-09-20 16:40:16,4342
Preetam Flower Decoration,Flower Decorator,Wedding planner,Wedding planner,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99185 05856,N/A,4.7,,"Lakhanpur, Cholapur, Uttar Pradesh 221101",389265,25.5266809,82.9935678,ChIJ7___P-0pjjkR5clGaolwAMk,https://www.google.com/maps/place/?q=place_id:ChIJ7___P-0pjjkR5clGaolwAMk,part_109,2026-09-20 16:40:16,4343
Sravanthi Flower Decorators,Flower Decorator,Flower designer,"Flower designer, Event planner",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 87121 22703,https://www.youtube.com/channel/UCpoavjYzxWarfCJZOiLw5qg,5.0,,"Pasham Sataih Colony, Ramanthapur, Hyderabad, Telangana 500013","Pasham Sataih Colony, Ramanthapur",17.394320099999998,78.5309108,ChIJ44SQxs-ZyzsRtdYXNe6H_2Y,https://www.google.com/maps/place/?q=place_id:ChIJ44SQxs-ZyzsRtdYXNe6H_2Y,part_109,2026-09-20 16:40:16,4344
Dharma Flowers,Flower Decorator,Florist,"Florist, Flower delivery, Flower designer, Wholesale florist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 88662 28895,N/A,5.0,,"B-206 & B-209, 2nd Floor, Vidya Tower Jalaram Nagar-2, Dhoraji Rd, near Jaleshwer Mahadev Temple, opp. Railway Crossing, Jetpur, Gujarat 360370",Dasi Jivan Para,21.7557542,70.6034373,ChIJP19kwr4ZWDkRP09rk0Bdc9k,https://www.google.com/maps/place/?q=place_id:ChIJP19kwr4ZWDkRP09rk0Bdc9k,part_109,2026-09-20 16:40:16,4345
SAJAWAT FLOWERS,Flower Decorator,Store,Store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99250 33939,https://linktr.ee/sajawatflowers,4.4,,"2889, Teen Darwaja, nr. Tutorial Market, Old City, Dhalgarwad, Khadia, Ahmedabad, Gujarat 380001","Old City, Dhalgarwad, Khadia",23.024330799999998,72.5853372,ChIJfSC_vwCFXjkRPpNHQZ9BDeE,https://www.google.com/maps/place/?q=place_id:ChIJfSC_vwCFXjkRPpNHQZ9BDeE,part_109,2026-09-20 16:40:16,4346
Rajeev Florist Decoration,Flower Decorator,Florist,Florist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95554 79840,https://rajeevfloristdecoration.com/,4.9,,"E/66, Sector 41 Block C Rd, Block C, Sector 41, Noida, Uttar Pradesh 201303","Block C, Sector 41",28.5668525,77.36268609999999,ChIJG2o0-YTlDDkRMZOANq8kljA,https://www.google.com/maps/place/?q=place_id:ChIJG2o0-YTlDDkRMZOANq8kljA,part_109,2026-09-20 16:40:16,4347
