business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MONGINIS SANTRAMPUR,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 88493 29571,N/A,4.8,,"GF-02, GOVERDHAN COMPLEX, Tower Rd, Santrampur, Gujarat 389260",389265,23.1949105,73.8924424,ChIJZ-0riMfJYDkRCNOoyAi9QMY,https://www.google.com/maps/place/?q=place_id:ChIJZ-0riMfJYDkRCNOoyAi9QMY,part_109,2026-09-20 16:39:59,453
A-One Bakery,Patisserie,Wholesale bakery,Wholesale bakery,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 87992 75918,N/A,5.0,,"Men Bajar, Santrampur, Narsingpur, Gujarat 389260",389265,23.188509399999997,73.8978997,ChIJ_YRIFTvJYDkRA4A7ullL-Vs,https://www.google.com/maps/place/?q=place_id:ChIJ_YRIFTvJYDkRA4A7ullL-Vs,part_109,2026-09-20 16:39:59,454
SHIFA BAKERY & WHOLESALE SHOP,Patisserie,Wholesale bakery,Wholesale bakery,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 92135 75837,http://www.shifa.bakery.com/,4.8,,"802582, Santrampur, Narsingpur, Gujarat 389260",389265,23.182630399999997,73.895436,ChIJ0ZMfOwDJYDkRsydPCDY152w,https://www.google.com/maps/place/?q=place_id:ChIJ0ZMfOwDJYDkRsydPCDY152w,part_109,2026-09-20 16:39:59,455
Cakes_by_khushbu,Patisserie,Cake shop,Cake shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 96875 23330,N/A,4.9,,"gurukrupa soc, 4, Santrampur, Gujarat 389260",389265,23.190804099999998,73.8962994,ChIJEXjeeUnJYDkRHthy_DcWx90,https://www.google.com/maps/place/?q=place_id:ChIJEXjeeUnJYDkRHthy_DcWx90,part_109,2026-09-20 16:39:59,456
M J CAKE SHOP,Patisserie,Cake shop,Cake shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95376 23291,N/A,4.8,,"Shiv Shakti Complex, 01, Lunawada, Gujarat 389235",389265,23.2295253,73.7334656,ChIJgb_F97GzYDkRapx3Ulb2W2o,https://www.google.com/maps/place/?q=place_id:ChIJgb_F97GzYDkRapx3Ulb2W2o,part_109,2026-09-20 16:39:59,457
Mahagujarat Bakery And Sweets,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 72279 42727,N/A,4.2,,"Cross Road, opp. Municipal Civic Center, Rakhial, Ahmedabad, Gujarat 380021",Rakhial,23.022049,72.6206899,ChIJWRSQnQOHXjkRq3JwyRg1qug,https://www.google.com/maps/place/?q=place_id:ChIJWRSQnQOHXjkRq3JwyRg1qug,part_109,2026-09-20 16:39:59,458
Laxmi Hotel,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.1,,"Nava Bazaar Road, Santrampur, Gujarat 389260",389265,23.194295999999998,73.8973929,ChIJWZ3XfKLJYDkRCVgdfWKACyE,https://www.google.com/maps/place/?q=place_id:ChIJWZ3XfKLJYDkRCVgdfWKACyE,part_109,2026-09-20 16:39:59,459
SHREE KRUSHNA SWEET & FARSHAN,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,,"MAIN BAZAR, Santrampur, Gujarat 389260",389265,23.1944657,73.89787799999999,ChIJGdINxbTJYDkRb6AJl1Qyang,https://www.google.com/maps/place/?q=place_id:ChIJGdINxbTJYDkRb6AJl1Qyang,part_109,2026-09-20 16:39:59,460
PARV NAMKEEN & COLDDRINK,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 81418 33559,N/A,5.0,,"opp. PDC Bank, Santrampur, Gujarat 389260",389265,23.195570699999998,73.8959434,ChIJ23VJwhfJYDkRmRSyIHm-pjA,https://www.google.com/maps/place/?q=place_id:ChIJ23VJwhfJYDkRmRSyIHm-pjA,part_109,2026-09-20 16:39:59,461
Ramdev Cake Shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97372 32035,https://ramdev-cake-shop.grexa.site/,5.0,,"Shahjanand Nagar, Gondal, Gujarat 360311",Shahjanand Nagar,21.9711875,70.7929375,ChIJuRYe1P05WDkR43mhw91XgqI,https://www.google.com/maps/place/?q=place_id:ChIJuRYe1P05WDkR43mhw91XgqI,part_109,2026-09-20 16:39:59,462
Vagadiya Sunil,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"7V94+HJ, Saliya Muvadi, Gujarat 389250",389265,23.268957999999998,73.85652999999999,ChIJVX9iSwDLYDkRZRLBR0k6EhY,https://www.google.com/maps/place/?q=place_id:ChIJVX9iSwDLYDkRZRLBR0k6EhY,part_109,2026-09-20 16:39:59,463
Zeppoli bakers,Patisserie,Cake shop,Cake shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,http://www.zeppoli.in/,4.8,,"4, Gundala Rd, opp. Gangotri school, Mani Nagar, Gundala, Gondal, Gujarat 360311","Mani Nagar, Gundala",21.960973499999998,70.7847955,ChIJ59kcU6E5WDkRdzisE7jZJ9o,https://www.google.com/maps/place/?q=place_id:ChIJ59kcU6E5WDkRdzisE7jZJ9o,part_109,2026-09-20 16:39:59,464
Baker's House(Purely Homemade),Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90339 70569,N/A,5.0,,"Anand - Sojitra Rd, opp. S.R.Park, Vithal Udyognagar, GIDC, Anand, Gujarat 388120","Vithal Udyognagar, GIDC",22.5418861,72.94537009999999,ChIJF8XbjERNXjkRAkwo274fKE0,https://www.google.com/maps/place/?q=place_id:ChIJF8XbjERNXjkRAkwo274fKE0,part_109,2026-09-20 16:39:59,465
GUJARAT BAKERY,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,,"Anaval, Gujarat 396510",389265,20.8391633,73.2654912,ChIJkU38ufqP4DsRnZdroIPx914,https://www.google.com/maps/place/?q=place_id:ChIJkU38ufqP4DsRnZdroIPx914,part_109,2026-09-20 16:39:59,466
Gulshan Bakery & Sweets,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Sweet shop, Cookie shop",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99044 44445,N/A,4.2,,"Near Anant Mill Char Rasta, Opp. Rakhial Udhyog, Post Office, Industrial Area, Rakhial, Ahmedabad, Gujarat 380023","Industrial Area, Rakhial",23.0203608,72.62662379999999,ChIJbSC7On2GXjkRq5HwF4UIFOE,https://www.google.com/maps/place/?q=place_id:ChIJbSC7On2GXjkRq5HwF4UIFOE,part_109,2026-09-20 16:39:59,467
Punjab Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97250 63435,N/A,4.2,,"XJXF+PCH, Gujarat Housing Board, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008","Gujarat Housing Board, Maninagar East, Khokhra",22.9993238,72.6236,ChIJUT03K3OGXjkRLCGY9oM1bQE,https://www.google.com/maps/place/?q=place_id:ChIJUT03K3OGXjkRLCGY9oM1bQE,part_109,2026-09-20 16:39:59,468
Live Cake Company,Patisserie,Cake shop,Cake shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 85114 60707,N/A,4.8,,"Isanpur Rd, Bhadwatnagar, Maninagar, Ahmedabad, Gujarat 380008","Bhadwatnagar, Maninagar",22.987389699999998,72.603191,ChIJbb-3ie-FXjkRtd9csFBhpz0,https://www.google.com/maps/place/?q=place_id:ChIJbb-3ie-FXjkRtd9csFBhpz0,part_109,2026-09-20 16:39:59,469
Monjinis cake shop,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 88497 47099,N/A,4.2,,"besides rajbhog sweets, Jail Chowk Rd, Bhojrajpara, Gondal, Gujarat 360311",Bhojrajpara,21.9575325,70.7985927,ChIJ4f8P36g5WDkR1zxT5N75mFM,https://www.google.com/maps/place/?q=place_id:ChIJ4f8P36g5WDkR1zxT5N75mFM,part_109,2026-09-20 16:39:59,470
Govindpura,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,,,"6Q5M+6R3, Nava Muvada, Gujarat 389265",389265,23.2080105,73.7845569,ChIJke2tOgC1YDkR9iTOnlrfI-A,https://www.google.com/maps/place/?q=place_id:ChIJke2tOgC1YDkR9iTOnlrfI-A,part_109,2026-09-20 16:39:59,471
Mukesh Bakery,Patisserie,Bakery and Cake Shop,Bakery and Cake Shop,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 98985 08820,https://www.mukeshbakery.in/,4.3,,"opp. petrol pump, dudhiatalav, Gujarat 396445",Madhumati Colony,20.951425,72.929879,ChIJi_XpN7n34DsRJDjji-ABsUs,https://www.google.com/maps/place/?q=place_id:ChIJi_XpN7n34DsRJDjji-ABsUs,part_109,2026-09-20 16:39:59,472
The Centre Court,Patisserie,Bakery and Cake Shop,"Bakery and Cake Shop, Cake shop",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 63531 89423,https://www.thecentrecourtcakes.com/,4.3,2164.0,"SHOP 29, ROONGTA ESTELLA, 171 SQ STREET, Udhana - Magdalla Rd, nr. ANUVRAT DWAR Vesu, Bharthana, Surat, Gujarat 395005",Bharthana,21.1587481,72.7934746,ChIJywrepWNO4DsRvSp8WXObmR0,https://www.google.com/maps/place/?q=place_id:ChIJywrepWNO4DsRvSp8WXObmR0,part_109,2026-09-20 16:39:59,473
