business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
jai Thakar Provision Store,Provision Store,Wholesaler,Wholesaler,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99095 97596,N/A,5.0,2.0,"Jai Thakar Provision Store, near Bus Stend, Diwada, Gujarat 389250",389265,23.278205099999997,73.84053759999999,ChIJd9jtmIu1YDkRhy8HxhcDXUQ,https://www.google.com/maps/place/?q=place_id:ChIJd9jtmIu1YDkRhy8HxhcDXUQ,part_109,2026-09-20 16:39:57,302
New Krishna Provision Store,Provision Store,Grocery store,Grocery store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 95103 73129,N/A,5.0,1.0,"Parmar Faliyu, 71, Ambavadia, Gujarat 389360",Ambavadia,22.4073743,73.5092926,ChIJI2fAVWR5YDkRi-CWlMVS_Xo,https://www.google.com/maps/place/?q=place_id:ChIJI2fAVWR5YDkRi-CWlMVS_Xo,part_109,2026-09-20 16:39:57,303
Guru Krupa Provision Store,Provision Store,Grocery store,"Grocery store, General store",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97261 65943,N/A,,,"Chokdi, Diwada, Gujarat 389250",Chokdi,23.277970399999997,73.84307729999999,ChIJZzqra6fKYDkR8p0j6TYmjz4,https://www.google.com/maps/place/?q=place_id:ChIJZzqra6fKYDkR8p0j6TYmjz4,part_109,2026-09-20 16:39:57,304
JANI MEDICAL AND PROVISION STORE,Provision Store,Pharmacy,Pharmacy,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97121 34040,N/A,5.0,5.0,"Shreeji Complex, 01, COLONY, Diwada, Gujarat 389250",COLONY,23.2768706,73.84076259999999,ChIJw6B_sae1YDkRjoZbkRMbsjA,https://www.google.com/maps/place/?q=place_id:ChIJw6B_sae1YDkRjoZbkRMbsjA,part_109,2026-09-20 16:39:57,305
Lifecare pharmacy and provision store,Provision Store,Medical Center,Medical Center,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,5.0,2.0,"7RHV+7FV, Divdar, Diwada, Gujarat 389250",389265,23.278245899999998,73.84368529999999,ChIJQ7e2ZwDLYDkR1SwrLjoY2NE,https://www.google.com/maps/place/?q=place_id:ChIJQ7e2ZwDLYDkR1SwrLjoY2NE,part_109,2026-09-20 16:39:57,306
Gokul Provision Store,Provision Store,General store,"General store, Store",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99095 37111,N/A,5.0,1.0,"4, Mota Bazar, Santrampur, Gujarat 389260",Mota Bazar,23.1940888,73.8970874,ChIJWSAAo5nJYDkRcuGSfL0FTEw,https://www.google.com/maps/place/?q=place_id:ChIJWSAAo5nJYDkRcuGSfL0FTEw,part_109,2026-09-20 16:39:57,307
VINAYAK GENERAL STORE,Provision Store,General store,General store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 73592 56604,N/A,4.9,54.0,"Mamlatdar Kacheri, Same India Oil Pump, Pase, Ghoghamba, Gujarat 389365",Pase,22.571278,73.6333966,ChIJ3d74gsKHYDkRpSCr911uCMY,https://www.google.com/maps/place/?q=place_id:ChIJ3d74gsKHYDkRpSCr911uCMY,part_109,2026-09-20 16:39:57,308
Yogesvar kirana store,Provision Store,General store,General store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97732 49600,N/A,5.0,2.0,"5226, Kanawada, Gujarat 389230",389265,23.188173,73.861482,ChIJ5YnoTnLJYDkRu82Gb20GJSQ,https://www.google.com/maps/place/?q=place_id:ChIJ5YnoTnLJYDkRu82Gb20GJSQ,part_109,2026-09-20 16:39:57,309
Poonam Provision,Provision Store,General store,General store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 2823 220 797,N/A,4.2,335.0,"Stand Chowk, Khodpara, Jetpur, Gujarat 360370",Khodpara,21.7548986,70.6231588,ChIJ56ZV518XWDkR7NVF0FaRutQ,https://www.google.com/maps/place/?q=place_id:ChIJ56ZV518XWDkR7NVF0FaRutQ,part_109,2026-09-20 16:39:58,310
Gayatri Provision store,Provision Store,General store,General store,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99133 28743,N/A,4.7,15.0,"8R3M+CWC, Marketing Yard, Rajkot, Gujarat 360003",Marketing Yard,22.3035596,70.8347668,ChIJowx2jOC1WTkR2LOjyvL5FD0,https://www.google.com/maps/place/?q=place_id:ChIJowx2jOC1WTkR2LOjyvL5FD0,part_109,2026-09-20 16:39:58,311
