business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
KAP Call Center Pvt. Ltd.,Telemarketing Firms,Call center,Call center,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 97380 10001,https://bestcallcenter.in/,4.2,259.0,"1st Floor, S.V Arcade, No.25, South, E End Main Rd, Jayanagara 9th Block, East, Bengaluru, Karnataka 560041","Jayanagara 9th Block, East",12.916720699999999,77.594326,ChIJ0YkEWg8VrjsRCYuvDa9q-Qo,https://www.google.com/maps/place/?q=place_id:ChIJ0YkEWg8VrjsRCYuvDa9q-Qo,part_109,2026-09-20 16:40:29,6797
BPO Services,Telemarketing Firms,Telephone Marketing Agency,"Telephone Marketing Agency, BPO Company, BPO Placement Agency, Computer store, Data Entry Service Provider",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 79 4009 6691,N/A,3.6,5.0,"BLOCK-A, Naranpura Rd, near AEC Tower, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013","AEC Char Rasta, Naranpura",23.052738599999998,72.5491816,ChIJp9XLaRqFXjkRf6fqp8u1wNg,https://www.google.com/maps/place/?q=place_id:ChIJp9XLaRqFXjkRf6fqp8u1wNg,part_109,2026-09-20 16:40:29,6798
Amazon Affiliate Marketing,Telemarketing Firms,Advertising agency,Advertising agency,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",N/A,N/A,,,"Kalol, Malav, Gujarat 389310",389310,22.6003772,73.5523654,ChIJvSZ3KriBYDkRgl_LbAq-on0,https://www.google.com/maps/place/?q=place_id:ChIJvSZ3KriBYDkRgl_LbAq-on0,part_109,2026-09-20 16:41:02,9857
Agro Service Centre,Telemarketing Firms,Marketing consultant,Marketing consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 94265 75858,N/A,,,"Main Road, nr. Marketing Yard, Vejalpur, Gujarat 389340",389310,22.688728899999997,73.560847,ChIJSWeW0wGFYDkR90TNlFDzcJE,https://www.google.com/maps/place/?q=place_id:ChIJSWeW0wGFYDkR90TNlFDzcJE,part_109,2026-09-20 16:41:02,9858
Krishna DJ panchmahal,Telemarketing Firms,Marketing consultant,Marketing consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 97127 89722,N/A,5.0,,"MGQV+CC7 Gaytri Faliyu, Kharsaliya, Gujarat 389340",389310,22.6885369,73.5435443,ChIJHwo_yFmDYDkRf02QzKFFZek,https://www.google.com/maps/place/?q=place_id:ChIJHwo_yFmDYDkRf02QzKFFZek,part_109,2026-09-20 16:41:02,9859
Siddhi CSC Centre,Telemarketing Firms,Marketing consultant,Marketing consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 79840 88313,N/A,,,"High School Same, M R, Vejalpur Road, Adadara, Gujarat 389341",389310,22.6448125,73.6189429,ChIJ78UfJ0yFYDkRw6e7jGzMZds,https://www.google.com/maps/place/?q=place_id:ChIJ78UfJ0yFYDkRw6e7jGzMZds,part_109,2026-09-20 16:41:02,9860
SHUBH PADMA PETROLEUM,Telemarketing Firms,Marketing consultant,Marketing consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 89803 47621,N/A,,,"Kalol, Road, Malav, Gujarat 389310",389310,22.6044297,73.5480568,ChIJD4q7fg-BYDkRzb6Kwz_XwPg,https://www.google.com/maps/place/?q=place_id:ChIJD4q7fg-BYDkRzb6Kwz_XwPg,part_109,2026-09-20 16:41:02,9861
Mahadev Chinese,Telemarketing Firms,Marketing consultant,Marketing consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 90160 31958,N/A,,,"Mahadev Chinese, Raver, Gujarat 389341",389310,22.6045736,73.6327774,ChIJo-JY9bGHYDkRMyMetpQZBBs,https://www.google.com/maps/place/?q=place_id:ChIJo-JY9bGHYDkRMyMetpQZBBs,part_109,2026-09-20 16:41:02,9862
H&M VIRTUAL SERVICES PVT. LTD.,Telemarketing Firms,Business management consultant,Business management consultant,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 89554 88703,http://www.hnmvirtualservices.com/,4.9,21.0,"Unit No 1 and 2, A block, Ground floor Temenos Business Park, R S No 508, TP No 208, Atladara, Vadodara, Gujarat 390007",Atladara,22.2793022,73.16387689999999,ChIJ7xHJJRHGXzkRzcPORendDGE,https://www.google.com/maps/place/?q=place_id:ChIJ7xHJJRHGXzkRzcPORendDGE,part_109,2026-09-20 16:41:02,9863
Yamunaji Plastic,Telemarketing Firms,Marketing consultant,Marketing consultant,389320,Gujarat Circle,Vadodara Region,Panchmahals Division,"Derol R S SO, Bhadroli Khurd BO, Derol Gam BO",+91 99259 82575,N/A,,,"Derol Station Rd, Kalol, Gujarat 389330",389320,22.6255018,73.4599945,ChIJZei-2qQpXjkRNljIdH9sW1E,https://www.google.com/maps/place/?q=place_id:ChIJZei-2qQpXjkRNljIdH9sW1E,part_109,2026-09-20 16:41:36,12911
