business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gujarat Travels | A Unit of Gujarat Holidays India PVT LTD.,Bus Booking Agency,Travel agency,"Travel agency, Tour agency",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 94291 99946,https://www.gujarattravels.co.in/,3.4,3936.0,"Medicine Market, Shopping Center, opp. Shefali Centre, beside Jamnagar Travels, Paldi, Ahmedabad, Gujarat 380006",Paldi,23.015422599999997,72.5656645,ChIJfTwZNQKFXjkRl0W_nql8dFU,https://www.google.com/maps/place/?q=place_id:ChIJfTwZNQKFXjkRl0W_nql8dFU,part_109,2026-09-20 16:40:10
RR Travels Agency,Bus Booking Agency,Travel agency,Travel agency,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,http://www.rrtravelsurat.in/,4.6,19.0,"Shop no 5 Businesshouse, Unapani Rd, Galemandi, Haripura, Surat, Gujarat 395003","Galemandi, Haripura",21.2030986,72.8386829,ChIJsTav4LRP4DsRyIB39aObbTo,https://www.google.com/maps/place/?q=place_id:ChIJsTav4LRP4DsRyIB39aObbTo,part_109,2026-09-20 16:40:10
TANNA TRAVELS,Bus Booking Agency,Travel agency,Travel agency,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 92271 22967,https://tannabus.in/,3.9,1242.0,"Shastri Brg, near D-MART, Tarabaug, Sardar Nagar, Nizampura, Vadodara, Gujarat 390002","Tarabaug, Sardar Nagar, Nizampura",22.3259489,73.1764182,ChIJ1whWD8rIXzkRPoo5Su1QngA,https://www.google.com/maps/place/?q=place_id:ChIJ1whWD8rIXzkRPoo5Su1QngA,part_109,2026-09-20 16:40:10
Ashwamegh Travels,Bus Booking Agency,Bus ticket agency,"Bus ticket agency, Courier service, Travel agency",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,3.5,117.0,"Aakar Complex, opp. Shastri MAIDAN, Limda Chowk, Panchnath Plot, Sadar, Rajkot, Gujarat 360001","Limda Chowk, Panchnath Plot, Sadar",22.2964885,70.7990732,ChIJhThRWhvKWTkR6IODsbfLO9w,https://www.google.com/maps/place/?q=place_id:ChIJhThRWhvKWTkR6IODsbfLO9w,part_109,2026-09-20 16:40:10
Mahadev Travels Agency,Bus Booking Agency,Travel agency,Travel agency,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 94260 49326,http://www.mahadevbus.in/,3.6,295.0,"Rajlaxmi Plaza, Shop No 1&2, Shahibaug Rd., near Hajipura Garden, Bardolpura, Madhupura, Ahmedabad, Gujarat 380016","Bardolpura, Madhupura",23.0422853,72.5896916,ChIJf3ddGzaEXjkRpum1kfWFkic,https://www.google.com/maps/place/?q=place_id:ChIJf3ddGzaEXjkRpum1kfWFkic,part_109,2026-09-20 16:40:10
Sahjanand Travels,Bus Booking Agency,Travel agency,Travel agency,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99099 11306,http://shreesahjanandtravels.com/,3.6,296.0,"Manas Complex, Jodhpur, Ahmedabad, 4 Rasta, B-1, Satellite Rd, Jodhpur Village, Ahmedabad, Gujarat 380015",Jodhpur Village,23.025560499999997,72.5252835,ChIJDwlVM8yEXjkRfD4e2Zh-QWo,https://www.google.com/maps/place/?q=place_id:ChIJDwlVM8yEXjkRfD4e2Zh-QWo,part_109,2026-09-20 16:40:10
Shrinath Travel Agency Pvt Ltd,Bus Booking Agency,Travel agency,"Travel agency, Bus ticket agency, Transportation service",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 98259 88899,https://shrinathtravelsatellite.com/,4.1,794.0,"Someshwar Complex, 127, opposite Iscon Emporio, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.025807399999998,72.5244077,ChIJY_l6mjaFXjkRpl5E4gqfpnE,https://www.google.com/maps/place/?q=place_id:ChIJY_l6mjaFXjkRpl5E4gqfpnE,part_109,2026-09-20 16:40:10
Shree Swaminarayan Travels,Bus Booking Agency,Travel agency,Travel agency,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 98258 04762,http://www.sstbus.in/,3.4,224.0,"SHOP NO 2/A, Shefali Centre, opp. MEHNDI NAWAJANG HALL, Kocharab, Paldi, Ahmedabad, Gujarat 380006","Kocharab, Paldi",23.014841999999998,72.5660943,ChIJX8M2OQCFXjkRfToaIbIDcMY,https://www.google.com/maps/place/?q=place_id:ChIJX8M2OQCFXjkRfToaIbIDcMY,part_109,2026-09-20 16:40:10
Online Working Mobile Service Center Point,Bus Booking Agency,Mobile home rental agency,"Mobile home rental agency, Service establishment",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,1.0,1.0,"Online Working Mobile Service Center Point, 389265, India",389265,22.7490717,72.86324499999999,ChIJLUfHIb-1YDkReGudZn_f3lg,https://www.google.com/maps/place/?q=place_id:ChIJLUfHIb-1YDkReGudZn_f3lg,part_109,2026-09-20 16:40:10
SHRI SAI TRAVELS,Bus Booking Agency,Travel agency,"Travel agency, Car leasing service, Tour agency",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 90330 78586,http://shrisaitoursandtravels.in/,4.0,,"Sec. 20 ,polt no. 286,Akshar compelks Ashar comples, Gujarat 382021",Sector 20,23.229515,72.66812399999999,ChIJb1VVFQ4rXDkRtOoaFpwbMsQ,https://www.google.com/maps/place/?q=place_id:ChIJb1VVFQ4rXDkRtOoaFpwbMsQ,part_109,2026-09-20 16:40:10
