business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Sparsh skin clinic | Best Dermotologist in Godhra, Gujarat",Skin Clinic and Dermatologist,Dermatologist,Dermatologist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 92658 99668,https://sparshskinclinicgodhra.com/,4.6,175.0,"LIC (Chitra) Road, opposite chirag eye hospital, Charitrary Society, Kalal Darwaja, Godhra, Gujarat 389001","Charitrary Society, Kalal Darwaja",22.775747799999998,73.6212254,ChIJWYq5CjebYDkRGammoqWSRVE,https://www.google.com/maps/place/?q=place_id:ChIJWYq5CjebYDkRGammoqWSRVE,part_109,2026-09-20 16:40:06
"SkinBliss Clinic, Leading Dermatology and Cosmetology Clinic in Rajkot",Skin Clinic and Dermatologist,Dermatologist,Dermatologist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 6355 921 692,N/A,4.8,278.0,"7QW9+QRC, Suvidha Complex, Near Gandhigram Police Station, 150 Feet Ring Rd, opp. Ganesh Ford, Rajkot, Gujarat 360007",Raval Nagar,22.2969263,70.7695182,ChIJX1uAqKTLWTkRfOoHpxuAVuI,https://www.google.com/maps/place/?q=place_id:ChIJX1uAqKTLWTkRfOoHpxuAVuI,part_109,2026-09-20 16:40:06
Dr.Atul.c.shah,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 94263 22922,N/A,4.6,14.0,"Panjarapole Rd, Charitrary Society, Gandhi Nagar, Kalal Darwaja, Godhra, Gujarat 389001","Charitrary Society, Gandhi Nagar, Kalal Darwaja",22.775729899999998,73.62122409999999,ChIJl-myPRWbYDkRLLOLehFtUa8,https://www.google.com/maps/place/?q=place_id:ChIJl-myPRWbYDkRLLOLehFtUa8,part_109,2026-09-20 16:40:06
TULSI SKIN & HAIR CLINIC,Skin Clinic and Dermatologist,Medical clinic,Medical clinic,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",N/A,N/A,4.8,4.0,"Ajepar Nagar, Anjar, Gujarat 370110",Ajepar Nagar,23.116146,70.03156249999999,ChIJ2XbPd0vHUDkRmIUIMhDk808,https://www.google.com/maps/place/?q=place_id:ChIJ2XbPd0vHUDkRmIUIMhDk808,part_109,2026-09-20 16:40:06
Shiv skin clinic - Best skin & cosmetic clinic in modasa,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Laser hair removal service, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 91062 17309,https://www.instagram.com/shivskinclinic?igsh=d29tZHBreXRkYmhj&utm_source=qr,5.0,184.0,"First floor, Shubh complex, Bus stand, doctor house gali, below shreenath hospital, behind new, Lakshmi Society, Modasa, Gujarat 383315",Lakshmi Society,23.460127399999998,73.297003,ChIJD59XzvPxXTkR2ZKq0hGX9hU,https://www.google.com/maps/place/?q=place_id:ChIJD59XzvPxXTkR2ZKq0hGX9hU,part_109,2026-09-20 16:40:06
Skinheal Clinic - Best Dermatologist and Skin Specialist Clinic for Fungal Infection and Pigmentation Treatment Vadodara,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Laser hair removal service, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 77779 07223,https://www.instagram.com/skinhealvadodara?igsh=a3h5NmlrcmFyajQ4,4.9,,"Krisil Tower, 402, Gotri Rd, near Iscon Heights, above Kotak Mahindra Bank, Gotri, Vadodara, Gujarat 390021",Gotri,22.315214599999997,73.14106009999999,ChIJf9QfPtfJXzkR6KCQ4Vi97GU,https://www.google.com/maps/place/?q=place_id:ChIJf9QfPtfJXzkR6KCQ4Vi97GU,part_109,2026-09-20 16:40:06
"Dr. Jemish A. Patel Dermatologist - Best Cosmetic Clinic, Skin Specialist, Dermatologist",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Laser hair removal service, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99095 87003,https://drjemishskinclinic.com/,4.7,,"Shubham Skin, Hair & Laser Clinic 2nd Floor, Avi Square complex, Radhanpur Cir, opp. to Swaminarayan Temple, Mehsana, Gujarat 384002",Shankar Nagar Society,23.6066045,72.3821183,ChIJ_12PJzRDXDkROb6uIb91JWA,https://www.google.com/maps/place/?q=place_id:ChIJ_12PJzRDXDkROb6uIb91JWA,part_109,2026-09-20 16:40:06
"Fumtiwala Skin Clinic Dr Grishma Fumtiwala MD Skin , dermatologist, dermatosurgeon, laser and aesthetics",Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 99092 42484,N/A,4.6,,"H5 , RK casta, behind patel supermarket, Bharuch, Gujarat 392001",Moficer Jin Compound,21.7039628,72.9932596,ChIJISN0WFwn4DsRdcQgxEl-Ohw,https://www.google.com/maps/place/?q=place_id:ChIJISN0WFwn4DsRdcQgxEl-Ohw,part_109,2026-09-20 16:40:06
Niramayam Skin And Laser Clinic,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Cosmetic surgeon, Hospital, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 93752 21213,https://niramayam.clinic/,4.9,,"Bramhanand Chambers, opposite M P SHAH ARTS AND SCIENCE COLLEGE, near SUREKHA VADI, Surendranagar, Gujarat 363001",Ambedkarnagar,22.7226941,71.6443408,ChIJx5sgy99AWTkR2q-crh0JlHY,https://www.google.com/maps/place/?q=place_id:ChIJx5sgy99AWTkR2q-crh0JlHY,part_109,2026-09-20 16:40:06
Dr Neha Shukla - Dermatologist in Sargasan Gandhinagar,Skin Clinic and Dermatologist,Skin care clinic,"Skin care clinic, Hair removal service, Laser hair removal service, Pediatric dermatologist, Dermatologist",389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 96015 65327,https://eyeandskinhospital.in/,4.8,,"Chamber 11-12, Siddhraj Zori, Sarkhej - Gandhinagar Hwy, near ICICI Bank, Sargasan, Gandhinagar, Gujarat 382421",Sargasan,23.1926047,72.6136044,ChIJYzR-aogpXDkRYchQpVmA_ew,https://www.google.com/maps/place/?q=place_id:ChIJYzR-aogpXDkRYchQpVmA_ew,part_109,2026-09-20 16:40:06
Dr. Sachin Prajapati - Best Skin Doctor in Ahmedabad | Best Skin Clinic in Ahmedabad,Skin Clinic and Dermatologist,Dermatologist,Dermatologist,389265,Gujarat Circle,Vadodara Region,Panchmahals Division,"Malvan SO, Kajali BO, Kelamul BO",+91 75673 89110,N/A,4.3,,"109,110, Madhav 99, near Nirant Cross Road, Metrostation, Vastral, Ahmedabad, Gujarat 382418","Metrostation, Vastral",22.9992037,72.6596194,ChIJOU3ZiQSHXjkRgZfh4mDB8uk,https://www.google.com/maps/place/?q=place_id:ChIJOU3ZiQSHXjkRgZfh4mDB8uk,part_109,2026-09-20 16:40:06
