business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Matruchhaya trading company,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",N/A,N/A,,,"Sarkari Davakhana Pase, Marketing Yard, Road, Sureli, Vejalpur, Gujarat 389340",389310,22.6868798,73.5609022,ChIJ7yFhn6aFYDkRi9m-6-8fA6A,https://www.google.com/maps/place/?q=place_id:ChIJ7yFhn6aFYDkRi9m-6-8fA6A,part_109,2026-09-20 16:40:44
Ashapura marble and granite,Granite Dealer,Wholesaler,Wholesaler,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 77588 53084,N/A,4.3,7.0,"Uvarsad-Vavol Rd, Gujarat 382422",389310,23.2152356,72.6014244,ChIJD6Djr0QpXDkR-mRr-4KqZ2I,https://www.google.com/maps/place/?q=place_id:ChIJD6Djr0QpXDkR-mRr-4KqZ2I,part_109,2026-09-20 16:40:45
Goverdhan Granites,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 94480 09716,http://www.goverdhangranites.com/,4.4,51.0,"Hanamsagar Rd, Ilkal, Karnataka 587125",389310,15.964464999999999,76.104396,ChIJFbHP374MuDsRI7YhnIuCDLs,https://www.google.com/maps/place/?q=place_id:ChIJFbHP374MuDsRI7YhnIuCDLs,part_109,2026-09-20 16:40:46
Galaxy Granites & Creamics,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 87628 15364,N/A,4.8,45.0,"DD circle, hubli road, Ilkal, Karnataka 587125",389310,15.962987499999999,76.1051963,ChIJpQWTcr8MuDsRj4PGUtE8DNE,https://www.google.com/maps/place/?q=place_id:ChIJpQWTcr8MuDsRj4PGUtE8DNE,part_109,2026-09-20 16:40:46
Govind Granites,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 80737 57823,N/A,5.0,73.0,"Granite Market, Hanamsagar Rd, Ilkal, Karnataka 587125",389310,15.9629897,76.1047734,ChIJa4Owbb8MuDsRFZKVpRj3d20,https://www.google.com/maps/place/?q=place_id:ChIJa4Owbb8MuDsRFZKVpRj3d20,part_109,2026-09-20 16:40:46
Shiv tile,Granite Dealer,Granite supplier,"Granite supplier, Glass shop, Marble supplier, Stone supplier",389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 62320 36950,https://www.posshtown.in/,4.9,82.0,"001, RING ROAD, Marble Market, Navjeevan Society, Pachpedi Naka, Raipur, Mathpurena, Chhattisgarh 492001","Marble Market, Navjeevan Society, Pachpedi Naka",21.218630599999997,81.647784,ChIJTXA_SX3dKDoR0u-gxURJdB0,https://www.google.com/maps/place/?q=place_id:ChIJTXA_SX3dKDoR0u-gxURJdB0,part_109,2026-09-20 16:40:46
GAYATRI GRANITES,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 99452 01111,N/A,4.1,22.0,"X474+H4M, Hanamsagar Road, Main Road, Hanamsagar, Ilkal, Karnataka 587125",389310,15.9637356,76.1048275,ChIJRVSrBb8MuDsRzdsvG6AhblE,https://www.google.com/maps/place/?q=place_id:ChIJRVSrBb8MuDsRzdsvG6AhblE,part_109,2026-09-20 16:40:46
Shree Khilegaon Basaveshwar Granites,Granite Dealer,Granite supplier,Granite supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",N/A,N/A,5.0,13.0,"Plot No, 4, Sy No. 130/3/A Hanamasagar Road Balakundi, Village, Ilkal, Karnataka 587125",389310,15.939342799999999,76.09095909999999,ChIJyRYkYosNuDsRpljOtaX20l0,https://www.google.com/maps/place/?q=place_id:ChIJyRYkYosNuDsRpljOtaX20l0,part_109,2026-09-20 16:40:46
Indian Granites and stone,Granite Dealer,Marble supplier,Marble supplier,389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 98911 10069,https://indiangranites.org/,4.6,106.0,"Plot No:574, Bisrakh Rd, near LR International school, Roza Jalalpur, West, Roza Jalalpur Village, Greater Noida, Uttar Pradesh 203207","Roza Jalalpur, West, Roza Jalalpur Village",28.6001358,77.4651112,ChIJyYMWoaPvDDkRgiPcTkkuw7o,https://www.google.com/maps/place/?q=place_id:ChIJyYMWoaPvDDkRgiPcTkkuw7o,part_109,2026-09-20 16:40:46
GRANITE HOUSE,Granite Dealer,Granite supplier,"Granite supplier, Marble supplier, Tile contractor, Tile store, Waterproofing service",389310,Gujarat Circle,Vadodara Region,Panchmahals Division,"Delol SO, Alwa BO, Bedhiya BO",+91 86683 20226,N/A,4.9,64.0,"near Prasad Vatika Baliya mod, Bharkundl, Uttar Pradesh 275101",389310,25.962483799999998,83.57855049999999,ChIJR_xLIuKLkTkRmmsCQ35DcRc,https://www.google.com/maps/place/?q=place_id:ChIJR_xLIuKLkTkRmmsCQ35DcRc,part_109,2026-09-20 16:40:46
