business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kasim Itra,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",+91 97375 06363,N/A,5.0,1.0,"Majit, Godhra, Gujarat 389001",Majit,22.769157399999997,73.60209499999999,ChIJI23VioebYDkRFz6FZliOh6w,https://www.google.com/maps/place/?q=place_id:ChIJI23VioebYDkRFz6FZliOh6w,part_109,2026-09-20 16:42:17
Royal deluxe pan,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,,,"1, Dahod Rd, opp. Swaminarayan Tempel, Bapunagar Society, Godhra, Vavadi Bujarg Part, Gujarat 389002",Bapunagar Society,22.7760893,73.6460626,ChIJOZQcHQCbYDkREmXZAejF5Rw,https://www.google.com/maps/place/?q=place_id:ChIJOZQcHQCbYDkREmXZAejF5Rw,part_109,2026-09-20 16:42:17
Rohan Dabeli,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",+91 97123 07857,N/A,3.6,10.0,"Shop No 2, Rohan Dabeli Bastope, Brahma Society, Bhuravav, Godhra, Gujarat 389001","Brahma Society, Bhuravav",22.778956299999997,73.6209775,ChIJ2636lJibYDkRli2LAFKqGfI,https://www.google.com/maps/place/?q=place_id:ChIJ2636lJibYDkRli2LAFKqGfI,part_109,2026-09-20 16:42:17
Bhavyarajsinh farm 🚜,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,,,"VH9R+GCP, Bahi, Ambajati, Gujarat 389002",389340,22.8688373,73.5910667,ChIJDUmeCQCZYDkRqqGyg6Lc8_k,https://www.google.com/maps/place/?q=place_id:ChIJDUmeCQCZYDkRqqGyg6Lc8_k,part_109,2026-09-20 16:42:17
Talib khan,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",+91 98259 63752,N/A,5.0,1.0,"Popatpura Rd, Godhra, Popatpura, Gujarat 389001",389340,22.7269197,73.58756939999999,ChIJjScAfh2bYDkR6hHsZo07GF4,https://www.google.com/maps/place/?q=place_id:ChIJjScAfh2bYDkR6hHsZo07GF4,part_109,2026-09-20 16:42:17
Tadi,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,,,"PHQ6+HX3, Ambali, Gujarat 389340",389340,22.7388875,73.56242189999999,ChIJWYxWSwCbYDkRoveHfncVVKE,https://www.google.com/maps/place/?q=place_id:ChIJWYxWSwCbYDkRoveHfncVVKE,part_109,2026-09-20 16:42:17
Vagadiyavas 2,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,,,"317-A, Shakti Park Society, Parwatinagar Colony, Yogeshwar Society, Godhra, Gujarat 389002","Shakti Park Society, Parwatinagar Colony, Yogeshwar Society",22.7864746,73.6175052,ChIJs45fJQCbYDkREJV5s_mVmoI,https://www.google.com/maps/place/?q=place_id:ChIJs45fJQCbYDkREJV5s_mVmoI,part_109,2026-09-20 16:42:17
Radha Bevfa,Bar and Pub,Live music bar,Live music bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,1.0,1.0,"Q9MF+PGP, Sanakr lahera na Muvada ,Timba road (Gothada) Ta Godhra, Dist, Tuwa, Gujarat 388710",389340,22.784331299999998,73.3738169,ChIJJUZk29MhXjkRd5r8Sk4GPmo,https://www.google.com/maps/place/?q=place_id:ChIJJUZk29MhXjkRd5r8Sk4GPmo,part_109,2026-09-20 16:42:17
Bharta rtw,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,5.0,1.0,"HQJ8+3R, Ambakhunt, Gujarat 389380",389340,22.580123699999998,73.7670839,ChIJ19wXUwCLYDkRbJnGLcvMAb0,https://www.google.com/maps/place/?q=place_id:ChIJ19wXUwCLYDkRbJnGLcvMAb0,part_109,2026-09-20 16:42:17
Restaurant & Beer Bar,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,4.9,21.0,"285G+W8G, Khanpur, Bhinmal, Rajasthan 343029",389340,25.009824599999998,72.3258317,ChIJg0wZoWNrQzkRJFikqW_WJVw,https://www.google.com/maps/place/?q=place_id:ChIJg0wZoWNrQzkRJFikqW_WJVw,part_109,2026-09-20 16:42:17
Grenpey samet,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,,,"Kabirpurchokdi.nadishrrod, Chokdi, Timba Road, Gujarat 388710",Chokdi,22.8451961,73.4298073,ChIJx-sURrYhXjkRfFftNZcrZ5I,https://www.google.com/maps/place/?q=place_id:ChIJx-sURrYhXjkRfFftNZcrZ5I,part_109,2026-09-20 16:42:17
Kammy’s Mountain Bar,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",+91 88305 33119,N/A,3.9,156.0,"WQG3+325, Bhose - Mahabaleshwar Rd, Bhose, Maharashtra 412806",389340,17.9251438,73.7526233,ChIJR_l8BeRnwjsRsj69YaerWD8,https://www.google.com/maps/place/?q=place_id:ChIJR_l8BeRnwjsRsj69YaerWD8,part_109,2026-09-20 16:42:18
Friends Bar and Resturant,Bar and Pub,Bar,Bar,389340,Gujarat Circle,Vadodara Region,Panchmahals Division,"Vejalpur SO, Bhalania BO, Eral BO",N/A,N/A,4.3,28.0,"F87X+8R6, Sehswan, 184144",389340,32.4632856,75.3495299,ChIJVdvGxZxtHDkRYd2W3Svt3fs,https://www.google.com/maps/place/?q=place_id:ChIJVdvGxZxtHDkRYd2W3Svt3fs,part_109,2026-09-20 16:42:18
