business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jalaram Super Market,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 99984 92073,N/A,4.7,,"Jalaram Super Market, Bariya Road, Sherpura, Ghoghamba, Gujarat 389365",Sherpura,22.5713215,73.6434165,ChIJJTE22nmHYDkRPkCKLc1Q_IA,https://www.google.com/maps/place/?q=place_id:ChIJJTE22nmHYDkRPkCKLc1Q_IA,part_109,2026-09-20 16:42:46
Shree Jalaram Masala Gruh Udhyog,Supermarket,Food Processing Company,Food Processing Company,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 91067 61899,N/A,4.1,,"Damavav chowkdi, Kantu, road, Damavav, Gujarat 389380",389341,22.7036916,73.7589789,ChIJ7VVA4qaNYDkRTENPdy3Mt-c,https://www.google.com/maps/place/?q=place_id:ChIJ7VVA4qaNYDkRTENPdy3Mt-c,part_109,2026-09-20 16:42:46
Mukund,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 95585 39018,N/A,,,"Limda Chawak, Main Bazar, Ghoghamba, Gujarat 389365",389341,22.5707377,73.645696,ChIJbwMPB9-HYDkRdX-5Ghs7Jbo,https://www.google.com/maps/place/?q=place_id:ChIJbwMPB9-HYDkRdX-5Ghs7Jbo,part_109,2026-09-20 16:42:46
TARUN ENTERPRISE,Supermarket,Supermarket,"Supermarket, Indian grocery store",389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 99255 23319,N/A,4.1,,"Main Bazar, Ghoghamba, Gujarat 389365",Main Bazar,22.5704696,73.64700239999999,ChIJAxstJtGHYDkRytaYrSt09W0,https://www.google.com/maps/place/?q=place_id:ChIJAxstJtGHYDkRytaYrSt09W0,part_109,2026-09-20 16:42:46
AZIMI PAN CENTER,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",N/A,N/A,,,"HJCW+7CV, Unnamed Road, Ghoghamba, Gujarat 389365",389341,22.5707356,73.64604609999999,ChIJy3KwAraHYDkROm9W6GPZxT8,https://www.google.com/maps/place/?q=place_id:ChIJy3KwAraHYDkROm9W6GPZxT8,part_109,2026-09-20 16:42:46
Maruti traders,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",N/A,N/A,4.5,,"opposite civil hospital, main bazar, Ghoghamba, Gujarat 389365",main bazar,22.570328699999997,73.6459809,ChIJb26VXQaHYDkR0W6o-9HF4uQ,https://www.google.com/maps/place/?q=place_id:ChIJb26VXQaHYDkR0W6o-9HF4uQ,part_109,2026-09-20 16:42:46
Maa Chamunda Poojapa,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 94287 82198,N/A,4.5,,"Ghoghamba, Halol, Gujarat 389365",389341,22.5707408,73.6416169,ChIJ42BQ8W2HYDkRNbCFxwnauo0,https://www.google.com/maps/place/?q=place_id:ChIJ42BQ8W2HYDkRNbCFxwnauo0,part_109,2026-09-20 16:42:46
Godhra Hypermarket,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 84608 52172,N/A,4.2,,"gramin Colony, 21, Godhra Bypass Rd, lunavada, Ajodhya Pur, Godhra, Gujarat 389001","lunavada, Ajodhya Pur",22.77256,73.64449019999999,ChIJPb1RdECaYDkRU3qUtclT0Gg,https://www.google.com/maps/place/?q=place_id:ChIJPb1RdECaYDkRU3qUtclT0Gg,part_109,2026-09-20 16:42:47
Rashmi Super Mart,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 99792 99076,N/A,4.9,,"Nani Khakha, Bhadia Road, Nani Khakhar, Gujarat 370435",389341,22.8780039,69.5155443,ChIJ7YndiEovUTkRiqUT-pkFbHk,https://www.google.com/maps/place/?q=place_id:ChIJ7YndiEovUTkRiqUT-pkFbHk,part_109,2026-09-20 16:42:47
JADEJA SUPER MARKET,Supermarket,General store,General store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 93137 12649,N/A,4.8,,"Main, Bajar Panchayat Choak, Lakadia, Gujarat 370145",389341,23.345428899999998,70.57892199999999,ChIJHSdS6EtyWjkRyxyfyajmSzE,https://www.google.com/maps/place/?q=place_id:ChIJHSdS6EtyWjkRyxyfyajmSzE,part_109,2026-09-20 16:42:47
PARIVAR SUPER MARKET,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 99301 72747,N/A,4.9,,"Andhariyo Vaas St, Samakhiali, Gujarat 370150",389341,23.304501899999998,70.50652029999999,ChIJ6X7Fsnp1WjkR5cOslB5Mdyg,https://www.google.com/maps/place/?q=place_id:ChIJ6X7Fsnp1WjkR5cOslB5Mdyg,part_109,2026-09-20 16:42:47
Jay Jalaram Kela Suppliers,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 98258 43153,N/A,4.2,,"Panjarapole, Kalal Darwaja, Godhra, Gujarat 389001","Panjarapole, Kalal Darwaja",22.7742494,73.62229529999999,ChIJj_Wew0SaYDkRweg1-TqdQH4,https://www.google.com/maps/place/?q=place_id:ChIJj_Wew0SaYDkRweg1-TqdQH4,part_109,2026-09-20 16:42:47
NEW WELCOME SUPER MARKET,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 89809 19238,N/A,4.8,,"Village to, Chakar, OPP-PATELWADI,SALARI NAKA ROAD Jadura, Rapar, Gujarat 370165",389341,23.572778,70.6474527,ChIJdT55kwFjWjkRpVJUQae-o6o,https://www.google.com/maps/place/?q=place_id:ChIJdT55kwFjWjkRpVJUQae-o6o,part_109,2026-09-20 16:42:47
Laxmi Super Market,Supermarket,Supermarket,"Supermarket, Grocery store",389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 99794 56180,N/A,4.1,,"Near, Old Bus Station Road, Samakhiali, Gujarat 370150",389341,23.3054207,70.50423169999999,ChIJX72jqJJ0WjkRKudlRmk82iE,https://www.google.com/maps/place/?q=place_id:ChIJX72jqJJ0WjkRKudlRmk82iE,part_109,2026-09-20 16:42:47
Vishwash Super Market,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 76000 40028,N/A,4.6,30.0,"Vallabh Complex, Giriraj Society, Nagrik Bank Society, Bayad, Gujarat 383325","Giriraj Society, Nagrik Bank Society",23.2246314,73.2138824,ChIJcwCD8tgJXjkRkA9AYudzzcQ,https://www.google.com/maps/place/?q=place_id:ChIJcwCD8tgJXjkRkA9AYudzzcQ,part_109,2026-09-20 16:42:47
M.G. Shop,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",N/A,N/A,4.9,16.0,"HPWR+WCV, Unnamed Road, Harbatiyali, Gujarat 363650",389341,22.597357,70.741051,ChIJlYteudPrWTkRYYkAliwjCTw,https://www.google.com/maps/place/?q=place_id:ChIJlYteudPrWTkRYYkAliwjCTw,part_109,2026-09-20 16:42:47
Shiv Krupa Genral Store,Supermarket,Supermarket,Supermarket,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 63524 12272,N/A,1.0,1.0,"HJCV+6HX, Ghoghamba Bazar, Ghoghamba, Gujarat 389365",389341,22.5706049,73.64399,ChIJ56GJU52HYDkRPoiJQKIma7I,https://www.google.com/maps/place/?q=place_id:ChIJ56GJU52HYDkRPoiJQKIma7I,part_109,2026-09-20 16:42:47
Reliance SMART Superstore,Supermarket,Hypermarket,"Hypermarket, Appliance store, Beverage Store, Convenience store, Dairy store, Gourmet grocery store, Health food store, Home goods store, Indian grocery store, Produce market",389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",+91 1800 891 0001,https://stores.reliancesmartbazaar.com/reliance-smart-superstore-hypermarket-vaniyavad-nadiad-280423/Home,4.1,2035.0,"Kant Apartment Petlad Road, Vaniya Vad Rd, opposite Chandan Jewellers, Nadiad, Gujarat 387001",Shanti Nagar,22.6846426,72.8737476,ChIJsdvYcRRbXjkRbaelNgPKA2U,https://www.google.com/maps/place/?q=place_id:ChIJsdvYcRRbXjkRbaelNgPKA2U,part_109,2026-09-20 16:42:48
સતીમાં કિરાણા સ્ટોર્સી,Supermarket,Grocery store,Grocery store,389341,Gujarat Circle,Vadodara Region,Panchmahals Division,"Adadra SO, Bhilod BO, Chalali BO",N/A,N/A,,,"Sindhi Market, Neminath Nagar, Deesa, Gujarat 385535","Sindhi Market, Neminath Nagar",24.2563064,72.1768894,ChIJ01aKLR29XDkRa3PcFQ2w6MI,https://www.google.com/maps/place/?q=place_id:ChIJ01aKLR29XDkRa3PcFQ2w6MI,part_109,2026-09-20 16:42:48
