business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HARISHREE TRADERS,Building Material Supplier,Building materials supplier,Building materials supplier,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 88665 80472,N/A,5.0,,"Shop No.5, near Mendra, Chokdi, Devgadh Baria, Mendra, Gujarat 389380",Chokdi,22.685145499999997,73.90174499999999,ChIJIXbWwgTzYDkRocak2yXr3XI,https://www.google.com/maps/place/?q=place_id:ChIJIXbWwgTzYDkRocak2yXr3XI,part_109,2026-09-20 16:45:54
Hariom traders,Building Material Supplier,Building materials store,Building materials store,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 98799 91915,N/A,4.0,,"Rajmahal, Devgadh Baria, road, Devgadh Baria, Gujarat 389380",389380,22.706723099999998,73.9130709,ChIJc94WmEzzYDkRj3jl-kcKYX8,https://www.google.com/maps/place/?q=place_id:ChIJc94WmEzzYDkRj3jl-kcKYX8,part_109,2026-09-20 16:45:54
Vinayak traders (ULTRATECH),Building Material Supplier,Building materials store,Building materials store,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",N/A,N/A,5.0,,"MWX7+JP6, Holi Chakla, Devgadh Baria, Gujarat 389380",Holi Chakla,22.699153,73.91438819999999,ChIJIzgCcADzYDkRwP2vSp1v2TE,https://www.google.com/maps/place/?q=place_id:ChIJIzgCcADzYDkRwP2vSp1v2TE,part_109,2026-09-20 16:45:54
Dhruvi Traders,Building Material Supplier,Building materials supplier,Building materials supplier,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",N/A,N/A,,,"Dabhva, near Hanumanji Tempal, Sagtala, Devgadh Baria, Gujarat 389380",389380,22.5886861,73.9046986,ChIJWRUHScj1YDkReQPUzmKTnVM,https://www.google.com/maps/place/?q=place_id:ChIJWRUHScj1YDkReQPUzmKTnVM,part_109,2026-09-20 16:45:54
JK Lakshmi Cement Ltd. - Vyavhar Traders,Building Material Supplier,Cement Supplier,"Cement Supplier, Building materials store, Cement Manufacturer, Construction equipment supplier, Construction Material Wholesaler",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 96385 96675,https://www.jklakshmicement.com/dealer-locator/,,,"Mahakali Compound, near Tower Devgad, Holi Chakla, Devgadh Baria, Gujarat 389380",Holi Chakla,22.702175999999998,73.915407,ChIJDceyi8PzYDkRE5LA0dVnxCE,https://www.google.com/maps/place/?q=place_id:ChIJDceyi8PzYDkRE5LA0dVnxCE,part_109,2026-09-20 16:45:54
JK Lakshmi Cement Ltd. - Pramukh Cement Depo,Building Material Supplier,Cement Supplier,"Cement Supplier, Building materials store, Cement Manufacturer, Construction equipment supplier, Construction Material Wholesaler",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 94094 12609,https://www.jklakshmicement.com/dealer-locator/,,,"Pavanputra Complex, Chhota Udaipur Road, Devgadh Baria, Gujarat 389380",389380,22.70348,73.91247,ChIJg9vWbKTzYDkR2MoGH6IPyvg,https://www.google.com/maps/place/?q=place_id:ChIJg9vWbKTzYDkR2MoGH6IPyvg,part_109,2026-09-20 16:45:54
Dhruvi Tredars,Building Material Supplier,Building materials store,Building materials store,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",N/A,N/A,,,"HWQ3+MV5, SH 62, Khandaniya, Gujarat 389380",389380,22.5886912,73.90477849999999,ChIJNyW_HAD1YDkRK-OqvLdiPpk,https://www.google.com/maps/place/?q=place_id:ChIJNyW_HAD1YDkRK-OqvLdiPpk,part_109,2026-09-20 16:45:54
Harsh trading Company,Building Material Supplier,Paint store,Paint store,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 97128 95404,N/A,1.0,,"Kanya Shala Rd, Devgadh Baria, Gujarat 389380",389380,22.7020533,73.90939159999999,ChIJa1IUI-rzYDkR_ZcJZATRBpg,https://www.google.com/maps/place/?q=place_id:ChIJa1IUI-rzYDkR_ZcJZATRBpg,part_109,2026-09-20 16:45:54
N.L.Trading Company,Building Material Supplier,Building materials supplier,"Building materials supplier, Wholesaler",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 96649 75817,N/A,5.0,,"National Highway, 59, Panchela, Gujarat 389130",59,22.813673599999998,73.90122869999999,ChIJ5zyIAmjsYDkRL2tbnHOBey8,https://www.google.com/maps/place/?q=place_id:ChIJ5zyIAmjsYDkRL2tbnHOBey8,part_109,2026-09-20 16:45:54
UltraTech Building Solutions,Building Material Supplier,Building materials store,Building materials store,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 99983 50553,https://www.ultratechcement.com/,,,"CHARVI TRADERS, Sancha Gali, AT, Devgadh Baria, Gujarat 389380",AT,22.700385,73.90836089999999,ChIJsaqMBoDzYDkRDBoOgwEv5r0,https://www.google.com/maps/place/?q=place_id:ChIJsaqMBoDzYDkRDBoOgwEv5r0,part_109,2026-09-20 16:45:54
