business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raj Kapadiya Dance Class And Event Management,Music and Dance Academy,Dance school,"Dance school, Dance club",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 98791 06469,https://youtube.com/@rajkapadiyark,4.9,97.0,"82/1 K.K. HOUSE MAA PARVATI NAGAR MUVALIYA CHOKDI, opposite MARGA FARM, Dahod, Gujarat 389151",389380,22.8265411,74.2328929,ChIJ7X8038YdYTkR2P5BTY0JoAo,https://www.google.com/maps/place/?q=place_id:ChIJ7X8038YdYTkR2P5BTY0JoAo,part_109,2026-09-20 16:46:01
fly dynamite Dance & Gym,Music and Dance Academy,Fitness center,"Fitness center, Gym",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 94268 40519,N/A,4.6,13.0,"R7M5+W47, Burhani Society, Shidhpur, Dahod, Gujarat 389151","Burhani Society, Shidhpur",22.8393357,74.252259,ChIJtQ-ySTsdYTkRuVRG9NHcyf8,https://www.google.com/maps/place/?q=place_id:ChIJtQ-ySTsdYTkRuVRG9NHcyf8,part_109,2026-09-20 16:46:01
Dharma's MUSIC & DANCE Academy,Music and Dance Academy,Dance school,Dance school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 94930 71498,N/A,4.9,49.0,"1-4, S Kota Road, near SBI Collectorate Jn. Branch, Sai Baba Nagar, Vizianagaram Cantonment, Siriyalapeta, Andhra Pradesh 535003","Sai Baba Nagar, Vizianagaram Cantonment",18.1199776,83.3840031,ChIJEwqKs8blOzoRdQ0OMKlABA8,https://www.google.com/maps/place/?q=place_id:ChIJEwqKs8blOzoRdQ0OMKlABA8,part_109,2026-09-20 16:46:01
Chatterjee Music & Dance Academy (Sapna Sangeeta Road),Music and Dance Academy,Music school,Music school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 93013 04933,N/A,4.9,203.0,"547 Fourth Floor, Vikram Tower, Sapna Sangeeta Rd, Old Agarwal Nagar, Indore, Madhya Pradesh 452001",Old Agarwal Nagar,22.7011778,75.8701888,ChIJhRWlb5D9YjkRcUHwrm71ujM,https://www.google.com/maps/place/?q=place_id:ChIJhRWlb5D9YjkRcUHwrm71ujM,part_109,2026-09-20 16:46:01
Rock star academy,Music and Dance Academy,Dance school,Dance school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 99131 20472,N/A,5.0,24.0,"Sarva Vidyalaya Kelavani Mandal Campus Rd, opp. railway station, Sardar Bagh, Kadi, Gujarat 384440",Sardar Bagh,23.2930611,72.3276454,ChIJQTj0IvwZXDkRQZUwQt2PaHQ,https://www.google.com/maps/place/?q=place_id:ChIJQTj0IvwZXDkRQZUwQt2PaHQ,part_109,2026-09-20 16:46:01
"Joshi's School of Music, Dance, Acting",Music and Dance Academy,Music school,Music school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",N/A,N/A,4.9,10.0,"WH85+2FG, 7th Cross Rd, RK Layout 1st Stage, Banashankari 2nd Stage, Padmanabhanagar, Bengaluru, Karnataka 560070","RK Layout 1st Stage, Banashankari 2nd Stage, Padmanabhanagar",12.915102599999999,77.5586276,ChIJ3WxUIQA_rjsRG2ZaV2Iysvg,https://www.google.com/maps/place/?q=place_id:ChIJ3WxUIQA_rjsRG2ZaV2Iysvg,part_109,2026-09-20 16:46:01
One Step Dance Academy,Music and Dance Academy,Dance school,Dance school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 88664 69124,N/A,5.0,66.0,"Shop No - FF/14, PEARL GARDEN Opp Greenfields-3, Near D-Mart, Vasna - Bhayli Main Rd, Vadodara, Gujarat 391410",Bhayli,22.2806635,73.1303983,ChIJAR_JwCjHXzkROIqh10t1E-E,https://www.google.com/maps/place/?q=place_id:ChIJAR_JwCjHXzkROIqh10t1E-E,part_109,2026-09-20 16:46:01
D K School Of Music & Dance Academy,Music and Dance Academy,Music school,Music school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 93820 28454,N/A,4.0,29.0,"7A, 1st Cross St, Achuthan Nagar, Sivalingapuram, Ekkatuthangal, Chennai, Tamil Nadu 600032","Achuthan Nagar, Sivalingapuram, Ekkatuthangal",13.0412083,80.2084844,ChIJkXWCXzRnUjoRVJEWyBLL3iE,https://www.google.com/maps/place/?q=place_id:ChIJkXWCXzRnUjoRVJEWyBLL3iE,part_109,2026-09-20 16:46:01
B unique dance Studio Dahod,Music and Dance Academy,Dance school,"Dance school, Art studio, Dance hall, Fitness center, Women's personal trainer, Yoga studio",389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 79844 65066,https://instagram.com/manishmrmaxx?igshid=ZGUzMzM3NWJiOQ==,4.8,65.0,"khushil platinum, F 12, Mandav Rd, Shantikunj Society, Govindnagar, Dahod, Gujarat 389151","Shantikunj Society, Govindnagar",22.8332165,74.2657485,ChIJf7N1VscdYTkRHL-GY-ccPFk,https://www.google.com/maps/place/?q=place_id:ChIJf7N1VscdYTkRHL-GY-ccPFk,part_109,2026-09-20 16:46:01
Feel Dance Academy,Music and Dance Academy,Dance school,Dance school,389380,Gujarat circle,Vadodara Region,Panchmahals Division,"Ambakhunt BO, Antela BO, Baina BO",+91 75672 98675,N/A,4.9,365.0,"35, Nanubhai Tower, Mehsana Nagar Rd, Mahesana Nagar, Nizampura, Vadodara, Gujarat 390024","Mahesana Nagar, Nizampura",22.3377613,73.1844751,ChIJIwAAADvPXzkR2Z1n4vZ8wT8,https://www.google.com/maps/place/?q=place_id:ChIJIwAAADvPXzkR2Z1n4vZ8wT8,part_109,2026-09-20 16:46:02
