business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Babji Telecom,IT and Telecom Services,Electronics store,"Electronics store, Cell phone accessory store, Cell phone store, Mobile phone repair shop",389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",N/A,N/A,5.0,,"Ashram Rd, Jesavada, Gujarat 389152",389382,22.7400305,74.1978963,ChIJh5HKm1f9YDkRbxo0UQBNPgQ,https://www.google.com/maps/place/?q=place_id:ChIJh5HKm1f9YDkRbxo0UQBNPgQ,part_109,2026-09-20 16:46:59
Bharmal Mobile Service,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 76980 53052,N/A,5.0,,"opp. Central Bank, Dahod, Jesavada, Gujarat 389152",389382,22.7401922,74.198354,ChIJy2PwRIr9YDkRHrfCxGkL9aE,https://www.google.com/maps/place/?q=place_id:ChIJy2PwRIr9YDkRHrfCxGkL9aE,part_109,2026-09-20 16:46:59
NIJNAME MOBILE SHOP,IT and Telecom Services,Cell phone accessory store,"Cell phone accessory store, Cell phone store",389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 96872 70028,N/A,4.7,,"MGVCL OFFICE, Dhanpur, Gujarat 389382",389382,22.6338725,74.1042181,ChIJOXHQHWr5YDkRZZFnJqe8EA4,https://www.google.com/maps/place/?q=place_id:ChIJOXHQHWr5YDkRZZFnJqe8EA4,part_109,2026-09-20 16:46:59
Jesawada,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",N/A,N/A,5.0,,"P5RX+M73, Jesavada, Gujarat 389152",389382,22.7416377,74.1981666,ChIJzckCbQD9YDkRYL5QdMX7ieY,https://www.google.com/maps/place/?q=place_id:ChIJzckCbQD9YDkRYL5QdMX7ieY,part_109,2026-09-20 16:46:59
Burhani Mobile Service,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 99042 25200,N/A,4.5,,"opp. Graam Panchayat, Jesawada, Main Bazar, Jesavada, Gujarat 389152",Main Bazar,22.7401929,74.1985747,ChIJHd7-dXL9YDkRiUrZ4hpCQl4,https://www.google.com/maps/place/?q=place_id:ChIJHd7-dXL9YDkRiUrZ4hpCQl4,part_109,2026-09-20 16:46:59
Jay Bhawani Mobile And Electric Shop,IT and Telecom Services,Cell phone store,Cell phone store,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 98792 88364,N/A,5.0,,"Jay Bhawani Mobile And Electric Shop, Dhanpur, Singawali, Gujarat 389382",389382,22.6406469,74.0910481,ChIJ8cSJpov5YDkRyUCvWlF034c,https://www.google.com/maps/place/?q=place_id:ChIJ8cSJpov5YDkRyUCvWlF034c,part_109,2026-09-20 16:46:59
Classic Communication,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",N/A,N/A,5.0,,"J3PX+PMG, Unnamed Road, Dhanpur, Gujarat 389382",389382,22.6368188,74.0992073,ChIJfwwmfQ35YDkRqNuVCmmVcc8,https://www.google.com/maps/place/?q=place_id:ChIJfwwmfQ35YDkRqNuVCmmVcc8,part_109,2026-09-20 16:46:59
Vikram Bhabhor,IT and Telecom Services,Mobile network operator,Mobile network operator,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",N/A,N/A,5.0,,"P678+M8C, Abhlod, Nadhelav, Gujarat 389152",389382,22.713780999999997,74.21458799999999,ChIJ8YoLkyD9YDkRU6dku-OaRT8,https://www.google.com/maps/place/?q=place_id:ChIJ8YoLkyD9YDkRU6dku-OaRT8,part_109,2026-09-20 16:46:59
OM INFOSYS DAHOD,IT and Telecom Services,Outlet mall,Outlet mall,389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 2673 222 277,N/A,5.0,,"EKTA COMPLEX, GADI FORT ROAD , OPP KOTAK MAHINDRA BANK,, near OM INFOSYS, Dahod, Gujarat 389151",Govindnagar,22.834301,74.25921,ChIJ61i0IawdYTkRfXmiIkZHDzw,https://www.google.com/maps/place/?q=place_id:ChIJ61i0IawdYTkRfXmiIkZHDzw,part_109,2026-09-20 16:47:00
infotel wireless communication,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Service establishment",389382,Gujarat Circle,Vadodara Region,Panchmahals Division,"Dhanpur SO, Agaswani BO, Bhorva BO",+91 91998 78567,http://www.bhadoghat.weebly.com/,4.7,,"infotel wireless communication, 389382, India",389382,26.322351299999998,85.8070058,ChIJIzCGfCuV7TkRKH3W8kh9kxg,https://www.google.com/maps/place/?q=place_id:ChIJIzCGfCuV7TkRKH3W8kh9kxg,part_109,2026-09-20 16:47:00
