business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Flower-DecOration Service.,Flower Decorator,Flower designer,"Flower designer, Balloon artist",390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 63517 68632,https://flowerdecoration-service.grexa.site/,5.0,24.0,"Kalali Fatak Khiskoli Circle, Atladara, Vadodara, Gujarat 390007",Atladara,22.275402699999997,73.1637914,ChIJC4dUZcXHXzkRe4RV836sxr0,https://www.google.com/maps/place/?q=place_id:ChIJC4dUZcXHXzkRe4RV836sxr0,part_109,2026-09-20 16:48:02
FLOWER decoration,Flower Decorator,Flower market,Flower market,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 91733 83189,N/A,5.0,47.0,"opposite Sonia studio, Khanderao Market Char Rasta, Kevdabaug, Vadodara, Gujarat 390001","Khanderao Market Char Rasta, Kevdabaug",22.2972724,73.20158769999999,ChIJAQEYGvzFXzkRRlAymcqhjzw,https://www.google.com/maps/place/?q=place_id:ChIJAQEYGvzFXzkRRlAymcqhjzw,part_109,2026-09-20 16:48:02
Dhara Flower Decoration,Flower Decorator,Flower designer,Flower designer,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 97378 08502,N/A,4.9,58.0,"Navi Dharti Mohalla, 137, jagadsma chok, mali mohallo, ranavas, Nagarwada, Vadodara, Gujarat 390001","mali mohallo, ranavas, Nagarwada",22.3084308,73.20194579999999,ChIJt68sdgjPXzkRa2BPFZtSRJI,https://www.google.com/maps/place/?q=place_id:ChIJt68sdgjPXzkRa2BPFZtSRJI,part_109,2026-09-20 16:48:02
Radha Krishna Flowers Decorations,Flower Decorator,Flower delivery,Flower delivery,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",N/A,N/A,,,"Near, Khanderao Market Char Rasta, Vadodara, Gujarat 390001","Khanderao Market Char Rasta, Babajipura",22.2980827,73.2007607,ChIJNX7uu8bFXzkRjBJLKB4nFWQ,https://www.google.com/maps/place/?q=place_id:ChIJNX7uu8bFXzkRjBJLKB4nFWQ,part_109,2026-09-20 16:48:02
Sai Flower,Flower Decorator,Interior Decorator,Interior Decorator,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",N/A,N/A,5.0,1.0,"K10 Index, A-06, Jetalpur Rd, opposite Grand Mercure Surya Palace, Parshuram Nagar, Sayajiganj, Vadodara, Gujarat 390007","Parshuram Nagar, Sayajiganj",22.3062033,73.18394889999999,ChIJ3yAeVgDPXzkR5xoJgjOaLOU,https://www.google.com/maps/place/?q=place_id:ChIJ3yAeVgDPXzkR5xoJgjOaLOU,part_109,2026-09-20 16:48:02
The fulwala.com,Flower Decorator,Florist,Florist,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 70166 86835,N/A,5.0,11.0,"75XH+XQ7, Chhani, Vadodara, Gujarat 390007",Chhani,22.2999033,73.1795241,ChIJPWQnVADJXzkRRCRyh3nA164,https://www.google.com/maps/place/?q=place_id:ChIJPWQnVADJXzkRRCRyh3nA164,part_109,2026-09-20 16:48:02
Genda Phool - Fresh Flower Delivery,Flower Decorator,Florist,"Florist, Delivery service, Flower delivery, Flower designer, Flower market, Recycling center, Wholesale florist",390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",N/A,http://www.mygendaphool.com/,4.6,162.0,"Khanderao Market, Parishram, Punit Pol, behind hathi pole, Vadodara, Gujarat 390001",Babajipura,22.2979172,73.1997559,ChIJBw_-jhzHXzkRvQMlgQBQt-E,https://www.google.com/maps/place/?q=place_id:ChIJBw_-jhzHXzkRvQMlgQBQt-E,part_109,2026-09-20 16:48:02
Sheetal Flower Decoration,Flower Decorator,Dried flower shop,"Dried flower shop, Flower designer",390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 78020 51943,http://sheetalflowerdecoration.com/,4.4,8.0,"woard No. 8, Bhathiji Temple, near Raopura, Opposite Suryanarayan Baug, Raopura, Nagarwada, Vadodara, Gujarat 390001","Opposite Suryanarayan Baug, Raopura, Nagarwada",22.3040926,73.1967835,ChIJnex3qFnPXzkRrjskxLJQiWA,https://www.google.com/maps/place/?q=place_id:ChIJnex3qFnPXzkRrjskxLJQiWA,part_109,2026-09-20 16:48:02
Jay Ambe Flowers Decoration Vadodara,Flower Decorator,Store,Store,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 95742 45688,N/A,5.0,2.0,"ward office 7, Jalaram Mandir Rd, near Bahuchraji, Mali Mohalla, Nagarwada, Vadodara, Gujarat 390001","Mali Mohalla, Nagarwada",22.3110596,73.1978756,ChIJB9c4Q2LPXzkRNBbnFHYEUy8,https://www.google.com/maps/place/?q=place_id:ChIJB9c4Q2LPXzkRNBbnFHYEUy8,part_109,2026-09-20 16:48:02
JK Florist,Flower Decorator,Florist,"Florist, Cake shop, Dried flower shop, Event management company, Flower delivery, Flower designer, Flower market, Gift shop, Wedding planner, Wholesale florist",390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 96242 22233,https://www.jkflorist.com/,4.6,120.0,"Shop No.41,42, Phoenix Complex Jetalpur Rd Near Suraj Plaza, Sayajiganj, Vadodara, Gujarat 390007","Sarod, Sayajiganj",22.306886499999997,73.1811894,ChIJO3S79FLPXzkR2i-LfBI_tyg,https://www.google.com/maps/place/?q=place_id:ChIJO3S79FLPXzkR2i-LfBI_tyg,part_109,2026-09-20 16:48:02
