business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Varuna Packers And Movers,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 93762 15879,N/A,5.0,,"Shop No.4, RC Dutt Rd, near Ivory Terrace, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.310008399999997,73.175456,ChIJuaH-Q27JXzkRA91i876u5rM,https://www.google.com/maps/place/?q=place_id:ChIJuaH-Q27JXzkRA91i876u5rM,part_109,2026-09-20 16:47:55
Kiran Packers And Movers Baroda,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 84694 84250,N/A,5.0,,"Shreeji Market, B17, Kansara Pole, Chokshi Bazar, Vadodara, Gujarat 390001","Kansara Pole, Chokshi Bazar",22.3000066,73.2065137,ChIJ8bymIMbFXzkRr1Rh59cN_fY,https://www.google.com/maps/place/?q=place_id:ChIJ8bymIMbFXzkRr1Rh59cN_fY,part_109,2026-09-20 16:47:55
BTC Packers and Movers,Packers and Movers,Packaging company,Packaging company,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 84699 90102,https://www.btcpackers.com/,4.8,,"B, Shreeji Market, 18, Harni Rd, opposite Vrundavan Township, Ganganagar Society, Pushpakunj Society, Karelibagh, Vadodara, Gujarat 390006","Ganganagar Society, Pushpakunj Society, Karelibagh",22.3204837,73.21412509999999,ChIJbbMk0CPPXzkRSCPhJdpbDFA,https://www.google.com/maps/place/?q=place_id:ChIJbbMk0CPPXzkRSCPhJdpbDFA,part_109,2026-09-20 16:47:55
Agarwal Packers And Movers Vadodara,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",N/A,N/A,5.0,,"Shop No 25, Nirman Park Society, Railway Colony, Manjalpur, Vadodara, Gujarat 390011","Nirman Park Society, Railway Colony, Manjalpur",22.2781184,73.182864,ChIJ075PdxrFXzkRZr4utjsQZAs,https://www.google.com/maps/place/?q=place_id:ChIJ075PdxrFXzkRZr4utjsQZAs,part_109,2026-09-20 16:47:55
Maruti packers movers,Packers and Movers,Packaging company,Packaging company,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 98988 04318,https://marutipackersandmoversvadodara.com/,5.0,,"shree ji market, C1,10, Vadodara, Gujarat 390006","Nageshwar Society, Pushpakunj Society, Karelibagh",22.316286599999998,73.2109516,ChIJmX5rTMLPXzkR4W1qbD1k0-I,https://www.google.com/maps/place/?q=place_id:ChIJmX5rTMLPXzkR4W1qbD1k0-I,part_109,2026-09-20 16:47:55
Gatiway Packers And Movers Private Limited,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 98122 92625,N/A,5.0,,"First Floor, near Manubhai Mehta Hall, Pratapgunj, Vadodara, Gujarat 390007",Pratapgunj,22.3155961,73.1835929,ChIJNTnWZHnPXzkRSfeYIGcw-Lg,https://www.google.com/maps/place/?q=place_id:ChIJNTnWZHnPXzkRSfeYIGcw-Lg,part_109,2026-09-20 16:47:55
Packers And Movers In Vadodara,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 74046 30255,https://ambepackersandmovers.com/,5.0,,"First Floor,Shop No F-102, Krishan Complex, Gotri, Vadodara, Gujarat 390021",Gotri,22.3156355,73.1379142,ChIJt-T9oaHJXzkRCDcQhVbWO0Y,https://www.google.com/maps/place/?q=place_id:ChIJt-T9oaHJXzkRCDcQhVbWO0Y,part_109,2026-09-20 16:47:55
AVENTUS PACKERS AND MOVERS,Packers and Movers,Transportation service,"Transportation service, Moving service",390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 77789 77807,https://porterpackersandmovers.com/,5.0,,"Shop No 212, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.312352699999998,73.17679749999999,ChIJXQBwXU7JXzkRuQpiRpNeQ1Y,https://www.google.com/maps/place/?q=place_id:ChIJXQBwXU7JXzkRuQpiRpNeQ1Y,part_109,2026-09-20 16:47:55
Agarwal Packers And Movers Vadodara,Packers and Movers,Moving and storage service,Moving and storage service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 95875 34844,N/A,,,"Shop No 12/1, Block A, MG Rd, nr. Jain Temple, Kamala Nagar, Bajwada, Vadodara, Gujarat 390001","Kamala Nagar, Bajwada",22.3017502,73.20691599999999,ChIJEZj1ITLPXzkRl_afzBqumZU,https://www.google.com/maps/place/?q=place_id:ChIJEZj1ITLPXzkRl_afzBqumZU,part_109,2026-09-20 16:47:55
PORTER PACKERS AND MOVERS,Packers and Movers,Transportation service,Transportation service,390001,Gujarat Circle,Vadodara Region,Vadodara East Division,"Vadodara HO, Khanderao Market SO, Madanzampa SO",+91 87808 67994,N/A,5.0,,"Shop No 36, Kunj Society, Alkapuri, Vadodara, Gujarat 390007","Kunj Society, Alkapuri",22.314310799999998,73.1733374,ChIJTb-waXnJXzkRhrJWCh47nvY,https://www.google.com/maps/place/?q=place_id:ChIJTb-waXnJXzkRhrJWCh47nvY,part_109,2026-09-20 16:47:55
