business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ShivShakti Xerox Point & CSC Centre cum Stationery Shop,Xerox and Photostat Center,Copy shop,"Copy shop, Cell phone store, Stationery store, Fax Service Provider, Online Share Trading Center, Toy store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 72848 46206,N/A,4.7,18.0,"GF-49, 764G+RV5 Aakruti Heights, D-60, behind Hotel Sarvottam, nr. Akshar Public School, Tarsali, Vadodara, Gujarat 390009",Tarsali,22.2576644,73.2278393,ChIJm_38v-vFXzkRYKMJYmaAF5c,https://www.google.com/maps/place/?q=place_id:ChIJm_38v-vFXzkRYKMJYmaAF5c,part_109,2026-09-20 16:49:59
PATEL STATIONARY & XEROX,Xerox and Photostat Center,Print shop,"Print shop, Stationery store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 92655 48767,N/A,4.9,65.0,"GAYATRI TEMPLE, GF 05 OAKLAND BUILDING, STANZA HOSTEL, WAGODIYA ROAD, near HP PETROL PUMP, Vadodara, Gujarat 390019",390004,22.2919841,73.2822834,ChIJZxwgVfnFXzkRexqor5prGv0,https://www.google.com/maps/place/?q=place_id:ChIJZxwgVfnFXzkRexqor5prGv0,part_109,2026-09-20 16:49:59
Bansal stationery & Zerox,Xerox and Photostat Center,Copy shop,"Copy shop, Store, Lamination service, Stationery store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 98985 27316,N/A,4.4,8.0,"14, Tulshidham Road, Shanti Kunj 2, GIDC Industrial Area, Manjalpur, Vadodara, Gujarat 390011","Shanti Kunj 2, GIDC Industrial Area, Manjalpur",22.2713337,73.19335459999999,ChIJqUH1qNzFXzkRZfNlNIyX4Xk,https://www.google.com/maps/place/?q=place_id:ChIJqUH1qNzFXzkRZfNlNIyX4Xk,part_109,2026-09-20 16:49:59
Maruti Stationery & Zerox Center,Xerox and Photostat Center,Stationery store,Stationery store,390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 84014 71331,N/A,4.9,31.0,"GF/2 Sakar East Complex Near Gurunanak School tarsali-danteshwar, opp. Bansal Mall, ringroad B/s, Shilp Residency, Tarsali, Vadodara, Gujarat 390009","ringroad B/s, Shilp Residency, Tarsali",22.269276299999998,73.2227834,ChIJQ70x0qDFXzkRglDUdg6qf1Q,https://www.google.com/maps/place/?q=place_id:ChIJQ70x0qDFXzkRglDUdg6qf1Q,part_109,2026-09-20 16:49:59
MANGAL STATIONERY AND XEROX,Xerox and Photostat Center,Stationery store,Stationery store,390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 99749 69709,N/A,5.0,52.0,"FF-2, NILKANTH AVENUE, Waghodia Rd, nr. Uma Char Rasta, Prabhat Nagar, Waghodia, Vadodara, Gujarat 390019","Prabhat Nagar, Waghodia",22.3005322,73.2313681,ChIJ51tid3_FXzkRlJub5vECu7Y,https://www.google.com/maps/place/?q=place_id:ChIJ51tid3_FXzkRlJub5vECu7Y,part_109,2026-09-20 16:49:59
Jai Ambe Stationery & Xerox,Xerox and Photostat Center,Copy shop,"Copy shop, Bookbinder, Stationery store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 81410 02521,N/A,4.0,63.0,"Shop No.17, Nandgam Shopping Center, Char Rasta, Waghodia Rd, opposite Suvarnlaxmi Apartment, near Vrundavan, Pangat Park, Waghodia, Vadodara, Gujarat 390019","Pangat Park, Waghodia",22.300150499999997,73.23683539999999,ChIJwb2fPnzFXzkR9F0o7XqFGlY,https://www.google.com/maps/place/?q=place_id:ChIJwb2fPnzFXzkR9F0o7XqFGlY,part_109,2026-09-20 16:49:59
Shreeji Cyber cafe csc center,Xerox and Photostat Center,Internet cafe,"Internet cafe, Stationery store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 99040 71768,N/A,4.2,38.0,"Mahesh Nagar Shopping Centre, F/24, Dabhoi - Waghodia Ring Rd, opp. Bharat Petrolpump Road, Mahesh Nagar, Suryanagar, Vadodara, Gujarat 390025","Mahesh Nagar, Suryanagar",22.2820459,73.2310304,ChIJKUncOHXFXzkRkJROLiyNAo8,https://www.google.com/maps/place/?q=place_id:ChIJKUncOHXFXzkRkJROLiyNAo8,part_109,2026-09-20 16:49:59
Sundram Stationery & Xerox,Xerox and Photostat Center,Print shop,"Print shop, Copy shop, Home goods store, Lamination service, Stationery store, Rubber stamp store",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 86901 33322,N/A,4.1,46.0,"Kapdwanj, Shivam Society, Manjalpur, Vadodara, Gujarat 390011","Kapdwanj, Shivam Society, Manjalpur",22.2731347,73.1861024,ChIJdWMx9N7FXzkR_nAV7xwgHXw,https://www.google.com/maps/place/?q=place_id:ChIJdWMx9N7FXzkR_nAV7xwgHXw,part_109,2026-09-20 16:49:59
Quality Xerox And Stationery,Xerox and Photostat Center,Stationery store,Stationery store,390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 91578 43766,N/A,4.6,7.0,"cosmos bank, Shop no 2 prabhat complex, opp. site, Prabhat Nagar, Waghodia, Vadodara, Gujarat 390019","Shanti Nagar 1, Prabhat Nagar, Waghodia",22.300399499999997,73.2346367,ChIJIbbm1kPFXzkRvHiK03o6mqQ,https://www.google.com/maps/place/?q=place_id:ChIJIbbm1kPFXzkRvHiK03o6mqQ,part_109,2026-09-20 16:49:59
Sparsh Stationary & csc center,Xerox and Photostat Center,Stationery store,Stationery store,390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 63526 14886,N/A,4.9,28.0,"Kala Darshan Society, Shop-12,Radhe Govind complex, Cross Road, Waghodia Rd, Vadodara, Gujarat 390025",Waghodia,22.2914924,73.22938549999999,ChIJPT80GWjFXzkRXJFm7Op-8qQ,https://www.google.com/maps/place/?q=place_id:ChIJPT80GWjFXzkRXJFm7Op-8qQ,part_109,2026-09-20 16:49:59
Mangalam Stationary,Xerox and Photostat Center,Stationery store,"Stationery store, Bookbinder, Lamination service",390004,Gujarat Circle,Vadodara Region,Vadodara East Division,"Pratapnagar SO Vadodara, Danteshwar BO, Kapurai BO",+91 98252 14266,N/A,4.5,,"Mebal Complex, B 2, opp. Sports Complex, Matrupuram Society, Manjalpur, Vadodara, Gujarat 390011","Matrupuram Society, Manjalpur",22.273170999999998,73.1857222,ChIJJ4UD-N7FXzkRXDnCsvMAAIA,https://www.google.com/maps/place/?q=place_id:ChIJJ4UD-N7FXzkRXDnCsvMAAIA,part_109,2026-09-20 16:50:00
