business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BGC Event,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 97262 32314,https://linktr.ee/bgc_events,5.0,,"Samir Park Society, 59/60, High Tension Rd, Subhanpura, Vadodara, Gujarat 390021",Subhanpura,22.3196424,73.1523085,ChIJi45ic3TJXzkRC3BkjYVD838,https://www.google.com/maps/place/?q=place_id:ChIJi45ic3TJXzkRC3BkjYVD838,part_109,2026-09-20 16:51:10
Glamour events 6 | Best event planner | wedding planner,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",N/A,N/A,4.9,,"75V3+RJ7 Siddharth Excellence, New, Vasna Rd, Saraswati Society, Tandalja, Vadodara, Gujarat 390012","Saraswati Society, Tandalja",22.294562499999998,73.1540625,ChIJ50849vOoYKsRSLowrQ4ffCU,https://www.google.com/maps/place/?q=place_id:ChIJ50849vOoYKsRSLowrQ4ffCU,part_109,2026-09-20 16:51:10
The Event Wale,Event Planners/Wedding Planners,Wedding planner,Wedding planner,390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 96623 31060,http://theeventwale.co.in/,4.9,,"B6, Vamil Park, Gotri Rd, opposite Axis Bank, Gotri, Vadodara, Gujarat 390021",Gotri,22.3178531,73.1398701,ChIJEXElaaHlZzkRV7xcaAtaSRA,https://www.google.com/maps/place/?q=place_id:ChIJEXElaaHlZzkRV7xcaAtaSRA,part_109,2026-09-20 16:51:10
Shyam Faraskhana - Trusted Event Planners & Decorators Since 1981,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Entertainment agency, Event planner, Event technology service, Exhibition planner, Party equipment rental service, Party planner, Tent House Supplier, Event management company",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 98980 62727,N/A,4.8,,"30mt, Vasna Bhayli Link Rd, behind Times Square, near Earth Artica, Ashwamegh Nagar, Tandalja, Vadodara, Gujarat 390020","Ashwamegh Nagar, Tandalja",22.291955599999998,73.1403356,ChIJJbGx82LPXzkRHKuDAi6wbXM,https://www.google.com/maps/place/?q=place_id:ChIJJbGx82LPXzkRHKuDAi6wbXM,part_109,2026-09-20 16:51:10
Parivar Decorators & Event Management,Event Planners/Wedding Planners,Event planner,"Event planner, Event management company",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",N/A,N/A,4.9,,"Vasna - Tandalja Rd, opp. Vadiwala School, opp. Vadivala School, Kismat Chokdi, Tandalja, Vadodara, Gujarat 390020","Kismat Chokdi, Tandalja",22.290585,73.142361,ChIJUU32QLDHXzkRPihagdhVCs4,https://www.google.com/maps/place/?q=place_id:ChIJUU32QLDHXzkRPihagdhVCs4,part_109,2026-09-20 16:51:10
Palak balloon decoration and events management,Event Planners/Wedding Planners,Event planner,Event planner,390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 70695 03024,N/A,4.9,,"panchmukhi hausing, 21/23, Vasna - Bhayli Main Rd, Ashwamegh Nagar, Tandalja, Vadodara, Gujarat 390020","Ashwamegh Nagar, Tandalja",22.293533699999998,73.1391246,ChIJNfTRpN3HXzkROxytuUE1iXA,https://www.google.com/maps/place/?q=place_id:ChIJNfTRpN3HXzkROxytuUE1iXA,part_109,2026-09-20 16:51:10
Greenleaf events,Event Planners/Wedding Planners,Event management company,Event management company,390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 92653 21082,N/A,4.9,,"Vasna - Bhayli Main Rd, Bhayli, Vadodara, Gujarat 391410",Bhayli,22.2935134,73.13725219999999,ChIJ5YZyjj7HXzkROwAsjTzo7UE,https://www.google.com/maps/place/?q=place_id:ChIJ5YZyjj7HXzkROwAsjTzo7UE,part_109,2026-09-20 16:51:10
HR CREATION DIWALIPURA,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Balloon artist, Event management company, Event planner, Event venue, Party planner, Sailing event area",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 6355 202 987,https://instagram.com/hr_decorations_craft,4.9,,"SHANKAR BAUG SOCIETY, 24, Sainath Rd, opposite JAYNIDHI TOWNSHIP, Shankarbaug Society, Rangavdhutpura, Diwalipura, Vadodara, Gujarat 390007","Shankarbaug Society, Rangavdhutpura, Diwalipura",22.299339699999997,73.15532019999999,ChIJny-iPlTJXzkRmiVNEs51Od4,https://www.google.com/maps/place/?q=place_id:ChIJny-iPlTJXzkRmiVNEs51Od4,part_109,2026-09-20 16:51:10
Anubhuti Events & Weddings,Event Planners/Wedding Planners,Wedding planner,"Wedding planner, Event management company, Event planner, Wedding service, Wedding venue",390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",N/A,N/A,4.6,,"Everest Hub, 310, Gotri Road, opp. Narayan Garden Road, New Alkapuri, Gulmohar West, Vadodara, Gujarat 390023","New Alkapuri, Gulmohar West",22.327664799999997,73.134081,ChIJA5Jk8lfIXzkRLoBN_7pIpd8,https://www.google.com/maps/place/?q=place_id:ChIJA5Jk8lfIXzkRLoBN_7pIpd8,part_109,2026-09-20 16:51:11
PARADISE EVENT & decoration,Event Planners/Wedding Planners,Event management company,Event management company,390007,Gujarat Circle,Vadodara Region,Vadodara West Division,"Alkapuri SO, Racecourse SO, Vidhyut Nagar Colony SO",+91 90238 45527,https://www.instagram.com/paradise_event7?igsh=MXBoa24yaXJxOWl3Zw==,4.9,,"Abvaa avenue, Sun Pharma Rd, beside sun pharma company, Soudagar Park, Tandalja, Vadodara, Gujarat 390012","Soudagar Park, Tandalja",22.281164699999998,73.1515405,ChIJs9pCs8THXzkRKYDb1NAW9hs,https://www.google.com/maps/place/?q=place_id:ChIJs9pCs8THXzkRKYDb1NAW9hs,part_109,2026-09-20 16:51:11
