business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Star Mutton Shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 94270755563,N/A,5.0,,"2PXM+XH2, Kavant - Nasvadi Rd, Nasvadi, Gujarat 391150",391120,22.0498861,73.73389209999999,ChIJr6pqiDkRYDkRg_6KpQ6j-n4,https://www.google.com/maps/place/?q=place_id:ChIJr6pqiDkRYDkRg_6KpQ6j-n4,part_109,2026-09-20 17:04:23
Farooq chicken & mutton shop,Meat and Poultry Shop,Chicken & Mutton Shop,Chicken & Mutton Shop,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 95105 58385,https://farooq-chicken-mutton.grexa.site/,5.0,,"Shop No 01, Matru Chaya Appartment, Ram Nagar, Chhiri, Vapi, Chharwada, Gujarat 396191","Ram Nagar, Chhiri",20.3771892,72.9355254,ChIJI9g-r17P4DsR2T7BBF4rBeQ,https://www.google.com/maps/place/?q=place_id:ChIJI9g-r17P4DsR2T7BBF4rBeQ,part_109,2026-09-20 17:04:24
Azad Poultry & Animal,Meat and Poultry Shop,Poultry farm,Poultry farm,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 95586 29552,N/A,4.6,,"Azad Poultry and Animals, Makda Falya, Ambheta, Gujarat 396409",Makda Falya,20.7857429,73.0514642,ChIJ73Na-kTt4DsRq6Lgyn-UbY4,https://www.google.com/maps/place/?q=place_id:ChIJ73Na-kTt4DsRq6Lgyn-UbY4,part_109,2026-09-20 17:04:24
Shahrukh Chicken Center,Meat and Poultry Shop,Store,Store,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 96879 09017,N/A,5.0,,"SHOP NO -7, opp. HOTEL ROYAL INN GARUDESHWAR, CHOKDI GARUDESHWAR, Kevadia, Akteshwar, Gujarat 393151",CHOKDI GARUDESHWAR,21.891040999999998,73.6464814,ChIJPZfcOj0FYDkRBaaXW5dIC40,https://www.google.com/maps/place/?q=place_id:ChIJPZfcOj0FYDkRBaaXW5dIC40,part_109,2026-09-20 17:04:24
Miyani Farm,Meat and Poultry Shop,Leisure center,Leisure center,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 63523 52269,N/A,4.0,96.0,"GJ SH 169, near Millennium school, Narthan, Gujarat 395005",391120,21.275716,72.71733669999999,ChIJycRZPilL4DsRC98d1xAHtvY,https://www.google.com/maps/place/?q=place_id:ChIJycRZPilL4DsRC98d1xAHtvY,part_109,2026-09-20 17:04:24
Bali Meat Junction,Meat and Poultry Shop,Meat products store,Meat products store,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 79721 62101,https://balimeatjunction.com/,4.9,142.0,"Anna Bhau Sathe Business Complex, Lenin Chowk, Fashi Pool, Navnath Nager, Dhule, Maharashtra 424001","Fashi Pool, Navnath Nager",20.8945836,74.766824,ChIJ_U9mMyfF3jsRLxnW4rLejYc,https://www.google.com/maps/place/?q=place_id:ChIJ_U9mMyfF3jsRLxnW4rLejYc,part_109,2026-09-20 17:04:24
New Mutton Market,Meat and Poultry Shop,Chicken & Mutton Shop,"Chicken & Mutton Shop, Meat products store",391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",N/A,N/A,3.9,319.0,"4/4031, opp Mutton Market, Zampa Bazaar, Zampa Bazar, Begampura, Surat, Gujarat 395003","Zampa Bazar, Begampura",21.1965993,72.8334704,ChIJ31x00l5O4DsRUH0G125tFyA,https://www.google.com/maps/place/?q=place_id:ChIJ31x00l5O4DsRUH0G125tFyA,part_109,2026-09-20 17:04:24
CHICK 'N' CUTS,Meat and Poultry Shop,Chicken shop,Chicken shop,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 97255 19480,N/A,4.9,114.0,"284-A, Mamta Talkies Rd, opposite Sahajanand Society, Eshwar Nagar, Godadara, Limbayat, Surat, Gujarat 395010","Eshwar Nagar, Godadara, Limbayat",21.176117899999998,72.8650578,ChIJY1CiV-JP4DsRi2-hCs6x-aE,https://www.google.com/maps/place/?q=place_id:ChIJY1CiV-JP4DsRi2-hCs6x-aE,part_109,2026-09-20 17:04:24
Ettemad Agro Pvt Ltd.,Meat and Poultry Shop,Meat wholesaler,"Meat wholesaler, Chicken & Mutton Shop, Cold storage facility, Meat processor, Poultry farm, Seafood wholesaler",391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 96675 40557,https://ettemadagro.com/,4.9,,"417/20, near VIKAS MINAR, ITO, IP Estate, Delhi, 110002","ITO, IP Estate",28.627540699999997,77.2437932,ChIJJyPtJLP9DDkRRhxhokIzeFI,https://www.google.com/maps/place/?q=place_id:ChIJJyPtJLP9DDkRRhxhokIzeFI,part_109,2026-09-20 17:04:25
Alfaiz Enterprises,Meat and Poultry Shop,Meat products store,Meat products store,391120,Gujarat Circle,Vadodara Region,Vadodara East Division,"Tilakwada SO, Ambalia BO, Bujetha BO",+91 93722 23313,http://www.alfaizenterprises.com/,4.2,,"Gut No 190, 1/2/3, NH3, Daregaon, Malegaon, Maharashtra 423205",Daregaon,20.5498622,74.5625919,ChIJD33CZGqZ3jsRFudeMQtAKv4,https://www.google.com/maps/place/?q=place_id:ChIJD33CZGqZ3jsRFudeMQtAKv4,part_109,2026-09-20 17:04:25
