business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SK auto electrical,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",N/A,N/A,5.0,,"NH 48, Jhanghar, Gujarat 392210",391121,21.832897,73.05147529999999,ChIJJ6b7NwCNXzkRcUlSVsI7Flc,https://www.google.com/maps/place/?q=place_id:ChIJJ6b7NwCNXzkRcUlSVsI7Flc,part_109,2026-09-20 17:05:09
INDIAN AUTO ELECTRIC SERVICE,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 92651 34432,N/A,5.0,,"X88J+5W4, Chanduvava, Dari, Gujarat 362265",391121,20.9654909,70.3322075,ChIJmdnMMgAx_TsRDwJOsu91J0E,https://www.google.com/maps/place/?q=place_id:ChIJmdnMMgAx_TsRDwJOsu91J0E,part_109,2026-09-20 17:05:09
National Auto Electric Works,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Electronics store",391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 94277 28132,N/A,4.3,,"Krishna Shopping Centre, Thasra, Gujarat 388250",391121,22.795983,73.2112046,ChIJWcUofEY8XjkRClb_GqWOfNs,https://www.google.com/maps/place/?q=place_id:ChIJWcUofEY8XjkRClb_GqWOfNs,part_109,2026-09-20 17:05:09
ASR Auto Electric service,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 98985 96951,N/A,5.0,,"A,50, Sardar complex, Siddhpur Char Rasta, near hotel kalapi, Patan, Gujarat 384265",Krishnanagar Society,23.8520486,72.13931749999999,ChIJoZy9bjUrXDkRLU-wWI1RrxA,https://www.google.com/maps/place/?q=place_id:ChIJoZy9bjUrXDkRLU-wWI1RrxA,part_109,2026-09-20 17:05:09
Gujarat Car AC Service & Repairing,Auto Electrician and AC Repair,Auto air conditioning service,Auto air conditioning service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 99745 74720,N/A,4.8,,"Alok Pushpak Bunglow, P D Pandya College Near Burhani Society, Ghodasar, Vatva, Ahmedabad, Gujarat 382445",Vatva,22.9698603,72.61152299999999,ChIJ29sesCqJXjkR1YMnFnWCUaE,https://www.google.com/maps/place/?q=place_id:ChIJ29sesCqJXjkR1YMnFnWCUaE,part_109,2026-09-20 17:05:09
MASTER AUTO ELECTRIC WORKS,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 98253 33998,N/A,5.0,,"3, Pooja Complex, Nr Balapir Cross Road, Adalaj, Gujarat 382421",391121,23.166413199999997,72.5872349,ChIJ7_qm7O8pXDkR9klKwinkz7w,https://www.google.com/maps/place/?q=place_id:ChIJ7_qm7O8pXDkR9klKwinkz7w,part_109,2026-09-20 17:05:09
AS Auto Electric & Car A.C. Service,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 97230 54788,N/A,5.0,,"1, Himmatnagar Bypass Rd, Zahirabad, Himatnagar, Parabada, Gujarat 383002",Zahirabad,23.6023596,72.9443007,ChIJsbNCOau5XTkRwQtEJDltxVo,https://www.google.com/maps/place/?q=place_id:ChIJsbNCOau5XTkRwQtEJDltxVo,part_109,2026-09-20 17:05:09
Ashish auto electric & car ac,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 97144 50316,N/A,5.0,,"valana rod, Surpur, Idar, Gujarat 383430",391121,23.8240134,72.9773195,ChIJsfI1EkOlXTkRCvrVPXBWKf0,https://www.google.com/maps/place/?q=place_id:ChIJsfI1EkOlXTkRCvrVPXBWKf0,part_109,2026-09-20 17:05:09
Dev Auto Electric And Service Stations,Auto Electrician and AC Repair,Auto air conditioning service,Auto air conditioning service,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 76009 40524,N/A,5.0,,"Rajodpura, Anand, Chikhodra, Gujarat 388001",Rajodpura,22.5604074,72.984931,ChIJNXRDaYlPXjkRfgHHysQtTuQ,https://www.google.com/maps/place/?q=place_id:ChIJNXRDaYlPXjkRfgHHysQtTuQ,part_109,2026-09-20 17:05:09
INDIA AUTO ELECTRIC WORKS,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,391121,Gujarat circle,Vadodara Region,Vadodara East Division,"Agar BO, Alwa BO, Bhadarwa BO",+91 99042 69870,N/A,1.0,,"FATAK PASE, Bhalej, Gujarat 388205",391121,22.6284919,73.0310301,ChIJI9vPzXdJXjkRrH_fXGpziIo,https://www.google.com/maps/place/?q=place_id:ChIJI9vPzXdJXjkRrH_fXGpziIo,part_109,2026-09-20 17:05:09
