business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bagh E Fatema,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,4.5,2.0,"6HC7+CG, Lotiya, Gujarat 391125",391125,22.21987,73.563695,ChIJB1Wkf5pzYDkRVVw-yaRXgZU,https://www.google.com/maps/place/?q=place_id:ChIJB1Wkf5pzYDkRVVw-yaRXgZU,part_109,2026-09-20 17:06:01
"Bhagat Faliyu, Fata",Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,1.0,"7H7F+667, Kandevar, Gujarat 391125",391125,22.2629976,73.5730533,ChIJvT38IABxYDkRbNkXZ5bYs1c,https://www.google.com/maps/place/?q=place_id:ChIJvT38IABxYDkRbNkXZ5bYs1c,part_109,2026-09-20 17:06:01
કંડેવાર ગામ,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,1.0,"7H2F+Q85, Kandevar, Gujarat 391125",391125,22.2518782,73.5733606,ChIJl7wHGQBxYDkRpYg7M74W5_U,https://www.google.com/maps/place/?q=place_id:ChIJl7wHGQBxYDkRpYg7M74W5_U,part_109,2026-09-20 17:06:01
Vasava farm house,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,1.0,"7H76+29M, Kandevar, Gujarat 391125",391125,22.2625755,73.56093059999999,ChIJAxRc4eJxYDkR1mFeex3BVDo,https://www.google.com/maps/place/?q=place_id:ChIJAxRc4eJxYDkR1mFeex3BVDo,part_109,2026-09-20 17:06:01
Undi,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,3.0,1.0,"6HCJ+4C8, Lotiya, Gujarat 391125",391125,22.2202834,73.5810734,ChIJLTajPdFzYDkRs16dN-N6vv8,https://www.google.com/maps/place/?q=place_id:ChIJLTajPdFzYDkRs16dN-N6vv8,part_109,2026-09-20 17:06:01
સોની કાલીદાસ નાથાલાલ,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,4.0,1.0,"Zaverivaga, Sankheda, Gujarat 391145",Zaverivaga,22.1698767,73.57831209999999,ChIJD_5CikZzYDkRfN6lo0zoIkU,https://www.google.com/maps/place/?q=place_id:ChIJD_5CikZzYDkRfN6lo0zoIkU,part_109,2026-09-20 17:06:01
Dev villa 🏡,Property Developers,Housing society,Housing society,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,,"Chhuchhapura, Bhulvan, Gujarat 391125",391125,22.2168229,73.5948951,ChIJFUZ3tbNzYDkROQgPXbVwhbQ,https://www.google.com/maps/place/?q=place_id:ChIJFUZ3tbNzYDkROQgPXbVwhbQ,part_109,2026-09-20 17:06:02
કાવિઠા ગુજરાત,Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,,,"6HX7+GP7, સંખેડા, Gujarat 391125",391125,22.2487753,73.5642821,ChIJqce7PgBxYDkR6XOOoXRtTkE,https://www.google.com/maps/place/?q=place_id:ChIJqce7PgBxYDkR6XOOoXRtTkE,part_109,2026-09-20 17:06:02
"Near Gola Gamdi, Gujarat 391125",Property Developers,Housing development,Housing development,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,,,"5GVF+RX5, Gola Gamdi, Gujarat 391125",391125,22.1945151,73.52499159999999,ChIJtZ6RbwB1YDkRYXN4x3zHj78,https://www.google.com/maps/place/?q=place_id:ChIJtZ6RbwB1YDkRYXN4x3zHj78,part_109,2026-09-20 17:06:02
My home,Property Developers,Housing society,Housing society,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,,"5HF7+F3C, Bahadarpur, Gujarat 391125",391125,22.173696099999997,73.56262819999999,ChIJVSifEFlzYDkRf9DlF6QSM74,https://www.google.com/maps/place/?q=place_id:ChIJVSifEFlzYDkRf9DlF6QSM74,part_109,2026-09-20 17:06:02
Mehul bariya,Property Developers,Housing society,Housing society,391125,Gujarat Circle,Vadodara Region,Vadodara East Division,"Bahadarpur SO Vadodara, Bamroli BO, Chhuchhapura BO",N/A,N/A,5.0,,"6MV2+V77, Pichhuwada, Gujarat 391145",391125,22.2446324,73.65065109999999,ChIJpzs63TJzYDkR2rCMbHjkKs0,https://www.google.com/maps/place/?q=place_id:ChIJpzs63TJzYDkR2rCMbHjkKs0,part_109,2026-09-20 17:06:02
