business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Ganesh Karyana Store,Kirana Store,Grocery store,"Grocery store, General store",390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 97126 20663,N/A,5.0,4.0,"A-10, Platinum Heights, Dabhoi Rd, Kapurai Chowkdi, Jalaram Nagar, Soma Talav, Vadodara, Gujarat 390025","Kapurai Chowkdi, Jalaram Nagar, Soma Talav",22.277162,73.236705,ChIJy_RZFQzFXzkRrhE5_Hs2s4A,https://www.google.com/maps/place/?q=place_id:ChIJy_RZFQzFXzkRrhE5_Hs2s4A,part_109,2026-09-20 17:00:48,53109
Monika Provision And General Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 92270 75428,N/A,4.3,11.0,"Gf 22, Shree Siddheshwar, Gurukul Road, nr. Narayana Hospital, Goverdhan Twp, Kendranagar, Vadodara, Gujarat 390025","Goverdhan Township, Kendranagar",22.286313999999997,73.2463314,ChIJaU5sFGPFXzkRKVjh5XJQ1zQ,https://www.google.com/maps/place/?q=place_id:ChIJaU5sFGPFXzkRKVjh5XJQ1zQ,part_109,2026-09-20 17:00:48,53110
Prashant General Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",N/A,N/A,3.0,1.0,"S-206, Dabhoi Rd, Pratap Nagar, Soma Talav, Vadodara, Gujarat 390025","Pratap Nagar, Soma Talav",22.2763509,73.2324309,ChIJJSGRzAvFXzkRnUK_i4yzm-I,https://www.google.com/maps/place/?q=place_id:ChIJJSGRzAvFXzkRnUK_i4yzm-I,part_109,2026-09-20 17:00:48,53111
Dev Pro. Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 99049 79471,N/A,5.0,2.0,"Valbh Tenament Road, Soma Talav, Vadodara, Gujarat 390025",Soma Talav,22.2746785,73.23412979999999,ChIJm9qWH1rFXzkREy1lQa4EFHo,https://www.google.com/maps/place/?q=place_id:ChIJm9qWH1rFXzkREy1lQa4EFHo,part_109,2026-09-20 17:00:48,53112
Chamundha Provision Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 99131 74471,N/A,3.0,1.0,"opp. Shymal Society, Jalaram Nagar, Soma Talav, Vadodara, Gujarat 390025","Jalaram Nagar, Soma Talav",22.280628,73.2343185,ChIJRx07fPXFXzkRZKAaiXaF6_s,https://www.google.com/maps/place/?q=place_id:ChIJRx07fPXFXzkRZKAaiXaF6_s,part_109,2026-09-20 17:00:48,53113
Me Store,Kirana Store,Supermarket,Supermarket,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 99244 63490,N/A,4.4,11.0,"Complex, 6,7,8 Parn, Dabhoi - Waghodia Ring Rd, beside Shivay Hotel, near Gurukal char rasta, Vadodara, Gujarat 390025","NR Kaileshdham Society, Waghodia",22.289331999999998,73.235124,ChIJlUsZD2LFXzkRQuzzGGjARl8,https://www.google.com/maps/place/?q=place_id:ChIJlUsZD2LFXzkRQuzzGGjARl8,part_109,2026-09-20 17:00:48,53114
Tulsi Medical General Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 95527 95290,N/A,5.0,8.0,"Samruddhi Residensy, Krishna Nagar, Soma Talav, Vadodara, Gujarat 390025","Krishna Nagar, Soma Talav",22.2729635,73.22880119999999,ChIJjyhS6dHFXzkRG_XwfJFX00E,https://www.google.com/maps/place/?q=place_id:ChIJjyhS6dHFXzkRG_XwfJFX00E,part_109,2026-09-20 17:00:48,53115
Bhrahmani Genral Store,Kirana Store,Indian grocery store,Indian grocery store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",N/A,N/A,5.0,1.0,"shop no.2, shreeji evenu, near Savita Hospital Road, Near Parivar Char Rasta, Sarthi Nagar 2, Kendranagar, Vadodara, Gujarat 390025","Near Parivar Char Rasta, Sarthi Nagar 2, Kendranagar",22.292963099999998,73.24061329999999,ChIJYYaEe7_FXzkRsiwe11L8hbw,https://www.google.com/maps/place/?q=place_id:ChIJYYaEe7_FXzkRsiwe11L8hbw,part_109,2026-09-20 17:00:48,53116
Rohit Provision Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 98985 27325,N/A,4.0,6.0,"Shopping Centre, Shop No 2, Near Maji Nagar, Waghodia Rd, Bapod Jakat Naka, Vadodara, Gujarat 390019","Bapod Jakat Naka, Madhavpura",22.2994457,73.2441987,ChIJo7lxfmTFXzkRFiyEP6xrhcI,https://www.google.com/maps/place/?q=place_id:ChIJo7lxfmTFXzkRFiyEP6xrhcI,part_109,2026-09-20 17:00:48,53117
Dipali Store,Kirana Store,General store,General store,390025,Gujarat Circle,Vadodara Region,Vadodara East Division,"Soma Talav SO, Waghodia Road SO",+91 94283 01261,N/A,5.0,2.0,"Shop No.06, Meghdoot Shopping Complex, Waghodia Rd, near Vrundavan Circle, Valmiki Society, Batuji Nagar, Kendranagar, Vadodara, Gujarat 390019","Valmiki Society, Batuji Nagar, Kendranagar",22.2999169,73.2393147,ChIJaXLIlnzFXzkRDuRHmHtzPK4,https://www.google.com/maps/place/?q=place_id:ChIJaXLIlnzFXzkRDuRHmHtzPK4,part_109,2026-09-20 17:00:48,53118
