business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dr.priti's (taputu clinic ) HOMEOPATHY CLINIC,Homeopathic Clinic,Homeopath,Homeopath,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 78747 14114,https://apnabusinesscard.com/Dr-Priti's-(Taputu-Clinic)-Homeopathy-clinic,5.0,198.0,"206, j block, Aashray Residency, opposite pandit dindayal school,tp13 TP 13, Gorwa, Chhani Bridge Rd, Chhani Jakatnaka, Vadodara, Gujarat 390024","TP 13, Chhani Jakatnaka",22.3436645,73.167039,ChIJI7fWYOzJXzkRnnIsOrUO6mw,https://www.google.com/maps/place/?q=place_id:ChIJI7fWYOzJXzkRnnIsOrUO6mw,part_110,2026-09-20 16:40:06,1527
Krishna Homeopathy Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97126 47640,N/A,4.9,514.0,"GF-53-54, Vrajdham Mandir Rd, beside bank of India, opposite Eva Mall Road, Kapdwanj, Manjalpur, Vadodara, Gujarat 390011","Kapdwanj, Manjalpur",22.2731812,73.1870939,ChIJE4o_j97FXzkRMMczgG-41DE,https://www.google.com/maps/place/?q=place_id:ChIJE4o_j97FXzkRMMczgG-41DE,part_110,2026-09-20 16:40:06,1528
Maa Electro Homeopathy,Homeopathic Clinic,Doctor,Doctor,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,1.0,"MAA ELECTRO HOMEOPATHIC, Vadodara, Fatepur, Gujarat 391150",391152,21.9779503,73.8513088,ChIJY9DhfuojYDkRfV4rLr0vWKw,https://www.google.com/maps/place/?q=place_id:ChIJY9DhfuojYDkRfV4rLr0vWKw,part_110,2026-09-20 16:40:06,1529
Shreeji Homoeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 63523 98610,N/A,4.9,227.0,"GF, 76-Ambalal Park Society, Opposite: H.P. Petrol Pump, Optic House Lane,Karelibaug, Near: Ambalal Park, Cross, Road, Karelibagh, Vadodara, Gujarat 390018",Karelibagh,22.3190736,73.20403069999999,ChIJrzMBxUHPXzkRS0HXJgCTuWM,https://www.google.com/maps/place/?q=place_id:ChIJrzMBxUHPXzkRS0HXJgCTuWM,part_110,2026-09-20 16:40:06,1530
"Dr. Ghanshyam Homeo Clinic - Best Homeopathic Doctor, Homeopathy Doctors",Homeopathic Clinic,Homeopath,"Homeopath, Hospital, Medical clinic",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 81560 05440,http://www.drghanshyamhomeo.com/,4.6,110.0,"3rd Floor, Crossroad Commericial Hub, Delux Char Rasta, Nizampura Rd, Nizampura Char Rasta, LG Nagar, Pensionpura, Nizampura, Vadodara, Gujarat 390002","Nizampura Char Rasta, LG Nagar, Pensionpura, Nizampura",22.334616699999998,73.1799425,ChIJDS2-ktLIXzkRRXNHLGuGc0c,https://www.google.com/maps/place/?q=place_id:ChIJDS2-ktLIXzkRRXNHLGuGc0c,part_110,2026-09-20 16:40:06,1531
Dr.sanjay's Homeopathy clinic,Homeopathic Clinic,Homeopath,Homeopath,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 95580 27280,https://www.facebook.com/pg/Dr-Sanjay-Kanzariya-105800947835805/posts/,5.0,124.0,"4, Dhan laxmi Complex , Ajay colony Delux , Besides Hanuman Temple, Nizampura, Vadodara, Gujarat 390002","Nizampura Char Rasta, Sardar Nagar, Nizampura",22.3331801,73.18002369999999,ChIJb4HqSe_PXzkRllTTxwBnvyw,https://www.google.com/maps/place/?q=place_id:ChIJb4HqSe_PXzkRllTTxwBnvyw,part_110,2026-09-20 16:40:06,1532
Care Homeopathic Clinic - Dr. Parul Dhandhukiya,Homeopathic Clinic,Homeopath,"Homeopath, Doctor",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97240 38173,https://www.carehomeopathic.in/,5.0,109.0,"14, First Floor, Shreeji Vila, Nr D-Mart Nalanda water tank road, Road, Waghodia, Vadodara, Gujarat 390025",Waghodia,22.2883529,73.2275538,ChIJDefM44TFXzkRGxxC5ICfHnQ,https://www.google.com/maps/place/?q=place_id:ChIJDefM44TFXzkRGxxC5ICfHnQ,part_110,2026-09-20 16:40:06,1533
Dr.Nisha's Homoeo Care Clinic,Homeopathic Clinic,Homeopath,Homeopath,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 94287 67205,https://apnabusinesscard.com/Dr-Nisha's-Homoeo-Care-Clinic,5.0,89.0,"FF 111, Samanvay Westbreeze, opp. Sepal Residency, New Alkapuri, Laxmipura, Gotri, Vadodara, Gujarat 390021","New Alkapuri, Laxmipura, Gotri",22.3198087,73.13097309999999,ChIJk3hGDiTJXzkRwSK_lZ8z6XY,https://www.google.com/maps/place/?q=place_id:ChIJk3hGDiTJXzkRwSK_lZ8z6XY,part_110,2026-09-20 16:40:06,1534
𝗠𝗔𝗛𝗔𝗥𝗦𝗛𝗜 𝗛𝗢𝗠𝗘𝗢𝗣𝗔𝗧𝗛𝗜𝗖 𝗖𝗟𝗜𝗡𝗜c,Homeopathic Clinic,Homeopath,Homeopath,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 94262 77430,https://www.facebook.com/maharshiehomelifeclinic/?ref=bookmarks,4.8,95.0,"Aastha complex, 5, Sama Rd, opp. Sbi Bank, nr. Apollo Clinic, Anandvan Society, New Sama, Vadodara, Gujarat 390008","Anandvan Society, New Sama",22.3367543,73.194312,ChIJ7bjbZCXPXzkRumJENT53MH4,https://www.google.com/maps/place/?q=place_id:ChIJ7bjbZCXPXzkRumJENT53MH4,part_110,2026-09-20 16:40:06,1535
Kunjadiya Clinic,Homeopathic Clinic,Homeopath,"Homeopath, General practitioner",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98255 43123,N/A,4.8,85.0,"101, Bhavani shopping center, lake, Gotri - Sevasi Rd, opposite Gotri, Laxmipura, Vadodara, Gujarat 390021",Laxmipura,22.3154075,73.1348558,ChIJ-VJiIGDIXzkRu05C9LizoRQ,https://www.google.com/maps/place/?q=place_id:ChIJ-VJiIGDIXzkRu05C9LizoRQ,part_110,2026-09-20 16:40:06,1536
