business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kalyan Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98252 52223,N/A,3.8,249.0,"Deepu Complex, Sama Old Jakat Naka, Sama Rd, Vadodara, Gujarat 390008","Anandvan Society, New Sama",22.336685799999998,73.1930256,ChIJQZg_ki_PXzkRgAUaw53wyAM,https://www.google.com/maps/place/?q=place_id:ChIJQZg_ki_PXzkRgAUaw53wyAM,part_110,2026-09-20 16:40:21,3395
Gangotri Party Plot & Marriage Hall,Marriage Hall / Kalyana Mandapam,Event venue,"Event venue, Party planner",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 94263 34947,N/A,4.2,570.0,"Sama - Savli Rd, near SBI BANK, opp. Urmi School, New Sama, Vadodara, Gujarat 390024",New Sama,22.342600299999997,73.20327089999999,ChIJwRuweBfPXzkR8e3gyfn0K-8,https://www.google.com/maps/place/?q=place_id:ChIJwRuweBfPXzkR8e3gyfn0K-8,part_110,2026-09-20 16:40:21,3396
"""Avsar Greens"" Party Plot & Banquet hall",Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Wedding venue",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 99989 70943,N/A,4.5,442.0,"Satva Avenue, OPP. GEB substation, Sama - Savli Rd, nr. Essar Petrol Pump, Chanakyapuri Society, Kasturba Nagar, New Sama, Vadodara, Gujarat 390024","Chanakyapuri Society, Kasturba Nagar, New Sama",22.3461541,73.20147639999999,ChIJzR7_2Z3PXzkRzY1uZSl2EZ0,https://www.google.com/maps/place/?q=place_id:ChIJzR7_2Z3PXzkRzY1uZSl2EZ0,part_110,2026-09-20 16:40:21,3397
Shivam Party Plot & Marriage Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98241 91792,N/A,4.3,978.0,"86X2+MGH Before M S Hostel, Sama - Savli Rd, New Sama, Vadodara, Gujarat 390024",New Sama,22.3491873,73.20137079999999,ChIJwRuweBfPXzkRfGgKW2VOmOI,https://www.google.com/maps/place/?q=place_id:ChIJwRuweBfPXzkRfGgKW2VOmOI,part_110,2026-09-20 16:40:21,3398
Pramukh Party Plot & Banquet,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Wedding service, Wedding venue",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 96876 86559,N/A,4.3,362.0,"Sama - Savli Rd, near Sky Marc, Vemali, Vadodara, Gujarat 390024",Vemali,22.359114899999998,73.2014698,ChIJWcftN8POXzkRMKv_eWXSXYw,https://www.google.com/maps/place/?q=place_id:ChIJWcftN8POXzkRMKv_eWXSXYw,part_110,2026-09-20 16:40:21,3399
Kalyan Party Plot,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 74055 54007,N/A,4.4,853.0,"Saiyed Vasna Rd, near Raneshwar Temple, opp. Sainath Society, Krishnadham Society, Saiyed Vasna, Vadodara, Gujarat 390020","Krishnadham Society, Saiyed Vasna",22.294894199999998,73.1465996,ChIJNVAI6oLIXzkRgWknKtfqhG8,https://www.google.com/maps/place/?q=place_id:ChIJNVAI6oLIXzkRgWknKtfqhG8,part_110,2026-09-20 16:40:21,3400
Shubham Party Plot,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98250 32435,http://www.shubhampartyplot.com/,4.3,702.0,"Basera Complex, Vasna - Tandalja Rd, Opposite, Saraswati Society, Tandalja, Vadodara, Gujarat 390007","Opposite, Saraswati Society, Tandalja",22.2911282,73.1546726,ChIJueoebiHGXzkRzFs54NvScPE,https://www.google.com/maps/place/?q=place_id:ChIJueoebiHGXzkRzFs54NvScPE,part_110,2026-09-20 16:40:21,3401
Sai Sudha Lawns,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 93167 32696,https://www.saisudhalawns.in/,4.6,174.0,"Khanpur, Sevasi, Vadodara, Gujarat 391101",Sevasi,22.325516399999998,73.117464,ChIJJ7PUU0jJXzkRmp66izsLzqg,https://www.google.com/maps/place/?q=place_id:ChIJJ7PUU0jJXzkRmp66izsLzqg,part_110,2026-09-20 16:40:21,3402
Dalia Wadi Nirant Bhavan,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 258 1112,N/A,3.9,308.0,"76R6+Q9W, Kanaiyalal Munshi Marg, Opposite Vegetable Market, Baranpura Chokhandi, Moghul Wada, Vadodara, Gujarat 390004","Baranpura Chokhandi, Moghul Wada",22.2919812,73.210945,ChIJzTwg3I3FXzkR9NHryFy6hFA,https://www.google.com/maps/place/?q=place_id:ChIJzTwg3I3FXzkR9NHryFy6hFA,part_110,2026-09-20 16:40:21,3403
Rajput Samaj Bhavan,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.2,661.0,"1, Makarpura Rd, opp. Voltamp Co, Sanskar Tenament, Sanskar Tenement, JD Nagar, Maneja, Vadodara, Gujarat 390013","Sanskar Tenament, Sanskar Tenement, JD Nagar, Maneja",22.232287,73.1858037,ChIJbUJmryHEXzkRxVuooahx8Eo,https://www.google.com/maps/place/?q=place_id:ChIJbUJmryHEXzkRxVuooahx8Eo,part_110,2026-09-20 16:40:21,3404
Rudraksha Lawn,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98240 17375,N/A,4.1,,"Sama - Savli Rd, Kasturba Nagar, Vemali, Vadodara, Gujarat 390024","Kasturba Nagar, Vemali",22.3616262,73.1927311,ChIJedTjZ9_OXzkRdqT8GhE51Mo,https://www.google.com/maps/place/?q=place_id:ChIJedTjZ9_OXzkRdqT8GhE51Mo,part_110,2026-09-20 16:40:22,3405
Banyan Paradise Resort ( Best Wedding Venue In Vadodara ),Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Wedding venue, Caterer, Event venue, Party planner, Resort hotel, Restaurant, Swimming pool",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 70435 55111,https://www.banyanparadise.com/,4.2,,"Nr, Dumad Rd, Vemali, Vadodara, Gujarat 391740",Vemali,22.3616459,73.2011923,ChIJk1f0n8POXzkRn1SnvVue-nk,https://www.google.com/maps/place/?q=place_id:ChIJk1f0n8POXzkRn1SnvVue-nk,part_110,2026-09-20 16:40:22,3406
kalyana mandapam in Kovur | wedding Hall in Kovur | kalyana mandapam price & contact number,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 84381 14994,https://kalyanamandaps.com/kalyana-mandapams/kovur-chennai,,,"Kovur, Adilakshmi Nagar, Kovur, Tamil Nadu 600128","Kovur, Adilakshmi Nagar",13.0101678,80.1185489,ChIJSV154SZhUjoRMUU0rXR_vxE,https://www.google.com/maps/place/?q=place_id:ChIJSV154SZhUjoRMUU0rXR_vxE,part_110,2026-09-20 16:40:24,3407
Andal Singaravelu (A.S) Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 88700 12330,N/A,4.3,,"735F+RGM, Vengikkal, Tiruvannamalai, Tamil Nadu 606604",Vengikkal,12.2595779,79.0738013,ChIJEa8fWP7ArDsRC7y6M_mHePM,https://www.google.com/maps/place/?q=place_id:ChIJEa8fWP7ArDsRC7y6M_mHePM,part_110,2026-09-20 16:41:06,7554
Sri JKR Thirumana mandapam & PARTY HALL,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 91591 59603,N/A,4.5,,"75, Shree Kothanda Ramar Temple Main Rd, Manavalanagar, Venkathur, Tamil Nadu 602002",391155,13.1060301,79.9087462,ChIJx-MqGxqRUjoRzsbRUt1G7KM,https://www.google.com/maps/place/?q=place_id:ChIJx-MqGxqRUjoRzsbRUt1G7KM,part_110,2026-09-20 16:41:06,7555
S.Ezhil Thirumana Mandapam A/c,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Wedding service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98844 43848,N/A,4.3,,"77J2+X2Q, Rajwshwarri nagar, Thiruvottriyur High Rd, Minjur, Tamil Nadu 601203",391155,13.282463799999999,80.2500992,ChIJBQK8apR5UjoR0uruXcB6GMg,https://www.google.com/maps/place/?q=place_id:ChIJBQK8apR5UjoR0uruXcB6GMg,part_110,2026-09-20 16:41:06,7556
JFN Mahal,Marriage Hall / Kalyana Mandapam,Marriage celebrant,Marriage celebrant,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.2,,"C4Q9+F3G, Peddikuppam, Tamil Nadu 601201",391155,13.438682499999999,80.1176909,ChIJv8PsDPWBTToR7GAH1hoNcXY,https://www.google.com/maps/place/?q=place_id:ChIJv8PsDPWBTToR7GAH1hoNcXY,part_110,2026-09-20 16:41:06,7557
NDP Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98410 90711,N/A,4.2,,"52, Poonamallee High Rd, Tiruvallur, Manavalanagar, Tamil Nadu 602001",391155,13.111234,79.9142622,ChIJXSsVZceOUjoR1zaFLxHAh_I,https://www.google.com/maps/place/?q=place_id:ChIJXSsVZceOUjoR1zaFLxHAh_I,part_110,2026-09-20 16:41:06,7558
Maniammal Govindasami Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Event venue,"Event venue, Marriage celebrant",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 97866 20299,N/A,4.0,,"5W4W+CH6, Sathanur Dam Main Rd, Thandrampet, Tamil Nadu 606707",391155,12.156038299999999,78.946387,ChIJH6SyJGmUrDsRiY-_l3rXpJE,https://www.google.com/maps/place/?q=place_id:ChIJH6SyJGmUrDsRiY-_l3rXpJE,part_110,2026-09-20 16:41:06,7559
Maa Party Plot And Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 94263 56843,N/A,4.3,,"GJ SH 56, near MAANKALESHWAR TEMPLE, Kheralu, Gujarat 384325",391155,23.8952089,72.6231372,ChIJ0zgh5vhVXDkR0S4vdEvbA0E,https://www.google.com/maps/place/?q=place_id:ChIJ0zgh5vhVXDkR0S4vdEvbA0E,part_110,2026-09-20 16:41:06,7560
Dhanalakshmi Mahal,Marriage Hall / Kalyana Mandapam,Marriage celebrant,"Marriage celebrant, Wedding venue",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 91761 76001,N/A,4.5,,"55RR+5MH, 14, Service Road, Bypass, road, Pulliline, Red Hills, Pullilyon, Tamil Nadu 600052","Pulliline, Red Hills",13.1903791,80.1912267,ChIJLS5ch6t7UjoR-jwawMCQy74,https://www.google.com/maps/place/?q=place_id:ChIJLS5ch6t7UjoR-jwawMCQy74,part_110,2026-09-20 16:41:06,7561
Padmavathy Mahal,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 93810 00075,http://www.padmavathymahal.com/kalyana-mandapam-in-chennai.html,4.1,,"92, Vivekananda Nagar Main Rd, Mohamed Husain Nagar, Kolathur, Chennai, Tamil Nadu 600099","Mohamed Husain Nagar, Kolathur",13.1255022,80.2015981,ChIJ8QR_XmJkUjoRCop2EVewxFw,https://www.google.com/maps/place/?q=place_id:ChIJ8QR_XmJkUjoRCop2EVewxFw,part_110,2026-09-20 16:41:06,7562
Shreekunj Mandapam,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98240 90111,N/A,4.7,,"Indraprastha II Apartment & Bunglow, &, Manek Baug Rd, near GOLDEN TULIP BUNGALOWS, Shreyas Tekra, Rajivnagar, Ambawadi, Ahmedabad, Gujarat 380015","Shreyas Tekra, Rajivnagar, Ambawadi",23.010881599999998,72.5376251,ChIJpR1ZOCeFXjkRlMSDSeCB5OQ,https://www.google.com/maps/place/?q=place_id:ChIJpR1ZOCeFXjkRlMSDSeCB5OQ,part_110,2026-09-20 16:41:06,7563
DHANAMANIRAJ MAHAL A/C,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.1,,"Kakkalur Bypass Rd, Ma. Po. Si. Nagar, Tiruvallur, Kakkalur, Tamil Nadu 602001",Ma. Po. Si. Nagar,13.1363665,79.9101302,ChIJbfC74MCRUjoR0rwVnHGL9mE,https://www.google.com/maps/place/?q=place_id:ChIJbfC74MCRUjoR0rwVnHGL9mE,part_110,2026-09-20 16:41:06,7564
KANNIGA MAHAL,Marriage Hall / Kalyana Mandapam,Festival hall,Festival hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.1,,"16, 51st St, Annai Velankanni Nagar, Madhavaram Milk Colony, Chennai, Tamil Nadu 600051","Annai Velankanni Nagar, Madhavaram Milk Colony",13.1446066,80.2394944,ChIJNz1sVD5lUjoRxNGFW2VcYu0,https://www.google.com/maps/place/?q=place_id:ChIJNz1sVD5lUjoRxNGFW2VcYu0,part_110,2026-09-20 16:41:06,7565
Rose Mahal A/C,Marriage Hall / Kalyana Mandapam,Wedding venue,"Wedding venue, Banquet hall",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 81440 02112,N/A,4.1,,"NO 1, 60 Feet, JJ St, V.M Nagar, Tiruvallur, Tamil Nadu 602001",V.M Nagar,13.1343468,79.9110844,ChIJz3jEViKQUjoRgWarMucx-zE,https://www.google.com/maps/place/?q=place_id:ChIJz3jEViKQUjoRgWarMucx-zE,part_110,2026-09-20 16:41:06,7566
Aiyavoo Mahal,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99652 24999,http://www.aiyavoomahal.com/,4.3,,"689, Poonamallee High Rd, Anna Nagar, Shenoy Nagar, Chennai, Tamil Nadu 600030","Anna Nagar, Shenoy Nagar",13.074625999999999,80.2271875,ChIJJT4BsIZmUjoRhZNoTzazVKw,https://www.google.com/maps/place/?q=place_id:ChIJJT4BsIZmUjoRhZNoTzazVKw,part_110,2026-09-20 16:41:06,7567
Kumaran Mahal,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Wedding venue",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.2,,"7359+M6W, Vengikkal, Tiruvannamalai, Tamil Nadu 606604",Vengikkal,12.259244599999999,79.06808319999999,ChIJxeXW0_7ArDsR9KeMJBbBykc,https://www.google.com/maps/place/?q=place_id:ChIJxeXW0_7ArDsR9KeMJBbBykc,part_110,2026-09-20 16:41:06,7568
MSV Mahal,Marriage Hall / Kalyana Mandapam,Event venue,"Event venue, Wedding venue",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.0,,"CPH9+MG4, Komarapalayam - Veppadai Rd, Kammavarpalayam, Komarapalayam, Tamil Nadu 638183",Kammavarpalayam,11.4291298,77.71884039999999,ChIJNfEQhD5oqTsR-CUxeMiQ9zA,https://www.google.com/maps/place/?q=place_id:ChIJNfEQhD5oqTsR-CUxeMiQ9zA,part_110,2026-09-20 16:41:06,7569
K.C Kalyana Mandapam,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,3.8,,"9MR3+VVQ, Chitode - Alichampalayam - Kanjikoil Road, Kongampalayam, Chithode, Tamil Nadu 638102",Kongampalayam,11.3922175,77.654731,ChIJRzoL631pqTsRQqdsri8l2Pg,https://www.google.com/maps/place/?q=place_id:ChIJRzoL631pqTsRQqdsri8l2Pg,part_110,2026-09-20 16:41:06,7570
Sakthi Thirumana Mandapam,Marriage Hall / Kalyana Mandapam,Festival hall,Festival hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 94455 49090,N/A,4.1,,"CJH5+GVH, Sevagoundanur, Periyapuliyur, Tamil Nadu 638455",391155,11.428812599999999,77.609723,ChIJ9ez262JqqTsRKYjSThETWo0,https://www.google.com/maps/place/?q=place_id:ChIJ9ez262JqqTsRKYjSThETWo0,part_110,2026-09-20 16:41:06,7571
Ezhil mahal Minjur,Marriage Hall / Kalyana Mandapam,Marriage celebrant,Marriage celebrant,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.3,,"77M2+768, SH 56, Minjur, Tamil Nadu 601203",391155,13.2831657,80.25058349999999,ChIJtavZGO95UjoRZdkuwRNfyEU,https://www.google.com/maps/place/?q=place_id:ChIJtavZGO95UjoRZdkuwRNfyEU,part_110,2026-09-20 16:41:06,7572
Shanthinath Palace SNP,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 95008 40944,N/A,4.2,,"55, Pinjalar St, near periyapalayam, Arani, Tamil Nadu 601101",391155,13.332207299999999,80.0861743,ChIJ9UPh5OyBUjoRHfGOLap4o6Q,https://www.google.com/maps/place/?q=place_id:ChIJ9UPh5OyBUjoRHfGOLap4o6Q,part_110,2026-09-20 16:41:06,7573
Subham Marriage Hall,Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 93742 86135,N/A,4.3,,"Near Kayavaran Chokadi Kayavaran Road, Por, Gujarat 391243",391155,22.1377429,73.1872193,ChIJq6qq6iHCXzkR4rGHzDlZpBc,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6iHCXzkR4rGHzDlZpBc,part_110,2026-09-20 16:41:07,7574
The Royal Wedding Palace,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.8,,"Outer Ring Rd, Mota Varachha, Surat, Gujarat 394107",Mota Varachha,21.2573571,72.87683539999999,ChIJC3tUJQBJ4DsRf3-bfh4oC3Q,https://www.google.com/maps/place/?q=place_id:ChIJC3tUJQBJ4DsRf3-bfh4oC3Q,part_110,2026-09-20 16:41:07,7575
Govardhan banquet & lawns,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 79845 76520,https://instagram.com/govardhan.banquet.and.lawns?igshid=MmIzYWVlNDQ5Yg==,4.7,,"Govardhan banquet & lawns dena, road, opp. Shubham elite, Harni, Vadodara, Gujarat 390022",Harni,22.352685599999997,73.21691779999999,ChIJnaNqoR3PXzkRGQtNP9rOIbc,https://www.google.com/maps/place/?q=place_id:ChIJnaNqoR3PXzkRGQtNP9rOIbc,part_110,2026-09-20 16:41:07,7576
"Sri Aishwaryam Mahal Ondikuppam manavalanagar, Thiruvallur",Marriage Hall / Kalyana Mandapam,Wedding venue,Wedding venue,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 96298 62106,https://www.shriaishwaryammahal.com/,4.8,,"157, Poonamallee High Rd, Manavalanagar, Venkathur, Tamil Nadu 602002",391155,13.108953099999999,79.9232758,ChIJNZdR-S6PUjoRR3V7at1D4VA,https://www.google.com/maps/place/?q=place_id:ChIJNZdR-S6PUjoRR3V7at1D4VA,part_110,2026-09-20 16:41:07,7577
