business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Baroda City Mall,Shopping Mall Operators,Shopping mall,Shopping mall,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.2,106.0,"A/1, Maninagar Society, GIDC Industrial Area, Manjalpur, Vadodara, Gujarat 390009","Maninagar Society, GIDC Industrial Area, Manjalpur",22.268581299999997,73.2001763,ChIJ09UbqF7FXzkRRbsFvb9RkmE,https://www.google.com/maps/place/?q=place_id:ChIJ09UbqF7FXzkRRbsFvb9RkmE,part_110,2026-09-20 16:40:40,5432
Park Paradise,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98250 46135,N/A,4.3,650.0,"125, Ring Rd, near billabong school, Vadsar, Kalali, Vadodara, Gujarat 390010","Vadsar, Kalali",22.2621945,73.1724531,ChIJPbZ5kXrGXzkRGqeMAtNNNoo,https://www.google.com/maps/place/?q=place_id:ChIJPbZ5kXrGXzkRGqeMAtNNNoo,part_110,2026-09-20 16:41:26,9148
Branded Factory Vadodara,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 93139 51260,N/A,4.4,773.0,"Pvt Ltd Jewelery, Productivity House, R.S. No 526/2, Shree Mukt Jewellers, Besides, Mall Drt 2, opp. Pandav Ethics Studio, Vadodara, Ahmedabad, Gujarat 390001","Vishwas Colony, Vadiwadi",22.3090035,73.1737266,ChIJV3LZN7nJXzkRwc2z3q1muUg,https://www.google.com/maps/place/?q=place_id:ChIJV3LZN7nJXzkRwc2z3q1muUg,part_110,2026-09-20 16:41:26,9149
Radha Krishna Shopping Centre,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.0,691.0,"75V9+9C5, Sheetal Nagar, Akota, Vadodara, Gujarat 390007","Sheetal Nagar, Akota",22.2933761,73.1686112,ChIJff4N7BzGXzkRTZUzm1Z52ZU,https://www.google.com/maps/place/?q=place_id:ChIJff4N7BzGXzkRTZUzm1Z52ZU,part_110,2026-09-20 16:41:26,9150
Trivia Mall,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.1,3374.0,"209 nr, Natubhai Cir, Race Course, Vadiwadi, Vadodara, Gujarat 390007","Race Course, Vadiwadi",22.3102683,73.15886069999999,ChIJC3QrQqTIXzkRpu57D_xsf30,https://www.google.com/maps/place/?q=place_id:ChIJC3QrQqTIXzkRpu57D_xsf30,part_110,2026-09-20 16:41:26,9151
The Baroda Crossway,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.4,694.0,"852V+6R2, Jail Rd, near Police Bhavan, Anandpura, Vadodara, Gujarat 390001",Anandpura,22.300501099999998,73.1945021,ChIJw7rYfbDPXzkRuC-vTNqf3XE,https://www.google.com/maps/place/?q=place_id:ChIJw7rYfbDPXzkRuC-vTNqf3XE,part_110,2026-09-20 16:41:26,9152
Phoenix Resicom,Shopping Mall Operators,Shopping mall,Shopping mall,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 95122 34646,http://ratnamgroup.com/ongoing-commercial-projects/phoenix-resi-com/,4.2,658.0,"76XX+9GG, Opp. Sunrise complex Vaikunth Char Rasta, Waghodia Rd, Vadodara, Gujarat 390019",Madhavpura,22.298442599999998,73.2488259,ChIJgdEV6WHFXzkR0N1pgsLiGYE,https://www.google.com/maps/place/?q=place_id:ChIJgdEV6WHFXzkR0N1pgsLiGYE,part_110,2026-09-20 16:41:26,9153
Moolniva Product Ltd. Branch Alirajpur,Shopping Mall Operators,Shopping mall,Shopping mall,391165,Gujarat Circle,Vadodara Region,Vadodara East Division,"Chhotaudepur SO, Ambala BO, Bhorda BO",N/A,N/A,3.6,,"79V2+6F8, Alirajpur - Umrali Rd, Bhuriya Kuwa, Madhya Pradesh 457887",391165,22.293040599999998,74.3511943,ChIJYVZHZZa3YTkRixFioJLTtho,https://www.google.com/maps/place/?q=place_id:ChIJYVZHZZa3YTkRixFioJLTtho,part_110,2026-09-20 16:43:47,15016
Reliance Shopping Center,Shopping Mall Operators,Shopping mall,Shopping mall,391175,Gujarat circle,Vadodara Region,Vadodara East Division,Ambadungar BO,N/A,N/A,3.9,,"B-69/72, near KAVERI restaurant, Jashvant Nagar, Petrochemical Twp, Karadiya, Vadodara, Gujarat 391345","Jashvant Nagar, Petrochemical Township, Karadiya",22.3525827,73.1401769,ChIJm0_6pQjJXzkRK1bkMWkCEJE,https://www.google.com/maps/place/?q=place_id:ChIJm0_6pQjJXzkRK1bkMWkCEJE,part_110,2026-09-20 16:45:48,16862
Alkapuri Shopping Centre,Shopping Mall Operators,Shopping mall,Shopping mall,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,4.1,93.0,"855C+PG5, Vrajwadi Society Road, Aradhana Society, Vishwas Colony, Vadiwadi, Vadodara, Gujarat 390007","Aradhana Society, Vishwas Colony, Vadiwadi",22.3092743,73.1713472,ChIJhWyJHbDIXzkRwn-LUZtW238,https://www.google.com/maps/place/?q=place_id:ChIJhWyJHbDIXzkRwn-LUZtW238,part_110,2026-09-20 16:46:26,18817
