business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
UNNATI CORPORATION,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Aggregate supplier, Brick Manufacturer, Building materials supplier",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98241 27510,N/A,5.0,,"Atladara, Vadodara, Gujarat 390012",Atladara,22.278713399999997,73.1518391,ChIJt3ga5TvGXzkRUHuUFpSmBnI,https://www.google.com/maps/place/?q=place_id:ChIJt3ga5TvGXzkRUHuUFpSmBnI,part_110,2026-09-20 16:40:15
Ambika Steel & Cement - Ambuja Cements - Tmt Bar - Steel Dealer - Aac Blocks,Cement and Sand Supplier,Cement Supplier,"Cement Supplier, Brick Manufacturer, Building materials market, Cement Manufacturer, Iron & Steel Store, Stainless steel plant, Steel construction company, Steel distributor",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 80000 90085,http://www.ambikasteelandcement.com/,4.8,,"Shop No 68, Jay Yogeshwar Township, Part-2, Ajwa Rd, Lakulesh Nagar, Kamlanagar, Sayaji Park Society, Vadodara, Gujarat 390019","Lakulesh Nagar, Kamlanagar, Sayaji Park Society",22.322509699999998,73.25340299999999,ChIJX2xL-ZLPXzkRhP04fHLB5lU,https://www.google.com/maps/place/?q=place_id:ChIJX2xL-ZLPXzkRhP04fHLB5lU,part_110,2026-09-20 16:40:15
Umiya Cement Product,Cement and Sand Supplier,Outlet store,Outlet store,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 94273 44121,N/A,5.0,,"Gopal krishna hotel compound Nr. Balaji bhart petrol pump Tarsali bridge N.H. No-8, Vadodara, Gujarat 390009",391152,22.238760199999998,73.2114978,ChIJFQg0qkbEXzkRxjMmr3XOSu0,https://www.google.com/maps/place/?q=place_id:ChIJFQg0qkbEXzkRxjMmr3XOSu0,part_110,2026-09-20 16:40:15
DHARMANANDAN ENTERPRISE,Cement and Sand Supplier,Building materials supplier,Building materials supplier,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 79 4283 8411,https://www.indiamart.com/dharmanandanenterprise-gujarat/,5.0,,"Keshar Heights, 19, Shriram Chowk, nr. Silver Homes, Krishnanagar, Nava Naroda, Ahmedabad, Gujarat 382330","Krishnanagar, Nava Naroda",23.0589878,72.6585463,ChIJvZFrXwSHXjkR0g6lWlhgm68,https://www.google.com/maps/place/?q=place_id:ChIJvZFrXwSHXjkR0g6lWlhgm68,part_110,2026-09-20 16:40:15
Rajwadi Cement Articles® By ANIL & KARAN - ROKTEK™| SFRC Manhole covers |Frp cover|Rcc pipe|Breeze Block|Rainwater harvesting,Cement and Sand Supplier,Building materials supplier,Building materials supplier,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97240 22814,http://rajwadicementarticles.com/,4.9,115.0,"Nr. Bhaniyara bridge, 4km from Golden Chowkdi, Halol - Vadodara Rd, behind Krishna Guest House, nr. Jain Temple, Bhaniyara, Vadodara, Gujarat 390022",391152,22.3803239,73.2668499,ChIJGeC2rxnOXzkRhu2iG2GEXUc,https://www.google.com/maps/place/?q=place_id:ChIJGeC2rxnOXzkRhu2iG2GEXUc,part_110,2026-09-20 16:40:16
SM TRADERS || Building Materials Suppliers || Wholesale Sand Suppliers,Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Cement Supplier, Construction equipment supplier, Metal supplier, Ready mix concrete supplier, Building materials supplier",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 91299 51869,https://www.smtraderssandsuppliersretailer.in/,5.0,55.0,"Shop No.3, Andheri (E, Hyde Park, Saki Vihar Rd, opposite Ansa End Estate, Ganesh Nagar, Marol, Andheri East, Mumbai, Maharashtra 400072","Ganesh Nagar, Marol, Andheri East",19.111117,72.887772,ChIJaxBqpU7H5zsRc6E5jJU2UtM,https://www.google.com/maps/place/?q=place_id:ChIJaxBqpU7H5zsRc6E5jJU2UtM,part_110,2026-09-20 16:40:16
SM TRADING CO.||Building Materials Supplier (Wholesale & Retails),Cement and Sand Supplier,Sand & gravel supplier,"Sand & gravel supplier, Aggregate supplier, Cement Supplier, Metal supplier, Building materials store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,40.0,"Caliph, Manubhai Seetal Chawl, 234, DP Rd Number 9, near powai, Chandivali, Powai, Mumbai, Maharashtra 400076","Chandivali, Powai",19.1176288,72.8993643,ChIJuTOCZMjJ5zsRZO63_LgEONs,https://www.google.com/maps/place/?q=place_id:ChIJuTOCZMjJ5zsRZO63_LgEONs,part_110,2026-09-20 16:40:16
Shreedhar Cement Products,Cement and Sand Supplier,Cement Manufacturer,"Cement Manufacturer, Manufacturer",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 96243 24361,N/A,4.6,11.0,"Survey No. 820, Amba Hotel, Indor highway, Chandial, Gujarat 382433",Chandial,22.9966984,72.8153677,ChIJR1eISwBlXjkRR0l9AZM9P7I,https://www.google.com/maps/place/?q=place_id:ChIJR1eISwBlXjkRR0l9AZM9P7I,part_110,2026-09-20 16:40:16
Mahakali Cement Works Pvt Ltd,Cement and Sand Supplier,Corporate office,Corporate office,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,1.0,"F6X6+WG7, Lasundra, Gujarat 391775",391152,22.4997987,73.2113085,ChIJS1EggvozXjkRCPOjrUa0z0M,https://www.google.com/maps/place/?q=place_id:ChIJS1EggvozXjkRCPOjrUa0z0M,part_110,2026-09-20 16:40:16
Ultratech Cement Limited RMC Gorwa Vadodara,Cement and Sand Supplier,Cement Manufacturer,"Cement Manufacturer, Ready mix concrete supplier",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 1800 425 2525,https://www.ultratechcement.com/,4.3,46.0,"Creative Comugating Industrial Compound, 85J8+MWR BIDC, Industrial Estate Rd, BIDC Gorwa Estate, Gorwa, Vadodara, Gujarat 390003","BIDC Gorwa Estate, Gorwa",22.331746499999998,73.1672655,ChIJgUGl1cTIXzkR9GrpcSuMxQc,https://www.google.com/maps/place/?q=place_id:ChIJgUGl1cTIXzkR9GrpcSuMxQc,part_110,2026-09-20 16:40:16
