business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
𝗦𝗵𝗿𝗶 𝗛𝗮𝗿𝗶 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗖𝗼𝘂𝗿𝗶𝗲𝗿 𝗔𝗻𝗱 𝗖𝗮𝗿𝗴𝗼 𝗦𝗲𝗿𝘃𝗶𝗰𝗲𝘀 -Usa/Canada/Uk/Australia/Courier Service in Vadodara,Courier and Cargo Service,Courier service,"Courier service, International trade consultant",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 95866 99966,https://www.shiccs.in/,4.1,85.0,"GF-84, EMERALD ONE, Jetalpur Rd, Anand Nagar, Alkapuri, Vadodara, Gujarat 390007","Anand Nagar, Alkapuri",22.3070394,73.17485719999999,ChIJvyrbvPbFXzkRSlog3SPKcKs,https://www.google.com/maps/place/?q=place_id:ChIJvyrbvPbFXzkRSlog3SPKcKs,part_110,2026-09-20 16:40:32
Best International Courier & Parcel Services (HARSIDDHI INTERNATIONAL),Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 92271 01010,https://www.bestinternationalcourierservice.com/,4.6,166.0,"52, Semi Basement, Paradise Complex, Near, Kala Ghoda Cir, Opposite M.S. University, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Opposite M.S. University, Sarod, Sayajiganj",22.307948,73.1868635,ChIJMQSZlFLPXzkRa5FP73PMAr4,https://www.google.com/maps/place/?q=place_id:ChIJMQSZlFLPXzkRa5FP73PMAr4,part_110,2026-09-20 16:40:32
International Courier Cargo Service,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 239 6766,N/A,4.3,36.0,"23, Aatmajyoti Ashram Rd, near Hanumanji Temple, Atmajyoti Society, Ellora Park, Subhanpura, Vadodara, Gujarat 390023","Atmajyoti Society, Ellora Park, Subhanpura",22.316629,73.160094,ChIJNxl9Sr7IXzkRKRK3OeOoK1U,https://www.google.com/maps/place/?q=place_id:ChIJNxl9Sr7IXzkRKRK3OeOoK1U,part_110,2026-09-20 16:40:32
Universal Export,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97277 52563,N/A,4.8,58.0,"MAHAVIRDHAM COMPLEX, A/1, JAIN MANDIR ROAD, opp. POST OFFICE, Manjalpur Naka, Rajendra Society, Janakpuri S, Manjalpur, Vadodara, Gujarat 390011","Manjalpur Naka, Rajendra Society, Janakpuri S, Manjalpur",22.2776891,73.1947079,ChIJGbAyBejFXzkRVghi77oPw64,https://www.google.com/maps/place/?q=place_id:ChIJGbAyBejFXzkRVghi77oPw64,part_110,2026-09-20 16:40:32
Airway international courier,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 90949 09954,https://airwayinternationalcourier.com/,4.8,126.0,"B/H, Express Hotel, SB-3 Capri House, R.C, Dutt Rd, nr. Indian Oil Petrol Pump, opp. Rich pan attar, Alkapuri, Vadodara, Gujarat 390007","Vishwas Colony, Alkapuri",22.309136,73.1687164,ChIJA-SlS57JXzkRpfZm1zx_Tuk,https://www.google.com/maps/place/?q=place_id:ChIJA-SlS57JXzkRpfZm1zx_Tuk,part_110,2026-09-20 16:40:32
𝐀𝐝𝐢𝐭𝐢 𝐈𝐧𝐭𝐞𝐫𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥- Import and Export/Commercial Shipment/ Reverse Pickup all India/Domestic and International in Vadodara,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 90999 43965,http://www.aditiinternational.co/,4.0,37.0,"Ellora Park Main Rd, Atma Shraddha Society, Subhanpura, Vadodara, Gujarat 390023","Atma Shraddha Society, Subhanpura",22.317005899999998,73.1612895,ChIJcUXasL_IXzkR_5N99g3raD4,https://www.google.com/maps/place/?q=place_id:ChIJcUXasL_IXzkR_5N99g3raD4,part_110,2026-09-20 16:40:32
First Flight Couriers Ltd,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 302 5827,N/A,2.2,23.0,"37,38, India Bulls Mega Mall, Jetalpur Rd, Alkapuri, Vadodara, Gujarat 390007","Anand Nagar, Alkapuri",22.3058281,73.1798629,ChIJ4_DPrTPEXzkR0ApbBMeNrHk,https://www.google.com/maps/place/?q=place_id:ChIJ4_DPrTPEXzkR0ApbBMeNrHk,part_110,2026-09-20 16:40:32
Jupiter International Courier,Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency, Shipping service",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 6355 138 465,N/A,3.9,19.0,"GF-44, Suryakiran Complex, Old Padra Rd, opposite Avishkar Complex, JP Nagar, Sukrutinagar, Diwalipura, Vadodara, Gujarat 390007","JP Nagar, Sukrutinagar, Diwalipura",22.297715099999998,73.1638833,ChIJ1xgVTafIXzkRy2aJWoXoL94,https://www.google.com/maps/place/?q=place_id:ChIJ1xgVTafIXzkRy2aJWoXoL94,part_110,2026-09-20 16:40:32
Air International Couriers And Cargo,Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service, Transportation service",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 80973 48711,https://www.airinternationalcourier.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.8,220.0,"G-5, Omkar Prarthna Bldg, Nr. HDIL Tower Behind Janta Mutton Shop Vijay Nagar, Sahar Rd, Andheri East, Mumbai, Maharashtra 400069","Navpada, Vile Parle East, Andheri East",19.113014,72.8473826,ChIJbZyd6R7J5zsRxHpwlzjcpLM,https://www.google.com/maps/place/?q=place_id:ChIJbZyd6R7J5zsRxHpwlzjcpLM,part_110,2026-09-20 16:40:32
Shree Tirupati Courier Service,Courier and Cargo Service,Courier service,Courier service,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 305 9429,http://www.shreetirupaticourier.net/,3.3,95.0,"Vice Regal Complex, GF 3, 15, Old Padra Rd, nr. MALHAR POINT, Punit Nagar, Vadodara, Gujarat 390007","Malhar Point, Punit Nagar, Akota",22.3031883,73.1673773,ChIJGW2j1xvGXzkRK1jsXP8K0E4,https://www.google.com/maps/place/?q=place_id:ChIJGW2j1xvGXzkRK1jsXP8K0E4,part_110,2026-09-20 16:40:32
