business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Maa Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 81606 36825,N/A,5.0,,"Akshar Paradise, nr. Deep Party Plot, Jalaram Nagar, Atladara, Vadodara, Gujarat 390012","Jalaram Nagar, Atladara",22.266140099999998,73.1497887,ChIJD5awQjbHXzkRnt0rpOgLA_k,https://www.google.com/maps/place/?q=place_id:ChIJD5awQjbHXzkRnt0rpOgLA_k,part_110,2026-09-20 16:39:56
Paras Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98250 43852,https://www.parasflourmill.com/contact_us.php,4.5,,"Sant Kanwar Colony, Warasiya, Vadodara, Gujarat 390006","Sant Kanwar Colony, Warasiya",22.3105709,73.2148562,ChIJo7Aj_GTPXzkRfd_woUGSPGw,https://www.google.com/maps/place/?q=place_id:ChIJo7Aj_GTPXzkRfd_woUGSPGw,part_110,2026-09-20 16:39:56
Sindh Flour Mill,Flour Mill,Flour mill,"Flour mill, General store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 236 1606,N/A,4.9,,"855J+PPH, Pawan Park Society, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Pawan Park Society, Sarod, Sayajiganj",22.3093208,73.18187089999999,ChIJtylqTK3IXzkRdFKuxMpySiw,https://www.google.com/maps/place/?q=place_id:ChIJtylqTK3IXzkRdFKuxMpySiw,part_110,2026-09-20 16:39:56
Nanavati Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98986 10021,N/A,4.8,,"7A Swastik Society Behind Arya Kanya School, Karelibagh, Vadodara, Gujarat 390018","Gandhi Nagar Colony, Karelibagh",22.3150576,73.204287,ChIJYfgNi0LPXzkR7EFcdjeCAU4,https://www.google.com/maps/place/?q=place_id:ChIJYfgNi0LPXzkR7EFcdjeCAU4,part_110,2026-09-20 16:39:56
Flour mill repair and electrical services,Flour Mill,Flour mill,"Flour mill, Electrical repair shop",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 95375 88067,http://electronicsandelectrical.in/,5.0,,"Akshar Vintage, Adarsh Nagar, Tarsali, Vadodara, Gujarat 390009","Adarsh Nagar, Tarsali",22.2490706,73.21912259999999,ChIJIRtE3YHFXzkRzTw8l9RN5YA,https://www.google.com/maps/place/?q=place_id:ChIJIRtE3YHFXzkRzTw8l9RN5YA,part_110,2026-09-20 16:39:56
Gopal Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 99044 54550,N/A,4.1,,"D-1, shantam squer shopping center near. gokul party plot new, Gotri, Vadodara, Gujarat 390007",Gotri,22.3024432,73.14063159999999,ChIJ2SWRTmLIXzkRqSMl_yQ06Cw,https://www.google.com/maps/place/?q=place_id:ChIJ2SWRTmLIXzkRqSMl_yQ06Cw,part_110,2026-09-20 16:39:56
SHREE KRISHNA FLOUR MILL,Flour Mill,General store,General store,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 88662 66742,N/A,5.0,,"Shopping Center, Gauri Park, 1, Harni Rd, Shantanu Society, Kalpana Nagar, Bapunagar, Vadodara, Gujarat 390022","Shantanu Society, Kalpana Nagar, Bapunagar",22.3248122,73.21565249999999,ChIJp_NvfC7PXzkR3XHpDqzHPEU,https://www.google.com/maps/place/?q=place_id:ChIJp_NvfC7PXzkR3XHpDqzHPEU,part_110,2026-09-20 16:39:56
Jawahar Flour Mill,Flour Mill,General store,"General store, Store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 63526 13123,N/A,5.0,,"Yasimn Plaza, Shak Market, 1, near Nagarwada, Nagarwada, Vadodara, Gujarat 390001",Nagarwada,22.305120199999998,73.2020421,ChIJcwWZlybPXzkR3uMhC5O_tUE,https://www.google.com/maps/place/?q=place_id:ChIJcwWZlybPXzkR3uMhC5O_tUE,part_110,2026-09-20 16:39:56
Manki Atta Chakki,Flour Mill,Manufacturer,Manufacturer,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 70164 11146,https://myhitechstore.com/store/mankiattachakki,5.0,,"Opp, Mother School Rd, nr. Styam Nagar Society, Shreeji dham Society, Pravitrakunj Society, Vadodara, Padra, Gujarat 391440","Shreeji dham Society, Pravitrakunj Society",22.241162799999998,73.09046769999999,ChIJkTDAhO7HXzkRiDNDfqoTWLY,https://www.google.com/maps/place/?q=place_id:ChIJkTDAhO7HXzkRiDNDfqoTWLY,part_110,2026-09-20 16:39:56
Archi Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,,,"3R4J+XFM, Chhalvant, Sodhaliya, Gujarat 391152",391152,22.057467199999998,73.8311633,ChIJZRWSxCQWYDkR-o3sAALDZqI,https://www.google.com/maps/place/?q=place_id:ChIJZRWSxCQWYDkR-o3sAALDZqI,part_110,2026-09-20 16:39:56
રોમિક ફ્લોર મીલ. ચંપા ફળિયા,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 90168 53391,N/A,,,"3RCX+MFP, Waghach, Gujarat 391152",391152,22.071709199999997,73.8486928,ChIJ2zT8FgA9YDkRK7PL73LZZeg,https://www.google.com/maps/place/?q=place_id:ChIJ2zT8FgA9YDkRK7PL73LZZeg,part_110,2026-09-20 16:39:56
Paras flour mill,Flour Mill,Flour mill,"Flour mill, Lodging",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,http://www.parasflourmill.com/,3.6,,"D-53/2, Ajwa Rd, Lakulesh Nagar, Sardar Estate, Sayaji Park Society, Vadodara, Gujarat 390019","Lakulesh Nagar, Sardar Estate, Sayaji Park Society",22.3219484,73.2507937,ChIJQ0O9EpPPXzkRHrya3J-K38I,https://www.google.com/maps/place/?q=place_id:ChIJQ0O9EpPPXzkRHrya3J-K38I,part_110,2026-09-20 16:39:56
Dubhil JATINBHAI D,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,,,"પિસાયતા, રોડ કુકરદા, તાલુકો નસવાડી, નસવાડી, Gujarat 391150",391152,21.954926,73.8829732,ChIJ-VG6lmkjYDkRYOb4K7CjwrU,https://www.google.com/maps/place/?q=place_id:ChIJ-VG6lmkjYDkRYOb4K7CjwrU,part_110,2026-09-20 16:39:56
Jay Bhavani Flour Mill,Flour Mill,Flour mill,Flour mill,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97377 51965,N/A,5.0,3.0,"511 amrutnagar housing board b/h akshar appt meant, Samta, Vadodara, Gujarat 390023",Samta,22.3286385,73.1447402,ChIJCdyRb67JXzkRottkZgteio4,https://www.google.com/maps/place/?q=place_id:ChIJCdyRb67JXzkRottkZgteio4,part_110,2026-09-20 16:39:57
Raju Flour Mill,Flour Mill,Flour mill,"Flour mill, Store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 96389 11555,N/A,4.7,,"G10, pavandham shopping complex, near Samta Flats, Pavandham Society, Laxmipura, Subhanpura, Vadodara, Gujarat 390023","Pavandham Society, Laxmipura, Subhanpura",22.3274398,73.1480844,ChIJj-YBye_IXzkRx8z4grkK_NQ,https://www.google.com/maps/place/?q=place_id:ChIJj-YBye_IXzkRx8z4grkK_NQ,part_110,2026-09-20 16:39:57
