business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tarsali Vegetable Market,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,Fruit and vegetable wholesaler,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 74860 52452,N/A,4.1,,"Susen - Tarsali Ring Rd, near Tarsali Vegetable Market, Tarsali, Vadodara, Gujarat 390009",Tarsali,22.256370699999998,73.2147035,ChIJaRH41bLFXzkRM5_MQEjm7EY,https://www.google.com/maps/place/?q=place_id:ChIJaRH41bLFXzkRM5_MQEjm7EY,part_110,2026-09-20 16:39:56
Vadodara Farmer's Market,Fruit and Vegetable Wholesaler,Fruit and vegetable wholesaler,"Fruit and vegetable wholesaler, Fruit and vegetable store",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 88663 43777,N/A,4.2,,"181, Radhakrishna Shopping Center, Sheetal Nagar, Akota, Vadodara, Gujarat 390007","Sheetal Nagar, Akota",22.293414499999997,73.1682186,ChIJdQD17RzGXzkRg3ZszY-_CjM,https://www.google.com/maps/place/?q=place_id:ChIJdQD17RzGXzkRg3ZszY-_CjM,part_110,2026-09-20 16:39:56
Evening Vegetable Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 79849 68204,N/A,3.9,,"Chanakyapuri Society, Kasturba Nagar, New Sama, Vadodara, Gujarat 391740","Chanakyapuri Society, Kasturba Nagar, New Sama",22.3467934,73.1944602,ChIJ_-wwBNjOXzkRrsbMR79t3rg,https://www.google.com/maps/place/?q=place_id:ChIJ_-wwBNjOXzkRrsbMR79t3rg,part_110,2026-09-20 16:39:56
R. S. Patel Vegetables Private Limited,Fruit and Vegetable Wholesaler,Produce market,"Produce market, Fruits & Vegetable Wholesaler",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98255 04312,N/A,4.3,,"Shop No.V-79,80,81 National Highway No.8 Sayajipura APMC Market Yard,Near, Ajwa Rd, Nehru Chacha Nagar, Sayaji Park Society, Vadodara, Gujarat 390019","Nehru Chacha Nagar, Sayaji Park Society",22.3356989,73.2524129,ChIJRW44rrjPXzkRdu_yxThYJLQ,https://www.google.com/maps/place/?q=place_id:ChIJRW44rrjPXzkRdu_yxThYJLQ,part_110,2026-09-20 16:39:56
Moti Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.3,,"76W2+GCG, Kevdabaug, Vadodara, Gujarat 390001",Kevdabaug,22.2963073,73.20107159999999,ChIJv-r5l0zFXzkRyU37J79pyIc,https://www.google.com/maps/place/?q=place_id:ChIJv-r5l0zFXzkRyU37J79pyIc,part_110,2026-09-20 16:39:56
Channi vegetables Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,3.8,,"7-43, Chhani, Vadodara, Gujarat 391740",Chhani,22.363834999999998,73.168397,ChIJ1U4VFfzJXzkRX-1op--pNk0,https://www.google.com/maps/place/?q=place_id:ChIJ1U4VFfzJXzkRX-1op--pNk0,part_110,2026-09-20 16:39:56
Shreeji Kesar Mango™,Fruit and Vegetable Wholesaler,Fruit wholesaler,Fruit wholesaler,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 70165 30085,https://www.instagram.com/shreejikesarmango/,5.0,,"Elegance Square 404, near Krunal Char Rasta, Gotri, Vadodara, Gujarat 390021",Gotri,22.319682099999998,73.1415037,ChIJoUtQi2HHXzkRwllUoleGlAw,https://www.google.com/maps/place/?q=place_id:ChIJoUtQi2HHXzkRwllUoleGlAw,part_110,2026-09-20 16:39:56
Sardar Patel Vegetables Market,Fruit and Vegetable Wholesaler,Fruit and vegetable store,"Fruit and vegetable store, Supermarket",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.2,,"Sardar Patel market, Vadodara, Gujarat 391440",391152,22.250982,73.0728029,ChIJqfFYBn24XzkRYXqwgpEugCQ,https://www.google.com/maps/place/?q=place_id:ChIJqfFYBn24XzkRYXqwgpEugCQ,part_110,2026-09-20 16:39:56
Panigate Shak Market,Fruit and Vegetable Wholesaler,Vegetable wholesale market,Vegetable wholesale market,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 70165 53905,N/A,4.0,,"Sabji Market, Panigate Rd, Kahar Mohalla, Tai Wada, Wadi, Vadodara, Gujarat 390017","Kahar Mohalla, Tai Wada, Wadi",22.298904699999998,73.217055,ChIJNwyIgYjFXzkRZuP2-d0tYAw,https://www.google.com/maps/place/?q=place_id:ChIJNwyIgYjFXzkRZuP2-d0tYAw,part_110,2026-09-20 16:39:56
Fresh Basket,Fruit and Vegetable Wholesaler,Produce market,Produce market,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97237 07999,N/A,4.7,,"Gf 14 shreeram chambers, RC Dutt Rd, opp. Circuit house, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.3100064,73.1769384,ChIJ91EsBrLIXzkRE32Uaqy8_aM,https://www.google.com/maps/place/?q=place_id:ChIJ91EsBrLIXzkRE32Uaqy8_aM,part_110,2026-09-20 16:39:56
BARODA FRESH MARKET,Fruit and Vegetable Wholesaler,Produce market,"Produce market, Farmers' market, Fruit wholesaler, Vegetable wholesale market",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 87996 04442,http://www.barodafreshmarket.in/,,,"GF-10 Shreenathji Dream City, Waghodia Road, opp. Dordarshan Tower, Amodar, Gujarat 390019",391152,22.293191999999998,73.2898227,ChIJQ3T6Yh3bXzkRlnmqqqHeESA,https://www.google.com/maps/place/?q=place_id:ChIJQ3T6Yh3bXzkRlnmqqqHeESA,part_110,2026-09-20 16:39:56
T.R.Fruits,Fruit and Vegetable Wholesaler,Fruit wholesaler,Fruit wholesaler,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.9,,"GF Shop No, 2 Vibhag - B, opp. Shiddnath talav road, near tanaji painter Khanderav market, Kevdabaug, Vadodara, Gujarat 390001",Kevdabaug,22.2950512,73.2030151,ChIJl7fUWADFXzkRZj3kC6I_orM,https://www.google.com/maps/place/?q=place_id:ChIJl7fUWADFXzkRZj3kC6I_orM,part_110,2026-09-20 16:39:56
BAPU TRADERS,Fruit and Vegetable Wholesaler,Produce wholesaler,Produce wholesaler,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,,"Shop No. 178, APMC Markat, Ajwa Rd, near NH No.8, Nehru Chacha Nagar, Sayaji Park Society, Vadodara, Gujarat 390019","Nehru Chacha Nagar, Sayaji Park Society",22.3364917,73.2528511,ChIJPXyXXsfPXzkRU9slZkyewbs,https://www.google.com/maps/place/?q=place_id:ChIJPXyXXsfPXzkRU9slZkyewbs,part_110,2026-09-20 16:39:56
Neha Fruit Agency,Fruit and Vegetable Wholesaler,Store,Store,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,3.7,,"Khanderao Market, Kevdabaug, Vadodara, Gujarat 390001",Kevdabaug,22.2962743,73.2022365,ChIJWyXSZfTFXzkRxVPM0T0bTEc,https://www.google.com/maps/place/?q=place_id:ChIJWyXSZfTFXzkRxVPM0T0bTEc,part_110,2026-09-20 16:39:56
