business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GIDC Industrial Estate,Industrial Estate / GIDC / MIDC / SIPCOT,Corporate office,Corporate office,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,5.0,,"65XQ+263, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390010","Makarpura GIDC, Makarpura",22.247517199999997,73.1880618,ChIJBaLGew_FXzkRzVy0iWBAZk4,https://www.google.com/maps/place/?q=place_id:ChIJBaLGew_FXzkRzVy0iWBAZk4,part_110,2026-09-20 16:40:40
GIDC Savli,Industrial Estate / GIDC / MIDC / SIPCOT,Business park,Business park,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 265 236 3837,http://www.savligidc.org/,4.2,,"Plot No. 267, G.I.D.C, Ta, B/h, Netafirm, Savli, Manjusar, Gujarat 391775","B/h, Netafirm",22.4388354,73.19663899999999,ChIJP5O9sFjMXzkRYKvxzJe9Ocw,https://www.google.com/maps/place/?q=place_id:ChIJP5O9sFjMXzkRYKvxzJe9Ocw,part_110,2026-09-20 16:40:40
Waghodia GIDC,Industrial Estate / GIDC / MIDC / SIPCOT,Packaging company,Packaging company,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.3,,"79VM+MHH, Vadodara, Gujarat 391760",391152,22.294188,73.3839995,ChIJaYcty-nZXzkRq9tCux4b-T0,https://www.google.com/maps/place/?q=place_id:ChIJaYcty-nZXzkRq9tCux4b-T0,part_110,2026-09-20 16:40:40
Daman Ganga Industrial Park,Industrial Estate / GIDC / MIDC / SIPCOT,Manufacturer,Manufacturer,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98251 16116,https://www.dgipindia.com/,3.9,,"At Joining, State Highway No.5, Dungri Falia, GIDC, Vapi, Gujarat 396193","Dungri Falia, GIDC",20.3481932,72.9489207,ChIJBU8n2YfO4DsRlWOkLUw8w8o,https://www.google.com/maps/place/?q=place_id:ChIJBU8n2YfO4DsRlWOkLUw8w8o,part_110,2026-09-20 16:40:40
Shiv Industrial Infrastructure Park,Industrial Estate / GIDC / MIDC / SIPCOT,Back Office,Back Office,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98240 24786,http://www.shivindustrialpark.com/,4.3,,"F688+3P4, Nirma-Canal Road, Near GIDC, Manjusar-Alindra,, Manjusar Savali, Makarpura, Vadodara, Gujarat 391775",391152,22.465131799999998,73.2168264,ChIJB2a5BOjMXzkRH1XnE7ur_7k,https://www.google.com/maps/place/?q=place_id:ChIJB2a5BOjMXzkRH1XnE7ur_7k,part_110,2026-09-20 16:40:40
Shah Industrial Park 3,Industrial Estate / GIDC / MIDC / SIPCOT,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Corporate campus",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 97370 80099,https://shahindustrialpark.com/shah_industrial_estate_3.php,4.0,,"Kotambi, Gujarat 391510",391152,22.4064375,73.2919375,ChIJOcqU_vXTXzkRiZd1auS0shg,https://www.google.com/maps/place/?q=place_id:ChIJOcqU_vXTXzkRiZd1auS0shg,part_110,2026-09-20 16:40:40
GIDC Office Sanand,Industrial Estate / GIDC / MIDC / SIPCOT,Government office,Government office,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 98791 10463,N/A,4.2,,"Chharodi, Gujarat 382170",391152,23.0018048,72.249237,ChIJARB7cOujXjkR_tP01TkKgQs,https://www.google.com/maps/place/?q=place_id:ChIJARB7cOujXjkR_tP01TkKgQs,part_110,2026-09-20 16:40:40
Vadodara Chamber of Commerce & Industry,Industrial Estate / GIDC / MIDC / SIPCOT,Non-profit organization,"Non-profit organization, Chamber of Commerce",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 93760 07223,http://www.vccivadodara.org/,4.5,,"2ND FLOOR, VCCI Commercial Complex, 73, Makarpura GIDC, Makarpura, Vadodara, Gujarat 390010","Makarpura GIDC, Makarpura",22.257652699999998,73.18539059999999,ChIJ_____zjEXzkRoa8dBfjvFKg,https://www.google.com/maps/place/?q=place_id:ChIJ_____zjEXzkRoa8dBfjvFKg,part_110,2026-09-20 16:40:40
Manjusar GIDC Main Gate in sise map,Industrial Estate / GIDC / MIDC / SIPCOT,Industry,Industry,391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",N/A,N/A,4.2,,"C5PR+RMG, Hanging, Manjusar, Gujarat 391776",391152,22.437072399999998,73.1917179,ChIJSWOahnPNXzkRgkYABkHN1Hs,https://www.google.com/maps/place/?q=place_id:ChIJSWOahnPNXzkRgkYABkHN1Hs,part_110,2026-09-20 16:40:40
Nexus Industrial Park,Industrial Estate / GIDC / MIDC / SIPCOT,Industry,"Industry, Real Estate Builders & Construction Company, Real estate consultant, Real estate rental agency, Warehouse",391152,Gujarat Circle,Vadodara Region,Vadodara East Division,"Gadhboriad SO, Bhaka BO, Dani BO",+91 76000 11276,N/A,4.3,,"Toll road, Nexus Industrial Park At & Post Kotambi, Near Jarod, Halol - Vadodara Rd, Vadodara, Gujarat 391510",391152,22.416140799999997,73.3075891,ChIJCaDvyiTSXzkRsz14yPR_tkA,https://www.google.com/maps/place/?q=place_id:ChIJCaDvyiTSXzkRsz14yPR_tkA,part_110,2026-09-20 16:40:40
