business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Khodal housekeeping service,Housekeeping Services,House cleaning service,House cleaning service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 63534 89725,https://www.instagram.com/home_cleaning_service25?igsh=NWR6czJ5YjE0Zmd1&utm_source=qr,4.9,30.0,"Ekta Nagar, New Sama, Vadodara, Gujarat 390024","Ekta Nagar, New Sama",22.3447149,73.1907758,ChIJkRWiq8_JXzkRIr2_1ke2gw4,https://www.google.com/maps/place/?q=place_id:ChIJkRWiq8_JXzkRIr2_1ke2gw4,part_110,2026-09-20 16:41:17
My sofa cleaning,Housekeeping Services,Cleaning Services,"Cleaning Services, Carpet cleaning service, House cleaning service, Pest control service, Upholstery cleaning service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 82006 85053,https://www.mysofacleaning.com/,5.0,565.0,"Survey No 12, 2 Chunara, Thakor Vas Rd, opp. Shreeji Moters, near JALDEEP ICON, Makarba, Ahmedabad, Gujarat 380051",Makarba,23.0005757,72.5071624,ChIJA2G2sEGbXjkRYP7LSWiWwY8,https://www.google.com/maps/place/?q=place_id:ChIJA2G2sEGbXjkRYP7LSWiWwY8,part_110,2026-09-20 16:41:17
Clean N Care,Housekeeping Services,Cleaning Services,"Cleaning Services, House cleaning service, Property management company, Water Tank Cleaners",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 70353 50606,http://www.cleanncare.in/,4.3,,"B/s D, Khushalbhai Jewellers, Sheron Plaza, G-3, Parle Point, Meghdoot Society, Athwalines, Athwa, Surat, Gujarat 395007","Parle Point, Meghdoot Society, Athwalines, Athwa",21.175031,72.7953297,ChIJn__xHSlN4DsRgrpikFvi8-U,https://www.google.com/maps/place/?q=place_id:ChIJn__xHSlN4DsRgrpikFvi8-U,part_110,2026-09-20 16:41:18
Cleansheen Cleaning Service,Housekeeping Services,Cleaning Services,Cleaning Services,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 1800 890 3513,http://cleansheen.in/,4.9,,"Oberon Business Hub, Gaurav Path Road, Pal Gam, Surat, Gujarat 394510",Pal Gam,21.198466999999997,72.77143579999999,ChIJiZbDkwZN4DsRrfaMjWxD5T0,https://www.google.com/maps/place/?q=place_id:ChIJiZbDkwZN4DsRrfaMjWxD5T0,part_110,2026-09-20 16:41:18
Dhruvil cleaning service,Housekeeping Services,House cleaning service,House cleaning service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 63536 61163,https://dhruvil-cleaning-service.grexa.site/,4.9,75.0,"20, Chandramauleshwar Nagar, Gotri, chanramoheswar, Vadodara, Gujarat 391101","Chandramauleshwar Nagar, Gotri",22.3103733,73.13106379999999,ChIJXxnDMm7JXzkRx13H5YR3PMo,https://www.google.com/maps/place/?q=place_id:ChIJXxnDMm7JXzkRx13H5YR3PMo,part_110,2026-09-20 16:41:19
The Cleaning Company Baroda,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning products supplier, Cleaning Services, Janitorial service, Service Apartment, Tile cleaning service, Upholstery cleaning service, Window cleaning service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 84477 18254,http://www.thecleaning.company/,4.9,835.0,"B/h, Mother’s School, A-30, Yogeshwar Jyot Society, Gotri, Vadodara, Gujarat 390007","Usha Nagar, Gotri",22.304472999999998,73.1479292,ChIJSduX-3PJXzkR34a1ddTYWjk,https://www.google.com/maps/place/?q=place_id:ChIJSduX-3PJXzkR34a1ddTYWjk,part_110,2026-09-20 16:41:19
Krishna Hospitality services,Housekeeping Services,Cleaning Services,Cleaning Services,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 83470 70144,N/A,4.4,30.0,"D_504 Rama Residency, Indira nagri road, near by HP Petrol pump, Dashrath, Vadodara, Gujarat 391740",Dashrath,22.3875217,73.1499497,ChIJafb5PitPXjkRWC--M2Ylzko,https://www.google.com/maps/place/?q=place_id:ChIJafb5PitPXjkRWC--M2Ylzko,part_110,2026-09-20 16:41:19
Hippo Cleaning Service,Housekeeping Services,Cleaning Services,Cleaning Services,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 84017 02957,http://hippocleaning.in/,4.8,212.0,"Zadeshwar, Bharuch, Gujarat 392012",Zadeshwar,21.7130944,73.0230266,ChIJd-u5hJcg4DsROGsHH_imOTw,https://www.google.com/maps/place/?q=place_id:ChIJd-u5hJcg4DsROGsHH_imOTw,part_110,2026-09-20 16:41:19
TIDY HOME SERVICES,Housekeeping Services,Cleaning Services,Cleaning Services,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99795 11151,https://www.tidyhome.biz/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4280659174350446110,4.6,332.0,"Kadwa Sheri, Raopura, Vadodara, Gujarat 390001","Kadwa Sheri, Raopura",22.304236,73.2023364,ChIJPbHPpr5FZwMRNUuYy_jN_dM,https://www.google.com/maps/place/?q=place_id:ChIJPbHPpr5FZwMRNUuYy_jN_dM,part_110,2026-09-20 16:41:19
Cleaning Expert,Housekeeping Services,House cleaning service,"House cleaning service, Carpet cleaning service, Cleaning Services, Water Tank Cleaners",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98253 65457,http://cleaningexpert.in/,4.8,122.0,"Auro Elite, A-104, Bill Canal Rd, near Auro Residency, TP-1, Bill, Vadodara, Gujarat 391410",TP-1,22.2601349,73.1408402,ChIJp-GkErrHXzkRHl__lm0-Wok,https://www.google.com/maps/place/?q=place_id:ChIJp-GkErrHXzkRHl__lm0-Wok,part_110,2026-09-20 16:41:19
Jay Bhole service,Housekeeping Services,House cleaning service,House cleaning service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98248 83688,https://jay-bhole-service.grexa.site/,4.8,24.0,"330, Ghanshyam Park Society, Ekta Nagar, New Sama, Vadodara, Gujarat 390024","Ghanshyam Park Society, Ekta Nagar, New Sama",22.348406,73.18574699999999,ChIJcdmDJh_JXzkRXVCUpARpzsU,https://www.google.com/maps/place/?q=place_id:ChIJcdmDJh_JXzkRXVCUpARpzsU,part_110,2026-09-20 16:41:19
Kushnali Housekeeping Service,Housekeeping Services,House cleaning service,"House cleaning service, House clearance service, Pest control service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 87589 82735,https://www.suratwale.com/directory/krushnali-housekeeping-service,5.0,322.0,"Chikuwad pandesra Surat Abhirbhav soc 2, Surat, Gujarat 394221","Bhedwad, Pandesaragam, Udhana",21.145874199999998,72.8369672,ChIJg9LZdelR4DsRAOLuvJaeKUw,https://www.google.com/maps/place/?q=place_id:ChIJg9LZdelR4DsRAOLuvJaeKUw,part_110,2026-09-20 16:41:19
Maha shakti home cleaning products,Housekeeping Services,House cleaning service,House cleaning service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 94081 43959,N/A,5.0,10.0,"Lakshmi shopping center, chokdi, Alipura, Bodeli, Gujarat 391135","chokdi, Alipura",22.2742228,73.71824029999999,ChIJMUVYj2pvYDkRVVUp62oyzp4,https://www.google.com/maps/place/?q=place_id:ChIJMUVYj2pvYDkRVVUp62oyzp4,part_110,2026-09-20 16:41:19
