business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Best Cab Service,Taxi Service and Car Rental,Car rental agency,Car rental agency,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 90996 78374,N/A,5.0,,"Rajkot Hirasar Airport Rd, Hirasar, Gujarat 363520",391155,22.395800299999998,71.0030404,ChIJ4WkqMwCvWTkRxS3vI82a-LI,https://www.google.com/maps/place/?q=place_id:ChIJ4WkqMwCvWTkRxS3vI82a-LI,part_110,2026-09-20 16:40:58
Patel Cabs Ahmedabad,Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Car leasing service, Car rental agency, Tour operator, Travel agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99744 56990,http://www.patelcabs.com/,4.9,,"Divyajivan Lifestyle, E1/101, opp. Deepak School, nr. Ravidarshan Park Road, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0454003,72.6670293,ChIJh2JtpB6HXjkRUzV8D0DfzcE,https://www.google.com/maps/place/?q=place_id:ChIJh2JtpB6HXjkRUzV8D0DfzcE,part_110,2026-09-20 16:40:58
SONU DI GADDI CAB SERVICE,Taxi Service and Car Rental,Car rental agency,Car rental agency,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 98982 05742,https://www.sonudigaddi.com/,5.0,,"143, Bhagyoday Society, near Sahyog Garden, above Undera- Koyali Road, Sahyog Soceity, Panchvati, Vadodara, Gujarat 390016","Sahyog Soceity, Panchvati",22.337200499999998,73.1496238,ChIJG9TLGI_JXzkRNpKW7GmBAGQ,https://www.google.com/maps/place/?q=place_id:ChIJG9TLGI_JXzkRNpKW7GmBAGQ,part_110,2026-09-20 16:40:58
One Sided Cabs,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Travel agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 95749 97997,https://www.onesidedcabs.com/,4.0,,"Park paradise complex, L 223, Vadsar - Vishwamitri Rd, near bilabong school, Vadsar, Manjalpur, Vadodara, Gujarat 390001","Vadsar, Manjalpur",22.262738499999998,73.1726008,ChIJZzYa7z7PXzkRUIZoOjgMNWA,https://www.google.com/maps/place/?q=place_id:ChIJZzYa7z7PXzkRUIZoOjgMNWA,part_110,2026-09-20 16:40:58
Happy cab,Taxi Service and Car Rental,Car leasing service,Car leasing service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 85114 09852,http://www.happycab.in/,4.9,,"Sahaj duplex, 31, b/h, Gorwa refinery road, Eshanya, homes, Undera, Vadodara, Gujarat 391330","Eshanya, homes, Undera",22.343916999999998,73.1353985,ChIJq_-klKTJXzkR4Ns6myEYVc8,https://www.google.com/maps/place/?q=place_id:ChIJq_-klKTJXzkR4Ns6myEYVc8,part_110,2026-09-20 16:40:58
YATAYAT Car Rental,Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Car leasing service, Car rental agency, Chauffeur service, Transportation service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 93585 85858,https://yatayat.in/,4.9,,"Nautillus Building, 206, Sayajiganj, Vadodara, Gujarat 390020","Sarod, Sayajiganj",22.309262699999998,73.1826693,ChIJ-5AdXvTPXzkRXW99j27pFQA,https://www.google.com/maps/place/?q=place_id:ChIJ-5AdXvTPXzkRXW99j27pFQA,part_110,2026-09-20 16:40:58
"|| i cabs || safe and affordable || Taxi service in botad, ahmedabad, Gujarat,",Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Minibus taxi service, Transportation service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 78619 46541,N/A,5.0,,"Sachin pan, Paliyad Rd, inside ST bus depo, Kharama, Bharvad Vado, Botad, Gujarat 364710","Kharama, Bharvad Vado",22.1745987,71.6582919,ChIJxW3uKErdWDkRKeRcHvP_AOo,https://www.google.com/maps/place/?q=place_id:ChIJxW3uKErdWDkRKeRcHvP_AOo,part_110,2026-09-20 16:40:58
Bansidhar Cab Jamnagar,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Chauffeur service, Minibus taxi service, Sightseeing Tour Operator, Travel agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 63547 04545,https://bansidharcabservice.in/,5.0,,"Defence Colony Road, near Mahakali Circle, Defence Colony, Jamnagar, Gujarat 361002",Defence Colony,22.471301099999998,70.03088989999999,ChIJK1miGwVuyYARkBLJtimLyBA,https://www.google.com/maps/place/?q=place_id:ChIJK1miGwVuyYARkBLJtimLyBA,part_110,2026-09-20 16:40:58
Aman car rental and cab service taxi booking,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 87802 81175,N/A,5.0,,"near kenal, holi vistar, Tintoi, Gujarat 383250",holi vistar,23.6133164,73.33060379999999,ChIJw2RY6L6NXTkR23M2Zq1YZ8w,https://www.google.com/maps/place/?q=place_id:ChIJw2RY6L6NXTkR23M2Zq1YZ8w,part_110,2026-09-20 16:40:58
RAMBHAKHT TRAVELS TAXI SERVICE,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 95101 44893,N/A,4.9,,"M 105, Link Rd, opp. Sambhu Dairy, Gangeshwar Park, Unnati Nagar, Bharuch, Gujarat 392001","Gangeshwar Park, Unnati Nagar",21.713120999999997,72.9878533,ChIJvZJJ4Nsn4DsRO2jMna0-mA8,https://www.google.com/maps/place/?q=place_id:ChIJvZJJ4Nsn4DsRO2jMna0-mA8,part_110,2026-09-20 16:40:58
Krupa Taxi Service || Tempo Traveller,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Car rental agency, Minibus taxi service",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 79903 04617,http://www.krupataxiservice.com/,4.9,,"GIDC, Ashapura Chokdi, opp. Thakkar TVS, New Porbandar, Porbandar, Gujarat 360575","Rajiv Nagar, New Porbandar",21.6482325,69.63383739999999,ChIJ5cPjwTE1VjkRiO6QBHK6ym0,https://www.google.com/maps/place/?q=place_id:ChIJ5cPjwTE1VjkRiO6QBHK6ym0,part_110,2026-09-20 16:40:58
RASHMI CABS ️,Taxi Service and Car Rental,Taxi service,"Taxi service, Car rental agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99745 86007,https://rashmicabs.com/,4.9,,"Shivansh Prime, 106, Ghogha Cir, opp. Vraj Vihar Hall, Sardar Nagar, Bhavnagar, Gujarat 364001",Sardar Nagar,21.7625056,72.1529206,ChIJo5VydHdaXzkRYLYhLJvJUes,https://www.google.com/maps/place/?q=place_id:ChIJo5VydHdaXzkRYLYhLJvJUes,part_110,2026-09-20 16:40:58
Gujarat City Cab service,Taxi Service and Car Rental,Taxi service,Taxi service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99257 98543,https://gujaratcitycabservices.com/,4.8,,"1 Gulshan Naim, Sarkhej Rd, opp. kajal park society, nr. Ghachi Hall, Ahmedabad, Gujarat 380055","Navrang Society, Fatehwadi, Arshad Park, Juhapura",22.9894087,72.51926259999999,ChIJX9DOUzybXjkRwJXIsC_qXig,https://www.google.com/maps/place/?q=place_id:ChIJX9DOUzybXjkRwJXIsC_qXig,part_110,2026-09-20 16:40:58
TransRentals,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Bus tour agency, Car leasing service, Transportation service, Crane rental agency, Minibus taxi service, Two Wheeler Rental Agency, Truck rental agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 97379 65551,http://transrentals.in/,4.3,162.0,"215, Galaxy business park, Service Rd, Odhav Industrial Estate, Nikol, Ahmedabad, Gujarat 380049","Odhav Industrial Estate, Nikol",23.040526,72.6779809,ChIJiROfrAmHXjkRdc5T_Saytp4,https://www.google.com/maps/place/?q=place_id:ChIJiROfrAmHXjkRdc5T_Saytp4,part_110,2026-09-20 16:40:59
Cabtrip Travel,Taxi Service and Car Rental,Taxi service,"Taxi service, Sightseeing Tour Operator, Tour operator, Travel agency",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 75675 75507,https://cabtriptravel.com/,4.8,35.0,"8R48+VCP, Kuvadva Rd, Bhagvati Park, Sadguru Nagar, Rajkot, Gujarat 360003","Bhagvati Park, Sadguru Nagar",22.307187499999998,70.8160625,ChIJUfq6Uy63WTkRIoOgC9lyArs,https://www.google.com/maps/place/?q=place_id:ChIJUfq6Uy63WTkRIoOgC9lyArs,part_110,2026-09-20 16:40:59
Mogal Tours & Travels,Taxi Service and Car Rental,Car rental agency,Car rental agency,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 97124 99975,https://www.indiagodigital.in/mogal-tours-travels,4.6,,"NH 27, near New Airport, Bapu Nagar, Porbandar, Gujarat 360575",Bapu Nagar,21.643263599999997,69.66421439999999,ChIJV1VVVeI0VjkRtO7D0jSioGU,https://www.google.com/maps/place/?q=place_id:ChIJV1VVVeI0VjkRtO7D0jSioGU,part_110,2026-09-20 16:40:59
