business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tempo Gujarat,Tempo and Mini Truck Service,Transportation service,Transportation service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 63513 68844,http://www.tempogujrat.com/,5.0,,"near by shiv petrol pump, Nichimandal, Gujarat 363641",391155,22.8866408,70.9995574,ChIJBdAhBQCNWTkRJS9Cgosvu6o,https://www.google.com/maps/place/?q=place_id:ChIJBdAhBQCNWTkRJS9Cgosvu6o,part_110,2026-09-20 16:40:59
"DAHEJ MOTORS, MAHINDRA TRUCK AND BUS AUTHORISED SERVICE CENTRE",Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 89800 17056,N/A,3.8,,"Survey/Block No. 126, Besides Tata Motors Showroom, Dahej, Gujarat 392135",391155,21.7164991,72.6651936,ChIJUbgWMmh_XzkROjItqnFUQPI,https://www.google.com/maps/place/?q=place_id:ChIJUbgWMmh_XzkROjItqnFUQPI,part_110,2026-09-20 16:40:59
KP TRUCKING PVT LTD ( MAHINDRA TRUCK AND BUS AUTHORISED SERVICE CENTRE ),Tempo and Mini Truck Service,Truck dealer,Truck dealer,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.3,,"NH48, near Aroma hotal, Hifazat Nagar, Motali, Ankleshwar, Gujarat 393001",Hifazat Nagar,21.647716799999998,73.0446542,ChIJESEhNlEh4DsRrVs27QmFniE,https://www.google.com/maps/place/?q=place_id:ChIJESEhNlEh4DsRrVs27QmFniE,part_110,2026-09-20 16:40:59
Super truck garage,Tempo and Mini Truck Service,Garage,Garage,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99749 91324,N/A,4.4,,"RTO circle, Zahirabad, Himatnagar, Savgadh, Gujarat 383002",Zahirabad,23.6117504,72.94256949999999,ChIJfU0bBMy5XTkRfsgChcSYI0A,https://www.google.com/maps/place/?q=place_id:ChIJfU0bBMy5XTkRfsgChcSYI0A,part_110,2026-09-20 16:40:59
MEET MOTORS MAHINDRA AUTHORISED WORKSHOP,Tempo and Mini Truck Service,Auto repair shop,Auto repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.3,,"9X75+9CC, Pipodara, Gujarat 394110",391155,21.3634462,72.9585251,ChIJl5qKbyE54DsRdHdqe9FT4ZQ,https://www.google.com/maps/place/?q=place_id:ChIJl5qKbyE54DsRdHdqe9FT4ZQ,part_110,2026-09-20 16:40:59
VP Automobiles Truck Services,Tempo and Mini Truck Service,Car Manufacturer,"Car Manufacturer, Truck dealer, Truck parts supplier, Truck repair shop, Trucking company",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 75730 07301,http://www.vpautomobiles.com/,5.0,,"Rajkot - Ahmedabad Hwy, Maliyasan, Gujarat 360003",391155,22.338148399999998,70.89979319999999,ChIJ22thDky3WTkRVbmY6BpIU4Q,https://www.google.com/maps/place/?q=place_id:ChIJ22thDky3WTkRVbmY6BpIU4Q,part_110,2026-09-20 16:40:59
Truck point motars,Tempo and Mini Truck Service,Auto repair shop,Auto repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 75672 45568,N/A,5.0,,"Bakrol Cir, Ahmedabad, Visalpur, Gujarat 382210",391155,22.9370543,72.4977317,ChIJeUXzHACRXjkRfULBL4FLcVI,https://www.google.com/maps/place/?q=place_id:ChIJeUXzHACRXjkRfULBL4FLcVI,part_110,2026-09-20 16:40:59
Truck workshop,Tempo and Mini Truck Service,Garage,Garage,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 90816 42918,N/A,5.0,,"Higway no 48, beside Swagat hotel, Killa-pardi, Gujarat 396185",391155,20.4838672,72.93606059999999,ChIJhdv_0vvF4DsRWPv4iFzWkG8,https://www.google.com/maps/place/?q=place_id:ChIJhdv_0vvF4DsRWPv4iFzWkG8,part_110,2026-09-20 16:40:59
MAHIKA TRUCK WORKSHOP,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.3,,"near noor plaza, At, Wankaner, Chandrapur, Gujarat 363621",At,22.595406,70.971276,ChIJI3biaoGjWTkRntjRqA6bozA,https://www.google.com/maps/place/?q=place_id:ChIJI3biaoGjWTkRntjRqA6bozA,part_110,2026-09-20 16:40:59
Navjivan Automotive Mahindra Truck & Bus,Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,3.9,,"5PHM+GHV, Bhatpore, Limla, Gujarat 394510",Bhatpore,21.178862799999997,72.7339305,ChIJQyAX8SNN4DsRJPV7dggwbVU,https://www.google.com/maps/place/?q=place_id:ChIJQyAX8SNN4DsRJPV7dggwbVU,part_110,2026-09-20 16:40:59
"Meera Motors, Tata Motors, Ashok Layland, Truck Garage and ECM Repair..",Tempo and Mini Truck Service,Truck repair shop,Truck repair shop,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 99241 06646,N/A,5.0,,"Golden chokdi, nr. air force bridge, near RTO Road, Vadodara, Gujarat 390019",391155,22.345862399999998,73.24184369999999,ChIJkbuKt3TPXzkR4XHUvsHQFL0,https://www.google.com/maps/place/?q=place_id:ChIJkbuKt3TPXzkR4XHUvsHQFL0,part_110,2026-09-20 16:40:59
Shiv tempo service,Tempo and Mini Truck Service,Transportation service,"Transportation service, Truck dealer",391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",+91 97241 78693,N/A,5.0,1.0,"52, Sona Nagar Society, Yogi Nagar, Nava Bazar, Karjan, Gujarat 391240","Sona Nagar Society, Yogi Nagar, Nava Bazar",22.0596496,73.1162714,ChIJ92p6OTPrXzkRQnwytnDKhjk,https://www.google.com/maps/place/?q=place_id:ChIJ92p6OTPrXzkRQnwytnDKhjk,part_110,2026-09-20 16:41:00
PRIVATE TEMPO SERVICE,Tempo and Mini Truck Service,Trailer rental service,Trailer rental service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,http://mahadevtemposervice.com/,5.0,18.0,"Ambika Park Apartment, C-105, chowk, opp. hdfc bank, Sri Nathjidvar Society, Sitanagar, Punagam, Varachha, Surat, Gujarat 395011","Sri Nathjidvar Society, Sitanagar, Punagam, Varachha",21.2022431,72.8664648,ChIJz90QfXZP4DsR028Gwg8Hodo,https://www.google.com/maps/place/?q=place_id:ChIJz90QfXZP4DsR028Gwg8Hodo,part_110,2026-09-20 16:41:00
Mangalam truck garage,Tempo and Mini Truck Service,Transportation service,Transportation service,391155,Gujarat circle,Vadodara Region,Vadodara East Division,"Motibumadi BO, Muldhar BO, Pandhara BO",N/A,N/A,4.3,3.0,"mangalam truck garage, nr. Gujarat Ambuja Exports Ltd, Sant Ram City, Kadi, Gujarat 384440",Sant Ram City,23.286666699999998,72.3381483,ChIJazl5orIjXDkRmP7KBRTNWd4,https://www.google.com/maps/place/?q=place_id:ChIJazl5orIjXDkRmP7KBRTNWd4,part_110,2026-09-20 16:41:00
