business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BHO Security Systems Experts: All Security Camera Installation & Service,CCTV Installation and Security System,Security system installation service,"Security system installation service, Service establishment, Security system supplier",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,http://www.manhattannycsecuritysystems.com/BHO-Security-systems-Queens-New-York.html,5.0,,"BHO Security Systems Experts: All Security Camera Installation & Service, 391210, India",391210,40.825517,-72.9564156,ChIJjf5_Q8FfwokRhZ3J4561D_I,https://www.google.com/maps/place/?q=place_id:ChIJjf5_Q8FfwokRhZ3J4561D_I,part_110,2026-09-20 16:46:15
Hi,CCTV Installation and Security System,Security system installation service,"Security system installation service, Audio visual equipment supplier, Burglar alarm store, Service establishment, Security system supplier, Vacuum cleaning system supplier",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,4.1,,"Hi, 391210, India",391210,-32.205414999999995,136.1073692,ChIJARtc0XMT1moRUijaEOtUae8,https://www.google.com/maps/place/?q=place_id:ChIJARtc0XMT1moRUijaEOtUae8,part_110,2026-09-20 16:46:15
Saini CCTV Camera & Security System,CCTV Installation and Security System,Electronics store,Electronics store,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,,,"X7JR+X8H, Sadhali, Gujarat 391250",391210,21.9824266,73.2908463,ChIJu0AJInflXzkRnyKgmftr9Co,https://www.google.com/maps/place/?q=place_id:ChIJu0AJInflXzkRnyKgmftr9Co,part_110,2026-09-20 16:46:15
cctv camera shop,CCTV Installation and Security System,Computer support and services,Computer support and services,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,,,"31, Shreeji Residency, Uma Nagar, Kendranagar, Vadodara, Gujarat 390025","Uma Nagar, Kendranagar",22.281088399999998,73.2313126,ChIJJ4OJCjXFXzkRZtdPGEMPa-o,https://www.google.com/maps/place/?q=place_id:ChIJJ4OJCjXFXzkRZtdPGEMPa-o,part_110,2026-09-20 16:46:15
Horizon Industrial Park,CCTV Installation and Security System,Business park,"Business park, Business development service",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98240 24786,N/A,4.1,,"Bamangam, Puniyad, Gujarat 391243",391210,22.1064533,73.19134629999999,ChIJRYNC_frpXzkRFNYmZSc3UGg,https://www.google.com/maps/place/?q=place_id:ChIJRYNC_frpXzkRFNYmZSc3UGg,part_110,2026-09-20 16:46:16
Mukesh Cctv camera service,CCTV Installation and Security System,Security system installation service,"Security system installation service, Electronic engineering service",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 73109 88615,N/A,5.0,,"ward no 10, Thakur Nagar, Transit Camp Rd, Rudrapur, Uttarakhand 263153",391210,28.9777886,79.4112691,ChIJHdBGtzl_oDkR_2b6Y5qJ3t8,https://www.google.com/maps/place/?q=place_id:ChIJHdBGtzl_oDkR_2b6Y5qJ3t8,part_110,2026-09-20 16:46:16
Cctv cameras installation,CCTV Installation and Security System,Security service,Security service,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98489 43996,N/A,4.8,,"Beeramguda, Hyderabad, Telangana 502032",Beeramguda,17.5184486,78.30384029999999,ChIJl_9G_VmNyzsRvfG-GeUgH5Y,https://www.google.com/maps/place/?q=place_id:ChIJl_9G_VmNyzsRvfG-GeUgH5Y,part_110,2026-09-20 16:46:17
ZOOM IN TECHNOLOGIES (CCTV Security Shop),CCTV Installation and Security System,Security system installation service,Security system installation service,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98235 95990,https://zoomintech.in/,4.8,33.0,"23, Maharashtra Khadi Bhandaar Line, SATIDHAM MARKET, Jawahar Rd, Amrawati Tahsil, Amravati, Maharashtra 444601",Amrawati Tahsil,20.931573699999998,77.7535406,ChIJxYJYSE6l1jsRzEEMY3a40Gg,https://www.google.com/maps/place/?q=place_id:ChIJxYJYSE6l1jsRzEEMY3a40Gg,part_110,2026-09-20 16:46:17
R D INFOTECH CCTV CAMERA AND SECURITY SYSTEM DEALERS,CCTV Installation and Security System,Security system supplier,"Security system supplier, Electronics wholesaler, Fire alarm supplier, GPS supplier, Home automation company, Home theater store, Home audio store",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 70208 03946,N/A,4.9,102.0,"JAISTAMBH SQUARE, RALLIES ROAD, Amrawati Tahsil, Amravati, Maharashtra 444601",Amrawati Tahsil,20.9292147,77.7556354,ChIJr1sXcfml1jsRV3FExcVHhOI,https://www.google.com/maps/place/?q=place_id:ChIJr1sXcfml1jsRV3FExcVHhOI,part_110,2026-09-20 16:46:17
AVTS Technologies,CCTV Installation and Security System,Security system supplier,"Security system supplier, Security system installation service, Solar Energy Company, Solar energy system service",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 93706 63663,N/A,4.8,25.0,"Astvinayak Plaza, Shidhivinayak Colony , Near 7 Doors Restaurant Hemant Vihar Navsari Rahatgaon Ring Road, VMV Rd, Amravati, Maharashtra 444604",391210,20.9719741,77.744209,ChIJlfM0Q_uj1jsRH-DosWmj1Dk,https://www.google.com/maps/place/?q=place_id:ChIJlfM0Q_uj1jsRH-DosWmj1Dk,part_110,2026-09-20 16:46:17
