business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HOTEL JAMBH SHAKTI Tyre Puncher service,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,5.0,4.0,"2426+59V, Lakodara, Gujarat 391244",391210,22.0001145,73.109875,ChIJA-tje6ntXzkRfBGcj4Tgt40,https://www.google.com/maps/place/?q=place_id:ChIJA-tje6ntXzkRfBGcj4Tgt40,part_110,2026-09-20 16:46:02
Nilkanth Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto parts store, Battery Store, Oil change service, Wholesaler",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98987 50020,N/A,4.8,53.0,"Shree Rang Duplex, 25-26, Chokdi, Nava Bazar, Karjan, Gujarat 391240","Chokdi, Nava Bazar",22.0485103,73.1109659,ChIJXXoGNXLrXzkRC06PTnziNTM,https://www.google.com/maps/place/?q=place_id:ChIJXXoGNXLrXzkRC06PTnziNTM,part_110,2026-09-20 16:46:02
ASHISH SALES CORPORATION || Best Tyre Shop In Karjan | Tyres Shop In Karjan | All Kind Of Tyres Shop In Karjan,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98985 31878,https://stores.continental-tyres.in/continental-tyre-ashish-sales-corporation-karjan-karjan-17121/overview/?brandId=6f1a0ea5-977f-466e-81eb-5df4c71209ef,4.6,139.0,"Shreeji Park, 4-5 N.H.NO.48, DIST, opp. ASHIRWAD HALL, Juna Bazar, Karjan, Gujarat 391240",Juna Bazar,22.0517516,73.1288826,ChIJtTx_4QXrXzkRZskQLEG7Jhg,https://www.google.com/maps/place/?q=place_id:ChIJtTx_4QXrXzkRZskQLEG7Jhg,part_110,2026-09-20 16:46:02
Service24tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 87509 54269,N/A,,,"Ganpatpura Road, road, Dhanora, Fofaliya, karjan, Gujarat 391210",Dhanora,22.0591533,73.19311569999999,ChIJjcO3eAjpXzkRnvxX6XoatEs,https://www.google.com/maps/place/?q=place_id:ChIJjcO3eAjpXzkRnvxX6XoatEs,part_110,2026-09-20 16:46:02
Yogeshwar Tyre Remolding,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, News service, Tyre manufacturer, Tire repair shop, Used tire shop",391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 94270 76701,https://yogeshwar-tyre-remolding.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,5.0,22.0,"NH NO 8, Road, opp. Narmada colony, Bodana, Juni Jithardi, Karjan, Gujarat 391240",Bodana,22.0474838,73.1279624,ChIJRQV-xFrrXzkRkcm7_DHC470,https://www.google.com/maps/place/?q=place_id:ChIJRQV-xFrrXzkRkcm7_DHC470,part_110,2026-09-20 16:46:02
Bedhel Tyre Service,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,4.9,22.0,"Por, Gujarat 391243",391210,22.141776699999998,73.1841941,ChIJ8xccMCfCXzkRr4qqI9K_roo,https://www.google.com/maps/place/?q=place_id:ChIJ8xccMCfCXzkRr4qqI9K_roo,part_110,2026-09-20 16:46:02
Chicago tyres (Apollo tyres)-TYRE SHOP-WHEEL ALINGMENT-WHEEL BELENCING-DABHOI,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 98798 04020,N/A,4.3,27.0,"Krunal Complex, Dabhoi, Vega, Gujarat 391110",391210,22.141762399999998,73.3929891,ChIJyXJ2EZLfXzkRiB2jP606qaw,https://www.google.com/maps/place/?q=place_id:ChIJyXJ2EZLfXzkRiB2jP606qaw,part_110,2026-09-20 16:46:02
SREELEKSHMI TYRE HOUSE,Tyre Showroom and Puncture Shop,Used tire shop,Used tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 88669 99905,N/A,,,"NH 48, Lakodara, Karjan, Gujarat 391244",391210,22.001542,73.1104758,ChIJey1KDADtXzkRCrlh_i7XIjU,https://www.google.com/maps/place/?q=place_id:ChIJey1KDADtXzkRCrlh_i7XIjU,part_110,2026-09-20 16:46:02
SHREE UMIYA TYRE RE TRADERS,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",N/A,N/A,5.0,2.0,"Krunal shopping centre, chokdi, Vega, Gujarat 391110",chokdi,22.1416681,73.3930901,ChIJWbErkcffXzkRwJoFd1_qVx8,https://www.google.com/maps/place/?q=place_id:ChIJWbErkcffXzkRwJoFd1_qVx8,part_110,2026-09-20 16:46:02
Safar Tyre Service,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 99251 26530,N/A,5.0,2.0,"Sadhali, Gujarat 391250",391210,21.981912899999998,73.2922921,ChIJ041y76LlXzkResaoVK-TUUs,https://www.google.com/maps/place/?q=place_id:ChIJ041y76LlXzkResaoVK-TUUs,part_110,2026-09-20 16:46:02
Md Tyre service,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,391210,Gujarat Circle,Vadodara Region,Vadodara West Division,"Kandari SO, Chhatral BO, Dhavat BO",+91 81043 59018,N/A,5.0,1.0,"petrol pump, Sarsauni aamla road, Sarsauni, Gujarat 391445",391210,22.1759091,73.0906572,ChIJjaP3wS3BXzkRQBzftXUqaUw,https://www.google.com/maps/place/?q=place_id:ChIJjaP3wS3BXzkRQBzftXUqaUw,part_110,2026-09-20 16:46:02
