business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pro Fashion - Kids Clothing | Best dresses for Women,Kids Wear Store,Clothing store,Clothing store,391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 94083 39205,https://www.instagram.com/profashion.in/,4.4,203.0,"GF,1, Haveli Shrinagar Building BPC Road Near Urmi Char Rasta, Urmi Society, Akota, Vadodara, Gujarat 390007","Urmi Society, Akota",22.302529999999997,73.1728057,ChIJQxwg3KjIXzkRiPSTH4nQUCI,https://www.google.com/maps/place/?q=place_id:ChIJQxwg3KjIXzkRiPSTH4nQUCI,part_110,2026-09-20 16:51:04
"Momatos- Kids Party wear Showroom, Vadodara",Kids Wear Store,Baby clothing store,"Baby clothing store, Children's clothing store",391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 98989 93904,https://www.momatos.in/,4.9,87.0,"Shop no- 3, Vidhi Platinum, Productivity Rd, opp. Krishna Crockery, Anand Nagar, Haripura, Vadodara, Gujarat 390007","Anand Nagar, Haripura",22.306262,73.1737304,ChIJuxRfsbzPXzkRoqkbJpndE7Y,https://www.google.com/maps/place/?q=place_id:ChIJuxRfsbzPXzkRoqkbJpndE7Y,part_110,2026-09-20 16:51:04
KRUNALI FASHION KIDS WEAR,Kids Wear Store,Children's clothing store,"Children's clothing store, Baby clothing store, Baby store, Clothing Accessories Store",391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 82007 81450,N/A,4.5,23.0,"GF-8, RC Dutt Rd, opp. Welcome hotel, Vadiwadi, Vadodara, Gujarat 390007",Vadiwadi,22.3109459,73.16712919999999,ChIJU7IuTtjJXzkRdxpKkSXPrsU,https://www.google.com/maps/place/?q=place_id:ChIJU7IuTtjJXzkRdxpKkSXPrsU,part_110,2026-09-20 16:51:04
little one,Kids Wear Store,Baby clothing store,"Baby clothing store, Baby store, Children's clothing store",391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 97252 42596,N/A,4.8,565.0,"GF-25, SIDDHARTH CREAST, Nizampura Rd, opp. CNG PUMP, Ganga Sagar, Ram Wadi, Vadodara, Gujarat 390024","Ganga Sagar, Ram Wadi",22.3403535,73.1776813,ChIJFayf8t7JXzkRZOWyvoYLHEY,https://www.google.com/maps/place/?q=place_id:ChIJFayf8t7JXzkRZOWyvoYLHEY,part_110,2026-09-20 16:51:04
Arya Children Wear,Kids Wear Store,Children's clothing store,Children's clothing store,391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 94281 68030,N/A,4.7,15.0,"GF/3, Gotri Rd, Spring Field, Near Hari Nagar Bus Stand, Hari Nagar, Vadodara, Gujarat 390007","Spring Field, Near Hari Nagar Bus Stand, Hari Nagar",22.311183,73.15439409999999,ChIJ6fr1-Y3IXzkRZ8UkTcvgwAs,https://www.google.com/maps/place/?q=place_id:ChIJ6fr1-Y3IXzkRZ8UkTcvgwAs,part_110,2026-09-20 16:51:04
Babul Alkapuri,Kids Wear Store,Children's clothing store,"Children's clothing store, Uniform store",391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 265 662 1777,N/A,4.6,1476.0,"41, Alkapuri Arcade, RC Dutt Rd, opposite Welcome Hotel, Vadiwadi, Vadodara, Gujarat 390007",Vadiwadi,22.3109872,73.1672435,ChIJf9YVHrvIXzkRs6nriNAkLN8,https://www.google.com/maps/place/?q=place_id:ChIJf9YVHrvIXzkRs6nriNAkLN8,part_110,2026-09-20 16:51:04
Jai Ambe Kidswear & Hosiery,Kids Wear Store,Baby clothing store,Baby clothing store,391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 91733 28599,N/A,5.0,30.0,"Shivanjali Complex, Makrand Desai Rd, Shanta Park, Dev Nagar, Diwalipura, Vadodara, Gujarat 390007","Shanta Park, Dev Nagar, Diwalipura",22.301140099999998,73.152137,ChIJezCcCVDHXzkRpONql5WhsyA,https://www.google.com/maps/place/?q=place_id:ChIJezCcCVDHXzkRpONql5WhsyA,part_110,2026-09-20 16:51:04
New Khushi Kids Wear,Kids Wear Store,Clothing store,Clothing store,391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 96015 19898,N/A,5.0,15.0,"SB-09, National Plaza, RC Dutt Rd, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007","Vishwas Colony, Alkapuri",22.3105938,73.1720452,ChIJXxHqMorJXzkRYbRKcZe5Vbs,https://www.google.com/maps/place/?q=place_id:ChIJXxHqMorJXzkRYbRKcZe5Vbs,part_110,2026-09-20 16:51:04
Ribbon Candy,Kids Wear Store,Baby clothing store,"Baby clothing store, Clothing Accessories Store",391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 94277 16880,https://ribboncandy.in/,4.9,49.0,"9 Ganga park, inside, Pashabhai Park, Race Course, Vadodara, Gujarat 390007","Pashabhai Park, Paris Nagar, Race Course",22.3080705,73.1592821,ChIJxf44vNLJXzkR45BYEOi8Jfw,https://www.google.com/maps/place/?q=place_id:ChIJxf44vNLJXzkR45BYEOi8Jfw,part_110,2026-09-20 16:51:04
Hopkid,Kids Wear Store,Baby clothing store,Baby clothing store,391330,Gujarat Circle,Vadodara Region,Vadodara West Division,"Koyali SO, Angadh BO, Ankodia BO",+91 75677 14613,https://www.hopkid.in/,4.8,,"Subhanpura, Vadodara, Gujarat 390023",Subhanpura,22.320571599999997,73.1686943,ChIJKQeATPzJXzkRMx_TMlOF0uI,https://www.google.com/maps/place/?q=place_id:ChIJKQeATPzJXzkRMx_TMlOF0uI,part_110,2026-09-20 16:51:05
